,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,398,1,1972-10-10,30-295,BAL,CLE,12,,,3,6,.500,,,,0,0,,,,1,,,,,4,6,,
1,399,2,1972-10-13,30-298,BAL,ATL,17,,,2,9,.222,,,,6,6,1.000,,,3,,,,,6,10,,
2,400,3,1972-10-15,30-300,BAL,PHO,-9,,20:00,4,9,.444,,,,5,6,.833,,,3,2,,,,6,13,,
3,401,4,1972-10-16,30-301,BAL,GSW,-1,,26:00,6,12,.500,,,,1,2,.500,,,3,1,,,,2,13,,
4,402,5,1972-10-19,30-304,BAL,KCO,11,,,2,9,.222,,,,1,2,.500,,,7,,,,,3,5,,
5,403,6,1972-10-21,30-306,BAL,BOS,-3,,,3,8,.375,,,,2,2,1.000,,,4,,,,,5,8,,
6,404,7,1972-10-25,30-310,BAL,DET,10,,,3,,,,,,5,8,.625,,,,,,,,,11,,
7,405,8,1972-10-27,30-312,BAL,NYK,-4,,7:00,1,2,.500,,,,1,1,1.000,,,0,1,,,,2,3,,
8,406,9,1972-11-03,30-319,BAL,BOS,-13,,6:00,0,2,.000,,,,0,0,,,,1,0,,,,0,0,,
9,407,10,1972-11-04,30-320,BAL,CLE,10,,,5,13,.385,,,,1,2,.500,,,4,,,,,2,11,,
10,408,11,1972-11-07,30-323,BAL,ATL,-2,,,8,16,.500,,,,2,2,1.000,,,6,2,,,,,18,,
11,409,12,1972-11-08,30-324,BAL,BUF,32,,,2,2,1.000,,,,2,2,1.000,,,3,,,,,3,6,,
12,410,13,1972-11-14,30-330,BAL,HOU,1,,,3,5,.600,,,,1,1,1.000,,,5,,,,,4,7,,
13,411,14,1972-11-17,30-333,BAL,PHO,11,,13:00,3,8,.375,,,,0,0,,,,2,0,,,,1,6,,
14,412,15,1972-11-18,30-334,BAL,CHI,-16,,31:00,6,13,.462,,,,6,7,.857,,,7,2,,,,2,18,,
15,413,16,1972-11-21,30-337,BAL,BUF,36,,,7,8,.875,,,,2,2,1.000,,,2,,,,,2,16,,
16,414,17,1972-11-22,30-338,BAL,SEA,22,,,1,5,.200,,,,0,0,,,,4,,,,,1,2,,
17,415,18,1972-11-25,30-341,BAL,MIL,-10,,25:00,3,9,.333,,,,0,0,,,,9,,,,,,6,,
