,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,288,1,2009-10-28,26-182,NYK,MIA,-22,1,30:17,9,13,.692,0,0,,4,6,.667,3,6,9,2,0,0,1,4,22,18.4,-24
1,289,2,2009-10-30,26-184,NYK,CHA,-2,1,50:06,7,15,.467,0,0,,3,4,.750,4,14,18,3,1,2,1,3,17,18.2,+4
2,290,3,2009-10-31,26-185,NYK,PHI,-14,1,23:38,3,6,.500,0,0,,3,5,.600,3,2,5,1,0,0,0,4,9,7.0,-36
3,291,4,2009-11-02,26-187,NYK,NOH,6,1,35:10,13,17,.765,0,0,,2,2,1.000,1,7,8,3,0,0,1,3,28,24.0,+11
4,292,5,2009-11-04,26-189,NYK,IND,-12,1,35:44,9,17,.529,0,0,,2,3,.667,6,13,19,4,2,2,3,5,20,20.6,-6
5,293,6,2009-11-06,26-191,NYK,CLE,-9,1,35:13,9,17,.529,0,1,.000,3,4,.750,1,5,6,2,2,0,4,3,21,12.7,-1
6,294,7,2009-11-07,26-192,NYK,MIL,-15,1,35:04,9,20,.450,0,0,,0,1,.000,0,7,7,4,1,0,3,3,18,8.9,-20
7,295,8,2009-11-09,26-194,NYK,UTA,-2,1,30:26,5,10,.500,0,1,.000,2,3,.667,1,6,7,2,2,0,1,3,12,10.3,-19
8,296,9,2009-11-11,26-196,NYK,ATL,-13,1,25:20,4,9,.444,0,0,,1,1,1.000,3,4,7,0,0,0,4,4,9,2.0,-8
9,297,10,2009-11-13,26-198,NYK,GSW,-14,1,31:46,6,13,.462,0,0,,5,7,.714,3,5,8,2,2,0,4,2,17,11.7,-9
10,298,11,2009-11-18,26-203,NYK,IND,7,1,31:32,7,13,.538,0,0,,3,6,.500,0,8,8,4,3,1,2,4,17,14.8,-4
11,299,12,2009-11-21,26-206,NYK,NJN,7,1,35:31,4,13,.308,0,0,,8,9,.889,3,9,12,5,2,1,2,4,16,15.5,+16
12,300,13,2009-11-22,26-207,NYK,BOS,-2,1,37:10,7,12,.583,0,0,,8,9,.889,3,13,16,3,0,1,5,2,22,19.0,-1
13,301,14,2009-11-24,26-209,NYK,LAL,-10,1,20:18,5,8,.625,0,0,,3,4,.750,1,6,7,2,1,0,3,3,13,9.7,-12
14,302,15,2009-11-25,26-210,NYK,SAC,-14,1,38:52,10,16,.625,0,0,,5,5,1.000,4,8,12,1,2,0,2,1,25,23.3,-5
15,303,16,2009-11-27,26-212,NYK,DEN,-3,1,32:26,8,11,.727,0,0,,7,8,.875,3,7,10,4,1,0,4,5,23,20.1,-4
16,304,17,2009-11-29,26-214,NYK,ORL,-12,1,36:19,9,18,.500,0,0,,2,4,.500,1,11,12,3,0,0,0,3,20,15.1,-8
17,305,18,2009-12-01,26-216,NYK,PHO,27,1,32:45,10,13,.769,0,0,,4,7,.571,4,4,8,2,4,0,1,3,24,24.9,+24
18,306,19,2009-12-02,26-217,NYK,ORL,-14,1,28:19,4,6,.667,0,0,,1,2,.500,2,4,6,1,1,0,1,4,9,7.7,-22
19,307,20,2009-12-04,26-219,NYK,ATL,7,1,42:23,7,9,.778,0,0,,4,5,.800,2,15,17,4,3,0,5,4,18,19.2,+7
20,308,21,2009-12-06,26-221,NYK,NJN,9,1,39:45,12,18,.667,0,0,,0,0,,1,8,9,1,1,0,1,3,24,18.8,+13
21,309,22,2009-12-07,26-222,NYK,POR,9,1,39:00,5,9,.556,0,0,,7,8,.875,3,7,10,2,0,1,4,2,17,13.8,+14
22,310,23,2009-12-11,26-226,NYK,NOH,17,1,41:26,6,10,.600,0,0,,5,6,.833,0,14,14,3,1,0,5,3,17,13.1,+18
23,311,24,2009-12-15,26-230,NYK,CHA,-7,1,38:48,8,14,.571,0,0,,0,0,,2,6,8,3,0,1,3,3,16,11.2,-1
