,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,233,1,1992-11-06,27-092,SAS,SAC,-8,1,36:00,6,11,.545,0,1,.000,5,8,.625,1,7,8,2,0,6,5,3,17,12.7,
1,234,2,1992-11-07,27-093,SAS,DEN,-4,1,46:00,12,25,.480,0,0,,6,11,.545,3,8,11,2,2,4,3,6,30,20.6,
2,235,3,1992-11-10,27-096,SAS,MIL,6,1,43:00,10,17,.588,0,0,,9,10,.900,5,4,9,5,5,10,5,3,29,34.7,
3,236,4,1992-11-12,27-098,SAS,ATL,-7,1,36:00,7,16,.438,0,1,.000,6,7,.857,1,7,8,6,3,3,4,6,20,16.9,
4,237,5,1992-11-14,27-100,SAS,HOU,-6,1,44:00,7,14,.500,0,0,,12,16,.750,8,11,19,1,3,4,5,4,26,26.2,
5,238,6,1992-11-17,27-103,SAS,CLE,11,1,35:00,7,12,.583,0,0,,5,9,.556,2,11,13,5,4,4,3,3,19,22.6,
6,239,7,1992-11-19,27-105,SAS,DAL,28,1,27:00,4,7,.571,0,0,,11,12,.917,0,6,6,3,2,3,3,0,19,20.3,
7,240,8,1992-11-21,27-107,SAS,HOU,-3,1,38:00,4,11,.364,0,0,,5,7,.714,3,10,13,5,3,2,1,5,13,16.1,
8,241,9,1992-11-24,27-110,SAS,POR,-4,1,42:00,7,16,.438,0,0,,8,10,.800,4,10,14,2,1,3,3,2,22,19.3,
9,242,10,1992-11-25,27-111,SAS,UTA,26,1,40:00,10,18,.556,0,0,,5,7,.714,3,6,9,6,3,5,5,0,25,25.2,
10,243,11,1992-11-28,27-114,SAS,SEA,7,1,39:00,13,21,.619,0,0,,16,17,.941,4,6,10,3,2,3,3,3,42,38.7,
11,244,12,1992-12-01,27-117,SAS,WSB,-13,1,37:00,11,24,.458,0,0,,6,10,.600,3,9,12,3,1,3,2,1,28,21.6,
12,245,13,1992-12-02,27-118,SAS,PHI,16,1,36:00,10,23,.435,0,0,,7,8,.875,6,15,21,3,2,2,5,2,27,22.9,
13,246,14,1992-12-04,27-120,SAS,NJN,-5,1,47:00,8,17,.471,0,0,,7,8,.875,3,10,13,2,4,6,5,3,23,22.4,
