,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,18,1,2014-04-19,25-272,LAC,GSW,-4,1,44:58,4,5,.800,0,0,,3,8,.375,5,9,14,0,2,5,7,3,11,10.6,-1
1,19,2,2014-04-21,25-274,LAC,GSW,40,1,30:28,2,4,.500,0,0,,7,8,.875,3,6,9,1,0,5,1,2,11,14.9,+20
2,20,3,2014-04-24,25-277,LAC,GSW,2,1,35:27,5,8,.625,0,0,,4,9,.444,7,15,22,2,0,5,2,3,14,19.5,+1
3,21,4,2014-04-27,25-280,LAC,GSW,-21,1,25:07,0,1,.000,0,0,,0,0,,1,5,6,1,0,2,2,3,0,0.4,-18
4,22,5,2014-04-29,25-282,LAC,GSW,10,1,37:53,8,10,.800,0,0,,9,17,.529,6,12,18,1,1,4,1,2,25,28.5,+12
5,23,6,2014-05-01,25-284,LAC,GSW,-1,1,41:48,3,3,1.000,0,0,,3,9,.333,2,17,19,0,0,4,0,4,9,13.4,-1
6,24,7,2014-05-03,25-286,LAC,GSW,5,1,41:21,6,6,1.000,0,0,,3,6,.500,4,14,18,2,0,3,1,4,15,19.9,+5
7,25,8,2014-05-05,25-288,LAC,OKC,17,1,28:27,3,3,1.000,0,0,,1,8,.125,1,4,5,0,4,0,1,3,7,7.0,+21
8,26,9,2014-05-07,25-290,LAC,OKC,-11,1,29:25,3,4,.750,0,0,,1,2,.500,0,8,8,1,1,0,3,5,7,4.1,-21
9,27,10,2014-05-09,25-292,LAC,OKC,-6,1,38:02,5,8,.625,0,0,,0,0,,5,6,11,0,0,3,2,3,10,10.6,-5
10,28,11,2014-05-11,25-294,LAC,OKC,2,1,31:55,3,5,.600,0,0,,1,7,.143,3,11,14,1,2,2,1,3,7,9.6,-21
11,29,12,2014-05-13,25-296,LAC,OKC,-1,1,19:44,0,1,.000,0,0,,0,0,,2,2,4,0,0,0,2,6,0,-3.1,-1
12,30,13,2014-05-15,25-298,LAC,OKC,-6,1,36:58,4,5,.800,0,0,,1,2,.500,4,11,15,1,2,0,0,4,9,13.9,-2
