,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2000-10-31,19-211,UTA,LAC,13,0,7:00,2,3,.667,0,0,,1,3,.333,1,0,1,1,1,0,2,0,5,3.3,+4
1,2,2,2000-11-06,19-217,UTA,MIN,6,0,7:00,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,0,0,1,3,1.9,-8
2,3,3,2000-11-08,19-219,UTA,LAC,6,0,7:00,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,1,0,1,-0.1,+2
3,4,4,2000-11-10,19-221,UTA,MIA,-7,0,7:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,1,0,-0.4,+8
4,5,5,2000-11-14,19-225,UTA,SAS,-7,0,9:00,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,2,0,4,1.3,+8
5,6,6,2000-11-16,19-227,UTA,ORL,15,0,4:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-3.2,0
6,7,7,2000-11-18,19-229,UTA,CHI,45,1,22:00,1,4,.250,0,0,,0,0,,0,1,1,2,2,0,4,0,2,-0.7,+16
7,8,8,2000-11-20,19-231,UTA,DAL,-9,1,20:00,2,7,.286,0,2,.000,3,4,.750,1,3,4,0,0,0,1,1,7,2.7,-7
8,9,9,2000-11-22,19-233,UTA,DEN,38,0,11:00,4,6,.667,0,1,.000,3,3,1.000,0,1,1,0,1,0,3,3,11,5.5,+2
9,10,10,2000-11-24,19-235,UTA,NJN,12,0,6:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-5
10,11,11,2000-11-28,19-239,UTA,NJN,6,0,4:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,+2
11,12,12,2000-12-01,19-242,UTA,MIA,2,0,4:00,0,1,.000,0,0,,1,2,.500,0,0,0,0,1,0,0,1,1,0.5,+3
12,13,13,2000-12-05,19-246,UTA,TOR,14,0,4:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-9
13,14,14,2000-12-07,19-248,UTA,VAN,11,0,2:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
14,15,15,2000-12-15,19-256,UTA,NYK,31,0,4:00,0,3,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-1.4,-2
15,16,16,2000-12-16,19-257,UTA,CLE,-7,0,9:00,0,1,.000,0,0,,4,6,.667,0,1,1,0,1,0,0,0,4,3.8,+2
16,17,17,2000-12-19,19-260,UTA,TOR,-8,0,16:00,0,4,.000,0,0,,0,0,,1,0,1,2,2,0,0,2,0,0.5,+1
17,18,18,2000-12-20,19-261,UTA,PHI,2,0,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2
18,19,19,2000-12-22,19-263,UTA,IND,8,0,4:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-2.2,-7
19,20,20,2000-12-23,19-264,UTA,MIN,6,0,7:00,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,1,1,4,2.3,+8
20,21,21,2000-12-26,19-267,UTA,PHI,-6,0,3:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-0.8,-10
21,22,22,2000-12-28,19-269,UTA,POR,-1,0,4:00,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,2,5,3.9,0
22,23,23,2001-01-03,19-275,UTA,LAL,-11,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
23,24,24,2001-01-05,19-277,UTA,DEN,-13,0,25:00,3,8,.375,0,3,.000,2,2,1.000,0,2,2,3,0,1,0,1,8,6.6,+2
24,25,25,2001-01-06,19-278,UTA,HOU,2,0,11:00,1,4,.250,0,0,,0,0,,1,1,2,1,0,0,1,1,2,-0.1,+9
25,26,26,2001-01-09,19-281,UTA,IND,4,0,5:00,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,0,2,2.0,+1
26,27,27,2001-01-13,19-285,UTA,LAL,8,0,6:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-8
27,28,28,2001-01-17,19-289,UTA,MIN,-8,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
28,29,29,2001-01-21,19-293,UTA,PHO,11,0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-1
29,30,30,2001-01-23,19-295,UTA,GSW,22,0,9:00,1,4,.250,0,0,,0,0,,0,0,0,0,0,0,2,2,2,-3.2,0
30,31,31,2001-01-27,19-299,UTA,SAS,-13,0,3:00,2,3,.667,0,0,,0,0,,2,0,2,1,0,0,0,0,4,4.8,+6
31,32,32,2001-01-30,19-302,UTA,SEA,14,0,2:00,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,-5
32,33,33,2001-02-01,19-304,UTA,CHH,11,0,2:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-2
33,34,34,2001-02-03,19-306,UTA,SEA,20,0,8:00,0,1,.000,0,1,.000,1,2,.500,0,1,1,1,0,0,1,0,1,-0.1,-3
34,35,35,2001-02-14,19-317,UTA,NYK,16,0,2:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,+1
35,36,36,2001-02-19,19-322,UTA,BOS,15,0,12:00,2,2,1.000,0,0,,1,2,.500,1,1,2,1,1,0,2,2,5,3.9,+9
36,37,37,2001-02-26,19-329,UTA,ATL,17,0,4:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,2,2,0,-2.8,-3
37,38,38,2001-02-28,19-331,UTA,VAN,18,0,1:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+2
38,39,39,2001-04-12,20-009,UTA,MIL,-22,0,11:00,2,4,.500,0,1,.000,1,2,.500,0,0,0,0,0,0,2,0,5,0.6,-9
39,40,40,2001-04-18,20-015,UTA,PHO,-5,0,21:00,2,8,.250,0,2,.000,3,4,.750,1,0,1,3,1,0,1,1,7,4.2,0
