,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,848,1,1999-02-06,34-226,MIL,CHH,6,0,22:00,7,13,.538,3,4,.750,0,0,,2,0,2,4,1,0,0,3,17,14.7,
1,849,2,1999-02-09,34-229,MIL,TOR,14,0,24:00,6,12,.500,3,6,.500,0,0,,0,4,4,1,0,0,1,5,15,7.9,
2,850,3,1999-02-11,34-231,MIL,NJN,20,0,16:00,2,7,.286,1,5,.200,0,0,,0,4,4,1,0,0,1,0,5,1.8,
3,851,4,1999-02-14,34-234,MIL,ORL,-3,0,17:00,4,5,.800,3,4,.750,0,0,,0,1,1,3,2,0,2,3,11,10.3,
4,852,5,1999-02-16,34-236,MIL,PHI,1,0,24:00,6,11,.545,3,5,.600,1,1,1.000,0,3,3,1,4,0,3,2,16,12.5,
5,853,6,1999-02-17,34-237,MIL,CHI,8,0,22:00,5,11,.455,1,4,.250,2,2,1.000,0,2,2,0,1,0,1,0,13,7.9,
6,854,7,1999-02-19,34-239,MIL,TOR,-8,0,23:00,6,8,.750,3,3,1.000,2,3,.667,0,1,1,1,1,0,3,0,17,12.4,
7,855,8,1999-02-20,34-240,MIL,IND,-2,0,19:00,4,7,.571,1,2,.500,0,0,,0,1,1,0,2,0,0,1,9,7.6,
8,856,9,1999-02-23,34-243,MIL,CHI,2,0,18:00,7,12,.583,2,6,.333,0,0,,0,1,1,0,0,1,1,0,16,10.4,
9,857,10,1999-02-26,34-246,MIL,DEN,-1,0,18:00,2,6,.333,1,2,.500,1,2,.500,0,2,2,0,1,0,2,1,6,1.4,
10,858,11,1999-02-28,34-248,MIL,PHI,-11,0,23:00,2,6,.333,0,0,,0,0,,1,1,2,1,1,0,2,1,4,0.9,
11,859,12,1999-03-02,34-250,MIL,NJN,8,0,16:00,3,8,.375,2,4,.500,0,0,,2,2,4,0,0,1,1,0,8,5.3,
12,860,13,1999-03-03,34-251,MIL,GSW,28,0,22:00,5,8,.625,3,4,.750,0,0,,0,0,0,1,0,0,0,2,13,9.3,
13,861,14,1999-03-05,34-253,MIL,NYK,1,0,15:00,1,5,.200,0,3,.000,2,2,1.000,0,0,0,0,3,0,1,1,4,2.5,
14,862,15,1999-03-08,34-256,MIL,CHI,5,0,19:00,2,7,.286,1,2,.500,2,3,.667,0,3,3,1,1,1,2,0,7,3.8,
15,863,16,1999-03-09,34-257,MIL,NYK,1,0,15:00,2,4,.500,2,3,.667,0,0,,0,1,1,1,1,0,1,0,6,5.0,
16,864,17,1999-03-10,34-258,MIL,SEA,4,0,13:00,3,7,.429,2,4,.500,0,0,,0,0,0,1,0,0,0,1,8,4.6,
17,865,18,1999-03-12,34-260,MIL,IND,-5,0,19:00,4,6,.667,2,2,1.000,5,5,1.000,2,1,3,0,0,0,1,1,15,12.7,
18,866,19,1999-03-14,34-262,MIL,WAS,-12,0,18:00,1,5,.200,0,0,,0,0,,0,1,1,2,0,0,3,1,2,-2.8,
19,867,20,1999-03-15,34-263,MIL,NYK,-6,0,20:00,4,8,.500,1,3,.333,0,0,,0,2,2,1,1,0,1,2,9,5.5,
20,868,21,1999-03-16,34-264,MIL,PHO,-18,0,28:00,7,14,.500,4,8,.500,0,0,,1,1,2,2,2,0,2,1,18,13.0,
21,869,22,1999-03-18,34-266,MIL,BOS,16,0,24:00,2,9,.222,0,1,.000,0,0,,1,1,2,1,3,0,0,1,4,2.8,
22,870,23,1999-03-20,34-268,MIL,ATL,6,0,28:00,4,11,.364,2,3,.667,2,2,1.000,0,2,2,1,1,0,0,0,12,8.2,
23,871,24,1999-03-21,34-269,MIL,CHH,-7,0,25:00,1,6,.167,1,2,.500,2,2,1.000,1,1,2,0,1,0,1,0,5,2.2,
24,872,25,1999-03-22,34-270,MIL,DET,29,0,21:00,3,9,.333,2,6,.333,1,2,.500,0,4,4,1,1,0,1,0,9,5.4,
25,873,26,1999-03-24,34-272,MIL,MIA,-8,0,20:00,2,5,.400,0,0,,0,0,,0,0,0,1,0,0,0,0,4,2.0,
26,874,27,1999-03-26,34-274,MIL,DET,-5,0,27:00,6,14,.429,4,9,.444,2,2,1.000,0,3,3,0,1,0,0,1,18,12.1,
27,875,28,1999-03-28,34-276,MIL,MIN,9,0,25:00,7,11,.636,1,2,.500,0,0,,0,2,2,2,0,0,0,1,15,11.7,
28,876,29,1999-03-30,34-278,MIL,WAS,2,0,25:00,5,8,.625,2,5,.400,1,2,.500,0,2,2,4,1,0,1,0,13,12.4,
29,877,30,1999-03-31,34-279,MIL,CHH,8,0,27:00,7,10,.700,2,3,.667,2,2,1.000,2,2,4,3,1,0,2,2,18,16.1,
30,878,31,1999-04-02,34-281,MIL,BOS,1,0,27:00,7,12,.583,2,7,.286,2,2,1.000,0,3,3,4,1,0,3,1,18,13.7,
31,879,32,1999-04-04,34-283,MIL,CLE,-24,0,24:00,5,8,.625,2,2,1.000,0,0,,1,4,5,2,1,0,1,1,12,11.3,
32,880,33,1999-04-06,34-285,MIL,PHI,-8,0,24:00,3,6,.500,2,3,.667,0,0,,1,3,4,3,0,0,0,1,8,8.3,
33,881,34,1999-04-07,34-286,MIL,CLE,8,0,27:00,5,6,.833,2,2,1.000,1,2,.500,0,2,2,2,1,0,1,1,13,12.0,
34,882,35,1999-04-09,34-288,MIL,ORL,-12,0,20:00,3,5,.600,1,1,1.000,0,0,,0,1,1,1,1,0,2,1,7,4.3,
