,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,476,1,1999-02-05,31-229,CHH,PHI,-12,1,34:00,4,13,.308,0,0,,3,6,.500,5,10,15,3,0,1,2,2,11,8.8,
1,477,2,1999-02-06,31-230,CHH,MIL,-6,1,41:00,7,13,.538,0,2,.000,3,7,.429,2,11,13,4,1,1,7,3,17,10.1,
2,478,3,1999-02-08,31-232,CHH,MIA,3,1,34:00,1,8,.125,0,0,,6,6,1.000,2,10,12,2,1,0,0,3,8,8.4,
3,479,4,1999-02-10,31-234,CHH,CLE,-10,1,36:00,6,13,.462,0,1,.000,4,9,.444,2,5,7,2,0,0,5,2,16,5.8,
4,480,5,1999-02-11,31-235,CHH,ATL,-12,1,37:00,6,14,.429,1,1,1.000,4,5,.800,1,12,13,3,1,3,2,3,17,15.5,
5,481,6,1999-02-16,31-240,CHH,LAL,-28,1,25:00,2,12,.167,0,1,.000,4,5,.800,4,5,9,2,0,1,0,4,8,4.8,
6,482,7,1999-02-17,31-241,CHH,GSW,-9,1,42:00,9,16,.563,0,1,.000,4,5,.800,1,6,7,1,1,3,3,1,22,16.9,
7,483,8,1999-02-19,31-243,CHH,SAC,-11,1,35:00,5,13,.385,0,0,,4,6,.667,1,9,10,1,2,0,4,1,14,7.8,
8,484,9,1999-02-24,31-248,CHH,MIA,-8,1,39:00,3,13,.231,0,4,.000,5,7,.714,2,12,14,4,1,0,3,5,11,6.1,
9,485,10,1999-02-26,31-250,CHH,POR,2,1,43:00,8,15,.533,2,3,.667,10,13,.769,2,6,8,3,0,2,1,3,28,24.0,
10,486,11,1999-02-27,31-251,CHH,CHI,-17,1,37:00,8,17,.471,0,1,.000,1,1,1.000,2,6,8,1,1,1,2,1,17,11.5,
