,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,480,1,2017-10-18,26-095,UTA,DEN,10,1,28:27,7,14,.500,0,1,.000,0,0,,0,4,4,4,1,0,1,4,14,9.4,+4
1,481,2,2017-10-20,26-097,UTA,MIN,-3,1,28:44,8,15,.533,0,1,.000,0,0,,0,4,4,3,0,1,4,2,16,7.9,+13
2,482,3,2017-10-21,26-098,UTA,OKC,9,1,25:27,4,6,.667,0,1,.000,5,6,.833,2,1,3,1,1,0,1,1,13,12.0,+3
3,483,4,2017-10-24,26-101,UTA,LAC,-18,1,24:14,3,7,.429,0,0,,0,0,,0,3,3,2,0,0,1,2,6,2.8,-9
4,484,5,2017-10-25,26-102,UTA,PHO,-9,1,30:47,7,9,.778,0,2,.000,1,5,.200,2,5,7,1,0,0,1,2,15,11.7,-7
5,485,6,2017-10-28,26-105,UTA,LAL,15,1,29:33,7,11,.636,0,1,.000,0,0,,3,7,10,1,1,1,4,2,14,10.9,+8
6,486,7,2017-10-30,26-107,UTA,DAL,15,1,25:30,4,12,.333,1,3,.333,1,1,1.000,2,3,5,2,1,0,1,1,10,6.5,+19
7,487,8,2017-11-01,26-109,UTA,POR,9,1,27:23,2,4,.500,0,0,,1,2,.500,3,2,5,0,0,0,0,3,5,4.1,-11
8,488,9,2017-11-03,26-111,UTA,TOR,-9,1,27:10,4,7,.571,0,1,.000,0,0,,2,5,7,0,2,1,1,2,8,8.5,-6
9,489,10,2017-11-05,26-113,UTA,HOU,-27,1,25:30,4,6,.667,2,3,.667,2,2,1.000,0,2,2,0,3,0,2,1,12,10.6,-2
10,490,11,2017-11-07,26-115,UTA,PHI,-7,1,19:54,2,7,.286,1,2,.500,0,1,.000,1,1,2,0,1,1,0,2,5,2.4,-9
11,491,12,2017-11-10,26-118,UTA,MIA,-10,1,24:22,3,7,.429,0,0,,0,0,,0,1,1,1,0,2,3,4,6,0.1,-7
12,492,13,2017-11-11,26-119,UTA,BRK,8,1,35:28,9,15,.600,0,0,,6,7,.857,5,7,12,0,1,2,1,4,24,22.1,+7
13,493,14,2017-11-13,26-121,UTA,MIN,-11,1,27:28,4,9,.444,0,0,,1,1,1.000,5,5,10,0,1,1,1,2,9,9.2,-22
14,494,15,2017-11-15,26-123,UTA,NYK,-5,1,34:11,3,11,.273,0,0,,0,0,,4,6,10,5,1,3,3,2,6,6.9,-4
15,495,16,2017-11-17,26-125,UTA,BRK,-11,1,29:25,5,11,.455,0,0,,5,6,.833,2,5,7,1,0,1,3,3,15,9.0,-2
16,496,17,2017-11-18,26-126,UTA,ORL,40,1,24:56,10,12,.833,0,0,,5,5,1.000,6,5,11,3,0,2,1,1,25,28.4,+13
17,497,18,2017-11-20,26-128,UTA,PHI,-21,1,26:07,3,8,.375,0,0,,3,4,.750,2,5,7,2,0,1,3,5,9,4.2,-9
18,498,19,2017-11-22,26-130,UTA,CHI,30,1,29:11,8,11,.727,0,0,,7,8,.875,2,5,7,1,1,1,0,2,23,22.6,+27
19,499,20,2017-11-25,26-133,UTA,MIL,13,1,29:00,6,8,.750,0,0,,4,7,.571,1,5,6,2,1,2,1,0,16,16.6,+6
20,500,21,2017-11-28,26-136,UTA,DEN,29,1,32:40,12,16,.750,0,0,,0,0,,2,7,9,5,1,3,1,1,24,26.3,+30
21,501,22,2017-11-30,26-138,UTA,LAC,19,1,27:50,5,8,.625,0,0,,2,3,.667,7,5,12,4,1,0,2,2,12,15.4,+7
22,502,23,2017-12-01,26-139,UTA,NOP,6,1,33:42,7,9,.778,0,0,,4,7,.571,4,7,11,5,2,0,2,0,18,21.7,+7
23,503,24,2017-12-04,26-142,UTA,WAS,47,1,24:44,3,7,.429,0,1,.000,3,4,.750,2,6,8,2,1,0,1,2,9,8.7,+26
24,504,25,2017-12-05,26-143,UTA,OKC,-6,1,22:45,4,9,.444,0,0,,1,1,1.000,3,3,6,0,0,1,0,4,9,6.4,+1
25,505,26,2017-12-07,26-145,UTA,HOU,-11,1,27:35,2,4,.500,0,0,,1,2,.500,0,5,5,1,1,2,0,4,5,5.6,-27
26,506,27,2017-12-09,26-147,UTA,MIL,-17,1,26:57,5,11,.455,1,3,.333,3,3,1.000,2,1,3,0,0,1,2,4,14,7.1,-13
27,507,28,2017-12-13,26-151,UTA,CHI,-3,1,30:04,1,3,.333,0,0,,0,0,,2,8,10,0,0,2,1,1,2,4.1,-11
28,508,29,2017-12-15,26-153,UTA,BOS,12,1,12:27,3,6,.500,0,0,,0,0,,2,1,3,0,0,0,0,1,6,4.3,-1
29,509,32,2017-12-20,26-158,UTA,OKC,-28,1,22:41,4,7,.571,0,0,,1,2,.500,1,1,2,0,0,0,0,2,9,5.5,-35
30,510,33,2017-12-21,26-159,UTA,SAS,11,1,32:14,5,10,.500,0,0,,4,5,.800,4,5,9,1,0,1,1,3,14,12.1,+8
31,511,34,2017-12-23,26-161,UTA,OKC,-14,1,34:15,5,8,.625,0,0,,1,2,.500,3,5,8,1,0,1,1,2,11,10.2,-11
32,512,35,2017-12-26,26-164,UTA,DEN,-24,1,28:35,6,14,.429,0,0,,8,11,.727,5,1,6,2,0,0,0,3,20,15.4,-15
