,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,36,1,2003-04-20,25-234,LAL,MIN,19,0,27:00,5,6,.833,1,2,.500,0,0,,0,3,3,2,0,1,2,1,11,9.4,+13
1,37,2,2003-04-22,25-236,LAL,MIN,-28,0,17:00,1,4,.250,0,1,.000,0,0,,2,2,4,1,2,0,1,5,2,1.3,-9
2,38,3,2003-04-24,25-238,LAL,MIN,-4,0,23:00,3,7,.429,1,4,.250,0,1,.000,2,4,6,2,2,0,0,2,7,8.1,-1
3,39,4,2003-04-27,25-241,LAL,MIN,5,0,30:00,4,9,.444,1,4,.250,0,0,,1,5,6,0,1,2,1,3,9,6.7,+10
4,40,5,2003-04-29,25-243,LAL,MIN,30,1,34:00,4,7,.571,2,3,.667,2,2,1.000,2,6,8,6,2,0,1,3,12,15.9,+33
5,41,6,2003-05-01,25-245,LAL,MIN,16,1,39:00,5,12,.417,0,2,.000,2,2,1.000,2,6,8,5,1,1,1,3,12,11.8,+27
6,42,7,2003-05-05,25-249,LAL,SAS,-5,1,31:00,2,7,.286,0,3,.000,0,0,,1,2,3,1,1,0,2,0,4,0.9,-12
7,43,8,2003-05-09,25-253,LAL,SAS,15,1,28:00,5,7,.714,1,2,.500,2,2,1.000,0,2,2,3,1,0,0,3,13,12.6,+16
8,44,9,2003-05-11,25-255,LAL,SAS,4,1,40:00,3,5,.600,3,4,.750,0,0,,0,4,4,3,0,0,2,3,9,6.8,+7
9,45,10,2003-05-13,25-257,LAL,SAS,-2,1,25:00,0,7,.000,0,1,.000,2,2,1.000,0,1,1,0,1,0,1,2,2,-3.4,-19
10,46,11,2003-05-15,25-259,LAL,SAS,-28,1,24:00,3,7,.429,1,4,.250,0,0,,1,3,4,1,0,0,1,4,7,3.0,-11
