,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,69,1,2004-11-03,25-309,SAS,SAC,16,0,9:00,1,3,.333,0,1,.000,0,0,,0,1,1,1,0,0,0,3,2,0.1,-9
1,70,2,2004-11-05,25-311,SAS,LAL,9,0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
2,71,3,2004-11-07,25-313,SAS,SEA,-19,0,24:00,2,7,.286,0,1,.000,0,0,,0,1,1,2,1,0,3,1,4,-0.8,-7
3,72,4,2004-11-10,25-316,SAS,GSW,20,0,15:00,4,8,.500,0,0,,0,0,,0,1,1,2,0,0,0,0,8,5.7,+12
4,73,5,2004-11-12,25-318,SAS,MIA,9,0,5:00,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,1,1,1,-0.5,+1
5,74,6,2004-11-13,25-319,SAS,ATL,15,0,12:00,1,2,.500,0,0,,4,4,1.000,0,2,2,1,0,0,2,2,6,3.5,-3
6,75,7,2004-11-16,25-322,SAS,NYK,18,0,6:00,0,2,.000,0,0,,2,2,1.000,1,1,2,0,0,0,0,0,2,1.6,-1
7,76,8,2004-11-18,25-324,SAS,PHI,8,0,7:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,-1
8,77,9,2004-11-19,25-325,SAS,BOS,8,0,21:00,3,7,.429,0,1,.000,0,0,,0,2,2,2,1,1,1,5,6,3.0,-7
9,78,10,2004-11-21,25-327,SAS,TOR,-5,0,11:00,2,4,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,2,5,2.9,+6
10,79,11,2004-11-22,25-328,SAS,MEM,-3,0,6:00,2,4,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,4,2.7,-3
11,80,12,2004-11-24,25-330,SAS,DAL,14,0,14:00,0,4,.000,0,0,,1,2,.500,1,0,1,1,0,0,0,0,1,-0.8,-4
12,81,13,2004-11-26,25-332,SAS,DEN,14,0,10:00,1,3,.333,0,0,,1,2,.500,0,1,1,1,0,0,0,1,3,1.5,-7
13,82,14,2004-11-27,25-333,SAS,UTA,33,0,22:00,5,7,.714,1,1,1.000,3,4,.750,2,3,5,2,2,0,2,0,14,14.4,+10
14,83,15,2004-11-30,25-336,SAS,DAL,18,0,19:00,5,9,.556,0,0,,6,6,1.000,0,4,4,2,1,0,0,1,16,14.9,+4
15,84,16,2004-12-01,25-337,SAS,PHI,33,0,29:00,8,14,.571,4,7,.571,4,4,1.000,0,2,2,1,2,0,2,0,24,18.7,+20
16,85,17,2004-12-03,25-339,SAS,DET,3,0,22:00,2,6,.333,1,2,.500,0,0,,0,2,2,2,1,0,1,2,5,2.8,-11
17,86,18,2004-12-04,25-340,SAS,MIL,21,0,30:00,6,9,.667,1,2,.500,0,0,,1,4,5,4,1,0,1,1,13,13.4,+25
18,87,19,2004-12-06,25-342,SAS,CHI,16,0,22:00,5,8,.625,3,4,.750,1,1,1.000,0,6,6,0,0,0,0,1,14,11.8,+7
19,88,20,2004-12-08,25-344,SAS,SEA,-6,0,20:00,2,4,.500,0,1,.000,0,0,,1,3,4,0,0,0,3,2,4,-0.2,-21
