,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,91,1,2015-10-28,26-077,ORL,WAS,-1,0,14:44,2,6,.333,0,0,,0,0,,2,4,6,0,1,2,1,4,4,3.0,+12
1,92,2,2015-10-30,26-079,ORL,OKC,-3,0,12:54,1,2,.500,0,0,,0,0,,4,2,6,0,0,2,0,2,2,5.0,-5
2,93,4,2015-11-03,26-083,ORL,NOP,9,0,12:11,3,5,.600,0,0,,0,0,,0,4,4,0,0,1,0,1,6,5.2,+10
3,94,5,2015-11-04,26-084,ORL,HOU,-5,0,26:23,2,5,.400,0,0,,0,0,,1,6,7,1,2,2,1,6,4,4.5,-6
4,95,6,2015-11-06,26-086,ORL,TOR,5,1,30:10,3,5,.600,0,0,,4,6,.667,0,4,4,1,0,3,1,6,10,7.5,-6
5,96,7,2015-11-07,26-087,ORL,PHI,8,1,29:58,2,6,.333,0,0,,8,8,1.000,3,6,9,0,1,3,0,5,12,13.6,+3
6,97,8,2015-11-09,26-089,ORL,IND,-13,1,23:10,2,3,.667,0,0,,1,2,.500,2,7,9,0,2,0,2,1,5,6.4,+5
7,98,9,2015-11-11,26-091,ORL,LAL,2,1,12:41,2,6,.333,0,0,,0,0,,5,3,8,0,1,0,0,2,4,5.2,-4
8,99,10,2015-11-13,26-093,ORL,UTA,9,0,15:38,2,5,.400,0,0,,0,0,,1,3,4,0,0,3,2,2,4,2.2,-2
9,100,11,2015-11-14,26-094,ORL,WAS,-9,0,12:16,1,1,1.000,0,0,,2,3,.667,0,4,4,0,1,1,0,2,4,5.4,+9
10,101,12,2015-11-18,26-098,ORL,MIN,3,0,9:55,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,1,4,4,0.8,-3
11,102,13,2015-11-21,26-101,ORL,SAC,-6,0,3:48,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,2,0,-1.1,+2
12,103,14,2015-11-23,26-103,ORL,CLE,-14,0,6:49,1,1,1.000,0,0,,1,4,.250,0,0,0,0,0,0,0,0,3,1.5,+8
13,104,16,2015-11-27,26-107,ORL,MIL,24,0,3:37,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,2,0,-0.5,0
14,105,23,2015-12-11,26-121,ORL,CLE,-35,0,20:05,1,2,.500,0,0,,4,6,.667,1,4,5,0,0,1,0,4,6,5.2,-13
15,106,24,2015-12-14,26-124,ORL,BRK,23,0,4:05,0,1,.000,0,0,,0,0,,0,2,2,0,0,1,0,1,0,0.2,0
16,107,25,2015-12-16,26-126,ORL,CHO,15,0,3:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,4,0,-2.6,-9
17,108,31,2015-12-28,26-138,ORL,NOP,15,0,2:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-3
18,109,32,2015-12-30,26-140,ORL,BRK,7,0,6:18,1,3,.333,0,0,,0,0,,1,2,3,0,0,0,0,0,2,1.6,-9
19,110,33,2016-01-01,26-142,ORL,WAS,-12,0,1:02,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,0
20,111,34,2016-01-02,26-143,ORL,CLE,-25,0,21:48,4,6,.667,0,0,,0,0,,0,5,5,0,0,1,0,2,8,6.8,+6
21,112,35,2016-01-04,26-145,ORL,DET,-26,0,9:02,0,0,,0,0,,0,0,,0,1,1,0,0,3,0,1,0,2.0,-9
22,113,36,2016-01-06,26-147,ORL,IND,-9,0,7:08,0,1,.000,0,0,,2,2,1.000,1,1,2,0,0,1,0,0,2,3.0,-3
23,114,38,2016-01-09,26-150,ORL,WAS,-6,0,0:37,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+4
24,115,40,2016-01-18,26-159,ORL,ATL,-17,0,10:36,2,2,1.000,0,0,,0,0,,2,5,7,0,1,0,1,1,4,5.9,-3
25,116,41,2016-01-20,26-161,ORL,PHI,-9,0,4:42,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-1.5,-3
26,117,43,2016-01-25,26-166,ORL,MEM,-6,0,2:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-1
27,118,45,2016-01-29,26-170,ORL,BOS,-19,0,7:03,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,0,2,1.6,+6
28,119,46,2016-01-31,26-172,ORL,BOS,5,0,7:38,1,2,.500,0,0,,1,2,.500,0,3,3,1,0,1,1,2,3,2.1,-8
