,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,69,1,1956-10-27,22-328,ROC,FTW,3,,,7,,,,,,1,1,1.000,,,,,,,,3,15,,
1,70,2,1956-10-28,22-329,ROC,SYR,-16,,,2,12,.167,,,,2,3,.667,,,3,1,,,,6,6,,
2,71,3,1956-11-01,22-333,ROC,MNL,-9,,,2,,,,,,4,4,1.000,,,,,,,,2,8,,
3,72,4,1956-11-03,22-335,ROC,MNL,-10,,,0,,,,,,0,1,.000,,,,,,,,0,0,,
4,73,5,1956-11-04,22-336,ROC,MNL,-1,,,4,,,,,,5,7,.714,,,,,,,,4,13,,
5,74,6,1956-11-07,22-339,ROC,PHW,1,,,3,,,,,,2,2,1.000,,,,,,,,3,8,,
6,75,7,1956-11-09,22-341,ROC,PHW,2,,,7,,,,,,4,5,.800,,,,,,,,5,18,,
7,76,8,1956-11-10,22-342,ROC,SYR,14,,,3,,,,,,6,7,.857,,,10,,,,,5,12,,
8,77,9,1956-11-11,22-343,ROC,MNL,12,,,2,,,,,,3,3,1.000,,,,,,,,5,7,,
9,78,10,1956-11-13,22-345,ROC,STL,-13,,,5,,,,,,3,4,.750,,,,,,,,6,13,,
10,79,11,1956-11-14,22-346,ROC,NYK,3,,,6,,,,,,3,4,.750,,,,,,,,4,15,,
11,80,12,1956-11-15,22-347,ROC,PHW,-9,,,8,,,,,,4,5,.800,,,,,,,,4,20,,
12,81,13,1956-11-17,22-349,ROC,BOS,-22,,,8,,,,,,4,6,.667,,,,,,,,3,20,,
13,82,14,1956-11-18,22-350,ROC,BOS,-14,,,3,,,,,,4,4,1.000,,,,,,,,6,10,,
14,83,15,1956-11-21,22-353,ROC,STL,9,,,1,,,,,,0,0,,,,,,,,,5,2,,
15,84,16,1956-11-22,22-354,ROC,FTW,-2,,,9,,,,,,7,9,.778,,,,,,,,2,25,,
16,85,17,1956-11-24,22-356,ROC,NYK,9,,,3,,,,,,1,1,1.000,,,,,,,,6,7,,
17,86,18,1956-11-25,22-357,ROC,NYK,2,,,6,,,,,,9,13,.692,,,,,,,,4,21,,
18,87,19,1956-11-27,22-359,ROC,SYR,8,,,3,,,,,,1,1,1.000,,,,,,,,5,7,,
19,88,20,1956-12-01,22-363,ROC,MNL,12,,,9,,,,,,2,5,.400,,,,,,,,5,20,,
20,89,21,1956-12-06,23-002,ROC,NYK,-3,,,7,,,,,,7,12,.583,,,,,,,,4,21,,
21,90,22,1956-12-08,23-004,ROC,PHW,1,,,2,,,,,,3,5,.600,,,,,,,,0,7,,
22,91,23,1956-12-09,23-005,ROC,FTW,1,,,7,,,,,,1,1,1.000,,,,,,,,6,15,,
23,92,24,1956-12-12,23-008,ROC,BOS,10,,,2,,,,,,2,2,1.000,,,,,,,,5,6,,
24,93,25,1956-12-15,23-011,ROC,NYK,-15,,,3,,,,,,1,1,1.000,,,,,,,,3,7,,
25,94,26,1956-12-16,23-012,ROC,MNL,-4,,,2,,,,,,2,2,1.000,,,,,,,,3,6,,
26,95,27,1956-12-20,23-016,ROC,MNL,-2,,,5,,,,,,2,6,.333,,,,,,,,5,12,,
27,96,28,1956-12-22,23-018,ROC,MNL,14,,,4,,,,,,1,3,.333,,,,,,,,,9,,
28,97,29,1956-12-25,23-021,ROC,SYR,5,,,6,,,,,,2,,,,,,,,,,5,14,,
29,98,30,1956-12-26,23-022,ROC,FTW,-6,,,2,,,,,,1,1,1.000,,,,,,,,1,5,,
30,99,31,1956-12-27,23-023,ROC,BOS,-5,,,6,,,,,,5,,,,,,,,,,5,17,,
31,100,32,1956-12-29,23-025,ROC,FTW,7,,,9,,,,,,1,,,,,,,,,,4,19,,
32,101,33,1956-12-30,23-026,ROC,NYK,-8,,,1,,,,,,5,6,.833,,,,,,,,3,7,,
33,102,34,1957-01-01,23-028,ROC,STL,1,,,2,,,,,,0,2,.000,,,,,,,,5,4,,
34,103,35,1957-01-05,23-032,ROC,PHW,-3,,,6,,,,,,0,2,.000,,,,,,,,3,12,,
35,104,36,1957-01-06,23-033,ROC,STL,7,,26:00,2,,,,,,4,4,1.000,,,10,,,,,5,8,,
36,105,37,1957-01-08,23-035,ROC,PHW,1,,,1,,,,,,0,2,.000,,,,,,,,5,2,,
37,106,38,1957-01-10,23-037,ROC,PHW,-19,,,4,,,,,,1,1,1.000,,,,,,,,6,9,,
38,107,39,1957-01-12,23-039,ROC,SYR,-9,,,4,,,,,,1,2,.500,,,,,,,,6,9,,
