,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,173,1,1955-11-05,27-162,MNL,STL,-12,,,4,,,,,,6,8,.750,,,,,,,,3,14,,
1,174,2,1955-11-06,27-163,MNL,FTW,1,,,3,,,,,,6,6,1.000,,,,,,,,5,12,,
2,175,3,1955-11-09,27-166,MNL,PHW,-11,,,3,,,,,,4,4,1.000,,,,,,,,6,10,,
3,176,4,1955-11-10,27-167,MNL,NYK,-7,,,2,,,,,,4,7,.571,,,,,,,,6,8,,
4,177,5,1955-11-11,27-168,MNL,BOS,-44,,,2,,,,,,8,11,.727,,,,,,,,4,12,,
5,178,6,1955-11-12,27-169,MNL,PHW,-11,,,2,,,,,,7,9,.778,,,,,,,,4,11,,
6,179,7,1955-11-16,27-173,MNL,SYR,-14,,,5,,,,,,3,3,1.000,,,,,,,,3,13,,
7,180,8,1955-11-19,27-176,MNL,ROC,1,,,4,,,,,,1,,,,,,,,,,5,9,,
8,181,9,1955-11-20,27-177,MNL,ROC,-8,,,2,,,,,,6,6,1.000,,,,,,,,4,10,,
9,182,10,1955-11-24,27-181,MNL,STL,8,,,3,,,,,,8,9,.889,,,,,,,,3,14,,
10,183,11,1955-11-26,27-183,MNL,STL,-9,,,4,,,,,,7,8,.875,,,,,,,,1,15,,
11,184,12,1955-11-27,27-184,MNL,PHW,5,,,,,,,,,1,1,1.000,,,,,,,,2,1,,
12,185,13,1955-11-30,27-187,MNL,STL,-2,,,,,,,,,2,2,1.000,,,,,,,,3,2,,
13,186,14,1955-12-01,27-188,MNL,NYK,7,,,6,,,,,,6,7,.857,,,,,,,,5,18,,
14,187,15,1955-12-03,27-190,MNL,SYR,-11,,,3,,,,,,3,,,,,,,,,,5,9,,
15,188,16,1955-12-04,27-191,MNL,SYR,-6,,,4,,,,,,2,2,1.000,,,,,,,,3,10,,
16,189,17,1955-12-06,27-193,MNL,PHW,-13,,,1,,,,,,6,6,1.000,,,,,,,,5,8,,
17,190,18,1955-12-07,27-194,MNL,ROC,-13,,,5,,,,,,7,7,1.000,,,,,,,,5,17,,
18,191,19,1955-12-10,27-197,MNL,BOS,-16,,,4,,,,,,3,3,1.000,,,,,,,,5,11,,
19,192,20,1955-12-13,27-200,MNL,NYK,-7,,,4,,,,,,4,5,.800,,,,,,,,2,12,,
