,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,26,1,1954-01-10,24-055,MLH,FTW,-8,,,,,,,,,1,,,,,,,,,,3,1,,
1,27,2,1954-01-12,24-057,MLH,ROC,-5,,,,,,,,,,,,,,,,,,,2,,,
2,28,3,1954-01-14,24-059,MLH,BOS,-12,,,1,,,,,,2,,,,,,,,,,2,4,,
3,29,4,1954-01-18,24-063,MLH,MNL,-19,,,3,,,,,,1,2,.500,,,,,,,,,7,,
4,30,5,1954-01-19,24-064,MLH,NYK,-3,,,,,,,,,,,,,,,,,,,,,,
5,31,6,1954-01-23,24-068,MLH,NYK,-12,,,5,,,,,,2,3,.667,,,,,,,,2,12,,
6,32,7,1954-01-24,24-069,MLH,NYK,2,,,1,,,,,,1,1,1.000,,,,,,,,4,3,,
7,33,8,1954-01-26,24-071,MLH,MNL,-15,,,,,,,,,,1,,,,,,,,,,,,
8,34,9,1954-01-27,24-072,MLH,FTW,-9,,,5,,,,,,3,,,,,,,,,,4,13,,
9,35,10,1954-01-29,24-074,MLH,BOS,12,,,,,,,,,3,,,,,,,,,,2,3,,
10,36,11,1954-01-30,24-075,MLH,MNL,-16,,,2,,,,,,6,8,.750,,,,,,,,1,10,,
11,37,12,1954-02-01,24-077,MLH,FTW,-1,,,1,,,,,,1,,,,,,,,,,,3,,
12,38,13,1954-02-03,24-079,MLH,BLB,6,,,1,,,,,,2,,,,,,,,,,2,4,,
13,39,14,1954-02-05,24-081,MLH,PHW,3,,,,,,,,,,,,,,,,,,,,,,
14,40,15,1954-02-07,24-083,MLH,SYR,-15,,,5,,,,,,4,,,,,,,,,,1,14,,
15,41,16,1954-02-09,24-085,MLH,ROC,-11,,,2,,,,,,,,,,,,,,,,1,4,,
16,42,17,1954-02-11,24-087,MLH,ROC,-11,,,4,,,,,,2,,,,,,,,,,1,10,,
17,43,18,1954-02-12,24-088,MLH,MNL,9,,,1,,,,,,1,2,.500,,,,,,,,2,3,,
18,44,19,1954-02-16,24-092,MLH,FTW,-4,,,,,,,,,1,,,,,,,,,,1,1,,
19,45,20,1954-02-19,24-095,MLH,BOS,-5,,,,,,,,,,,,,,,,,,,,,,
20,46,21,1954-02-20,24-096,MLH,ROC,-2,,,,,,,,,,,,,,,,,,,1,,,
21,47,22,1954-02-22,24-098,MLH,FTW,-13,,,1,,,,,,3,,,,,,,,,,3,5,,
22,48,23,1954-02-23,24-099,MLH,SYR,2,,,,,,,,,4,,,,,,,,,,2,4,,
23,49,24,1954-02-26,24-102,MLH,SYR,-6,,,1,,,,,,,,,,,,,,,,5,2,,
24,50,25,1954-02-28,24-104,MLH,BOS,-19,,,1,,,,,,,,,,,,,,,,2,2,,
25,51,26,1954-03-01,24-105,MLH,PHW,-5,,,,,,,,,,,,,,,,,,,,,,
26,52,27,1954-03-03,24-107,MLH,BLB,3,,,,,,,,,,,,,,,,,,,1,,,
27,53,28,1954-03-04,24-108,MLH,BLB,-8,,,3,,,,,,3,,,,,,,,,,3,9,,
28,54,29,1954-03-07,24-111,MLH,MNL,-2,,,1,,,,,,,1,,,,,,,,,1,2,,
29,55,30,1954-03-09,24-113,MLH,NYK,-7,,,1,,,,,,2,,,,,,,,,,3,4,,
30,56,31,1954-03-10,24-114,MLH,ROC,-15,,,4,,,,,,3,,,,,,,,,,3,11,,
31,57,32,1954-03-14,24-118,MLH,ROC,38,,,,,,,,,2,,,,,,,,,,,2,,
