,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,159,1,1967-10-17,24-237,NYK,SFW,2,,31:00,4,9,.444,,,,4,4,1.000,,,7,6,,,,3,12,,
1,160,2,1967-10-18,24-238,NYK,BAL,-23,,29:00,1,4,.250,,,,4,7,.571,,,10,4,,,,0,6,,
2,161,3,1967-10-21,24-241,NYK,LAL,-8,,24:00,1,6,.167,,,,3,4,.750,,,5,1,,,,5,5,,
3,162,4,1967-10-24,24-244,NYK,STL,-5,,34:00,5,11,.455,,,,2,5,.400,,,8,2,,,,4,12,,
4,163,5,1967-10-25,24-245,NYK,PHI,-3,,31:00,9,19,.474,,,,2,2,1.000,,,9,3,,,,4,20,,
5,164,6,1967-10-28,24-248,NYK,DET,-13,,31:00,4,9,.444,,,,4,4,1.000,,,11,3,,,,1,12,,
6,165,7,1967-10-31,24-251,NYK,SFW,-5,,,6,12,.500,,,,6,7,.857,,,8,,,,,4,18,,
7,166,8,1967-11-01,24-252,NYK,LAL,16,,,3,6,.500,,,,7,10,.700,,,5,5,,,,5,13,,
8,167,9,1967-11-03,24-254,NYK,SEA,34,,27:00,5,9,.556,,,,2,2,1.000,,,6,4,,,,2,12,,
9,168,10,1967-11-04,24-255,NYK,SDR,4,,,5,,,,,,4,5,.800,,,,,,,,,14,,
10,169,11,1967-11-05,24-256,NYK,SDR,8,,,6,,,,,,5,8,.625,,,,,,,,,17,,
11,170,12,1967-11-08,24-259,NYK,DET,-2,,,6,,,,,,2,3,.667,,,,,,,,,14,,
12,171,13,1967-11-09,24-260,NYK,CIN,17,,,2,,,,,,4,4,1.000,,,,,,,,,8,,
13,172,14,1967-11-11,24-262,NYK,BOS,5,,,4,,,,,,2,5,.400,,,,,,,,,10,,
14,173,15,1967-11-14,24-265,NYK,SDR,13,,,5,,,,,,8,9,.889,,,,,,,,,18,,
15,174,16,1967-11-15,24-266,NYK,SDR,-14,,,4,,,,,,2,7,.286,,,,,,,,,10,,
16,175,17,1967-11-18,24-269,NYK,BAL,-8,,,1,,,,,,0,2,.000,,,,,,,,,2,,
17,176,18,1967-11-21,24-272,NYK,CHI,2,,,8,,,,,,2,3,.667,,,,,,,,,18,,
18,177,19,1967-11-22,24-273,NYK,CIN,-1,,,7,,,,,,3,5,.600,,,,,,,,,17,,
19,178,20,1967-11-23,24-274,NYK,CHI,-10,,,3,,,,,,7,11,.636,,,,,,,,,13,,
20,179,21,1967-11-25,24-276,NYK,SEA,1,,,8,,,,,,4,5,.800,,,7,5,,,,,20,,
21,180,22,1967-11-28,24-279,NYK,PHI,-2,,37:00,1,8,.125,,,,1,2,.500,,,8,11,,,,3,3,,
22,181,23,1967-11-29,24-280,NYK,CIN,20,,,3,,,,,,3,3,1.000,,,,,,,,,9,,
23,182,24,1967-12-01,24-282,NYK,CHI,-2,,,2,9,.222,,,,12,13,.923,,,7,4,,,,1,16,,
24,183,25,1967-12-02,24-283,NYK,LAL,-16,,26:00,3,10,.300,,,,0,3,.000,,,2,1,,,,3,6,,
25,184,26,1967-12-05,24-286,NYK,BAL,31,,24:00,3,9,.333,,,,3,6,.500,,,3,3,,,,3,9,,
26,185,27,1967-12-06,24-287,NYK,BOS,-2,,28:00,3,9,.333,,,,2,3,.667,,,8,5,,,,5,8,,
27,186,28,1967-12-09,24-290,NYK,DET,-3,,28:00,3,6,.500,,,,4,6,.667,,,4,5,,,,2,10,,
28,187,29,1967-12-12,24-293,NYK,STL,-3,,44:00,4,12,.333,,,,4,7,.571,,,11,5,,,,1,12,,
29,188,30,1967-12-13,24-294,NYK,DET,-12,,41:00,6,15,.400,,,,6,7,.857,,,9,3,,,,4,18,,
30,189,31,1967-12-16,24-297,NYK,SDR,24,,22:00,2,6,.333,,,,0,1,.000,,,6,3,,,,1,4,,
31,190,32,1967-12-19,24-300,NYK,CIN,15,,22:00,4,9,.444,,,,1,1,1.000,,,2,2,,,,3,9,,
32,191,33,1967-12-20,24-301,NYK,LAL,7,,36:00,4,10,.400,,,,5,8,.625,,,6,9,,,,1,13,,
33,192,34,1967-12-22,24-303,NYK,SEA,-12,,23:00,1,8,.125,,,,3,6,.500,,,2,1,,,,3,5,,
34,193,35,1967-12-25,24-306,NYK,BOS,-10,,37:00,7,10,.700,,,,8,9,.889,,,4,1,,,,1,22,,
35,194,36,1967-12-26,24-307,NYK,SEA,-2,,31:00,6,10,.600,,,,5,6,.833,,,6,3,,,,4,17,,
36,195,37,1967-12-27,24-308,NYK,PHI,-9,,29:00,1,5,.200,,,,1,1,1.000,,,4,0,,,,4,3,,
37,196,38,1967-12-29,24-310,NYK,LAL,-11,,35:00,7,11,.636,,,,3,3,1.000,,,6,3,,,,5,17,,
38,197,39,1968-01-02,24-314,NYK,CIN,-6,,25:00,1,3,.333,,,,1,3,.333,,,6,3,,,,4,3,,
39,198,40,1968-01-03,24-315,NYK,PHI,14,,30:00,6,11,.545,,,,3,3,1.000,,,9,4,,,,4,15,,
40,199,41,1968-01-05,24-317,NYK,CHI,22,,33:00,12,14,.857,,,,6,7,.857,,,7,3,,,,4,30,,
41,200,42,1968-01-06,24-318,NYK,DET,17,,18:00,2,9,.222,,,,0,2,.000,,,8,2,,,,4,4,,
42,201,43,1968-01-08,24-320,NYK,SEA,6,,37:00,4,10,.400,,,,10,13,.769,,,12,2,,,,2,18,,
43,202,44,1968-01-09,24-321,NYK,SDR,13,,39:00,9,13,.692,,,,5,7,.714,,,7,0,,,,5,23,,
44,203,45,1968-01-10,24-322,NYK,LAL,14,,,2,10,.200,,,,6,8,.750,,,4,3,,,,3,10,,
45,204,46,1968-01-15,24-327,NYK,SEA,-16,,31:00,6,10,.600,,,,4,4,1.000,,,2,0,,,,5,16,,
46,205,47,1968-01-17,24-329,NYK,BAL,2,,40:00,4,9,.444,,,,6,9,.667,,,5,1,,,,4,14,,
47,206,48,1968-01-19,24-331,NYK,BOS,-6,,33:00,4,10,.400,,,,3,4,.750,,,2,3,,,,1,11,,
48,207,49,1968-01-25,24-337,NYK,CHI,8,,30:00,2,6,.333,,,,0,1,.000,,,7,1,,,,4,4,,
49,208,50,1968-01-26,24-338,NYK,STL,-9,,18:00,2,8,.250,,,,0,0,,,,4,2,,,,2,4,,
50,209,51,1968-01-28,24-340,NYK,SFW,3,,23:00,4,8,.500,,,,0,2,.000,,,4,3,,,,1,8,,
51,210,52,1968-01-30,24-342,NYK,BAL,-3,,16:00,1,5,.200,,,,1,1,1.000,,,4,0,,,,3,3,,
52,211,53,1968-01-31,24-343,NYK,CIN,2,,22:00,7,11,.636,,,,4,6,.667,,,2,3,,,,1,18,,
53,212,54,1968-02-01,24-344,NYK,CHI,9,,28:00,6,12,.500,,,,1,1,1.000,,,5,1,,,,3,13,,
54,213,55,1968-02-03,24-346,NYK,BOS,-4,,34:00,10,14,.714,,,,3,6,.500,,,7,0,,,,5,23,,
55,214,56,1968-02-04,24-347,NYK,BOS,2,,35:00,4,11,.364,,,,0,1,.000,,,4,1,,,,4,8,,
56,215,57,1968-02-06,24-349,NYK,STL,21,,38:00,4,12,.333,,,,1,1,1.000,,,7,2,,,,2,9,,
57,216,58,1968-02-07,24-350,NYK,BAL,3,,13:00,3,5,.600,,,,1,3,.333,,,2,0,,,,2,7,,
58,217,59,1968-02-09,24-352,NYK,STL,-10,,21:00,1,6,.167,,,,0,2,.000,,,2,1,,,,3,2,,
59,218,60,1968-02-10,24-353,NYK,PHI,18,,33:00,4,8,.500,,,,1,2,.500,,,3,2,,,,4,9,,
60,219,61,1968-02-14,24-357,NYK,SDR,12,,21:00,4,6,.667,,,,4,7,.571,,,5,3,,,,4,12,,
61,220,62,1968-02-16,24-359,NYK,CIN,-34,,26:00,5,13,.385,,,,3,3,1.000,,,4,1,,,,2,13,,
62,221,63,1968-02-17,24-360,NYK,SEA,23,,25:00,2,7,.286,,,,2,2,1.000,,,4,4,,,,0,6,,
63,222,64,1968-02-20,24-363,NYK,SFW,3,,31:00,1,7,.143,,,,2,2,1.000,,,7,5,,,,5,4,,
64,223,65,1968-02-24,25-002,NYK,CHI,8,,26:00,3,6,.500,,,,2,3,.667,,,3,2,,,,2,8,,
65,224,66,1968-02-25,25-003,NYK,DET,9,,29:00,6,12,.500,,,,3,5,.600,,,3,3,,,,2,15,,
66,225,67,1968-02-27,25-005,NYK,STL,-6,,17:00,1,4,.250,,,,0,0,,,,1,0,,,,2,2,,
67,226,68,1968-02-28,25-006,NYK,BAL,4,,,3,,,,,,4,6,.667,,,,,,,,,10,,
68,227,69,1968-02-29,25-007,NYK,STL,-3,,26:00,1,4,.250,,,,0,0,,,,2,5,,,,4,2,,
69,228,70,1968-03-02,25-009,NYK,DET,26,,32:00,8,11,.727,,,,7,9,.778,,,6,5,,,,1,23,,
70,229,71,1968-03-05,25-012,NYK,BOS,-22,,29:00,0,1,.000,,,,1,4,.250,,,5,2,,,,3,1,,
71,230,72,1968-03-06,25-013,NYK,BOS,-12,,17:00,1,4,.250,,,,0,4,.000,,,2,2,,,,4,2,,
72,231,73,1968-03-12,25-019,NYK,BAL,3,,21:00,0,3,.000,,,,0,0,,,,4,3,,,,1,0,,
73,232,74,1968-03-13,25-020,NYK,PHI,10,,34:00,8,19,.421,,,,1,1,1.000,,,2,3,,,,3,17,,
74,233,75,1968-03-15,25-022,NYK,LAL,-11,,22:00,3,7,.429,,,,2,3,.667,,,2,1,,,,0,8,,
75,234,76,1968-03-17,25-024,NYK,SFW,26,,33:00,8,13,.615,,,,1,1,1.000,,,5,5,,,,1,17,,
76,235,77,1968-03-18,25-025,NYK,SFW,5,,23:00,4,9,.444,,,,2,2,1.000,,,4,5,,,,4,10,,
77,236,78,1968-03-20,25-027,NYK,CIN,2,,20:00,4,8,.500,,,,0,2,.000,,,1,3,,,,2,8,,
