,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2017-10-18,21-269,MEM,NOP,12,0,29:25,7,13,.538,0,2,.000,5,7,.714,2,3,5,2,4,2,2,2,19,18.2,+17
1,2,2,2017-10-21,21-272,MEM,GSW,10,0,32:05,4,7,.571,1,2,.500,0,1,.000,0,2,2,2,1,1,2,5,9,5.0,0
2,3,3,2017-10-23,21-274,MEM,HOU,8,0,21:12,1,2,.500,0,1,.000,1,2,.500,0,0,0,0,1,0,1,1,3,1.2,+5
3,4,4,2017-10-25,21-276,MEM,DAL,-9,0,27:46,2,5,.400,0,2,.000,0,0,,1,1,2,0,0,0,4,5,4,-3.7,-5
4,5,5,2017-10-26,21-277,MEM,DAL,5,0,24:58,3,7,.429,1,2,.500,0,1,.000,0,5,5,0,2,0,1,3,7,4.2,+12
5,6,6,2017-10-28,21-279,MEM,HOU,14,0,28:55,2,7,.286,1,4,.250,1,1,1.000,0,5,5,3,2,0,1,2,6,5.7,+24
6,7,7,2017-10-30,21-281,MEM,CHO,-5,0,31:19,4,7,.571,1,2,.500,2,3,.667,1,7,8,3,0,0,4,4,11,6.6,-4
7,8,8,2017-11-01,21-283,MEM,ORL,-2,0,37:34,5,13,.385,2,6,.333,0,0,,1,3,4,0,0,0,1,4,12,3.9,+12
8,9,9,2017-11-04,21-286,MEM,LAC,9,1,29:22,1,8,.125,0,2,.000,0,0,,1,4,5,2,1,0,2,6,2,-3.3,-2
9,10,10,2017-11-05,21-287,MEM,LAL,-5,1,26:03,4,6,.667,1,3,.333,4,4,1.000,0,3,3,1,0,0,3,5,13,7.0,+19
10,11,11,2017-11-07,21-289,MEM,POR,1,1,37:44,3,8,.375,0,1,.000,1,1,1.000,1,7,8,1,3,2,0,3,7,9.3,-3
11,12,12,2017-11-11,21-293,MEM,HOU,-15,1,27:44,4,8,.500,1,2,.500,0,0,,1,5,6,0,1,1,0,4,9,7.3,-9
12,13,13,2017-11-13,21-295,MEM,MIL,-7,1,27:48,6,9,.667,2,4,.500,5,5,1.000,2,2,4,0,1,0,0,5,19,16.1,-9
13,14,14,2017-11-15,21-297,MEM,IND,-3,1,24:25,5,10,.500,0,3,.000,1,2,.500,2,3,5,2,1,1,2,3,11,7.8,-11
14,15,15,2017-11-18,21-300,MEM,HOU,-22,1,33:04,3,9,.333,0,4,.000,1,2,.500,1,2,3,2,2,0,2,2,7,3.4,-14
15,16,16,2017-11-20,21-302,MEM,POR,-8,1,29:34,2,3,.667,0,0,,0,0,,0,2,2,2,0,1,0,3,4,4.2,-4
16,17,17,2017-11-22,21-304,MEM,DAL,-1,1,32:27,5,8,.625,3,4,.750,0,0,,1,1,2,1,0,1,1,5,13,8.8,0
17,18,18,2017-11-24,21-306,MEM,DEN,-12,1,35:03,3,8,.375,1,3,.333,0,0,,0,1,1,2,0,2,1,4,7,3.1,-6
18,19,19,2017-11-26,21-308,MEM,BRK,-10,1,23:29,1,5,.200,0,1,.000,0,0,,1,0,1,0,2,0,2,1,2,-0.8,-15
19,20,20,2017-11-29,21-311,MEM,SAS,-9,1,33:11,3,6,.500,2,3,.667,0,0,,1,1,2,2,0,0,3,2,8,3.6,-13
20,21,21,2017-12-01,21-313,MEM,SAS,-16,1,22:36,0,2,.000,0,0,,0,0,,0,1,1,2,1,0,2,3,0,-1.9,-11
21,22,22,2017-12-02,21-314,MEM,CLE,-5,1,27:47,3,4,.750,1,1,1.000,2,2,1.000,0,5,5,2,0,0,3,3,9,6.1,-3
22,23,23,2017-12-04,21-316,MEM,MIN,3,1,27:41,4,6,.667,1,2,.500,0,0,,0,4,4,0,0,0,1,3,9,5.4,+3
23,24,24,2017-12-06,21-318,MEM,NYK,-11,1,18:18,0,2,.000,0,1,.000,0,0,,0,3,3,2,1,0,0,2,0,1.1,-20
24,25,25,2017-12-08,21-320,MEM,TOR,-9,1,17:12,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,4,2,-0.6,-6
25,26,26,2017-12-09,21-321,MEM,OKC,-1,1,37:37,5,8,.625,2,3,.667,1,1,1.000,1,3,4,3,0,0,0,5,13,11.1,-5
26,27,27,2017-12-11,21-323,MEM,MIA,-25,1,18:33,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,1,5,0,-4.1,-9
27,28,28,2017-12-13,21-325,MEM,WAS,-6,1,22:24,2,6,.333,0,2,.000,2,2,1.000,0,1,1,1,1,0,0,3,6,3.4,-13
28,29,29,2017-12-15,21-327,MEM,ATL,2,1,22:02,3,6,.500,0,2,.000,2,2,1.000,1,2,3,1,1,0,1,1,8,6.6,+5
29,30,30,2017-12-16,21-328,MEM,BOS,-9,1,34:50,5,12,.417,4,5,.800,0,0,,0,1,1,1,0,0,0,0,14,8.6,+5
30,31,31,2017-12-20,21-332,MEM,GSW,-13,1,21:20,3,6,.500,3,4,.750,0,0,,0,2,2,0,0,0,1,2,9,4.8,-2
31,32,32,2017-12-21,21-333,MEM,PHO,-2,1,28:37,5,10,.500,1,3,.333,0,0,,0,2,2,0,1,2,0,3,11,7.8,+11
32,33,33,2017-12-23,21-335,MEM,LAC,3,1,23:40,3,7,.429,3,5,.600,2,2,1.000,0,0,0,1,0,0,0,5,11,6.0,-6
33,34,34,2017-12-26,21-338,MEM,PHO,-2,1,33:00,3,10,.300,0,4,.000,0,0,,0,1,1,1,1,0,0,4,6,0.6,-2
34,35,35,2017-12-27,21-339,MEM,LAL,10,1,30:06,2,5,.400,1,2,.500,0,2,.000,0,1,1,1,1,0,0,3,5,2.3,+1
35,36,36,2017-12-30,21-342,MEM,GSW,-13,1,24:28,1,6,.167,0,1,.000,3,4,.750,0,1,1,1,0,0,0,1,5,1.4,-16
36,37,37,2017-12-31,21-343,MEM,SAC,18,1,18:39,2,3,.667,0,0,,1,2,.500,0,3,3,1,0,0,0,0,5,4.9,-6
37,38,38,2018-01-02,21-345,MEM,LAC,-8,1,17:33,4,6,.667,3,4,.750,0,0,,0,1,1,1,0,0,0,2,11,8.6,-9
38,39,39,2018-01-05,21-348,MEM,WAS,-2,1,17:16,3,4,.750,1,2,.500,0,1,.000,0,2,2,0,0,0,2,3,7,2.4,-5
39,40,40,2018-01-10,21-353,MEM,NOP,3,1,23:09,0,4,.000,0,2,.000,0,0,,0,2,2,2,0,0,0,5,0,-2.8,+13
40,41,41,2018-01-12,21-355,MEM,DEN,-9,1,35:38,4,11,.364,0,3,.000,0,0,,0,1,1,1,1,0,0,3,8,2.7,+6
41,42,42,2018-01-15,21-358,MEM,LAL,9,1,26:44,6,8,.750,4,5,.800,3,4,.750,1,3,4,2,0,0,2,5,19,14.4,-11
42,43,43,2018-01-17,21-360,MEM,NYK,6,1,31:49,6,11,.545,3,6,.500,2,3,.667,2,3,5,1,2,0,3,3,17,12.1,+16
43,44,44,2018-01-19,21-362,MEM,SAC,18,1,27:54,8,13,.615,3,6,.500,3,4,.750,1,2,3,0,3,0,2,1,22,17.6,+14
44,45,45,2018-01-20,21-363,MEM,NOP,-7,1,30:07,4,8,.500,2,4,.500,0,0,,1,4,5,3,1,0,2,6,10,6.6,-5
45,46,46,2018-01-22,22-000,MEM,PHI,4,1,29:00,2,7,.286,1,3,.333,2,2,1.000,1,3,4,0,2,0,2,4,7,2.9,+3
46,47,47,2018-01-24,22-002,MEM,SAS,-23,1,30:04,5,10,.500,0,1,.000,0,1,.000,2,5,7,2,0,0,1,3,10,6.7,-22
47,48,48,2018-01-26,22-004,MEM,LAC,-9,1,34:45,6,10,.600,1,2,.500,2,2,1.000,0,3,3,2,0,0,2,2,15,9.9,-2
48,49,49,2018-01-29,22-007,MEM,PHO,11,1,25:42,5,8,.625,1,2,.500,1,2,.500,0,3,3,2,0,0,4,2,12,5.5,-3
49,50,50,2018-01-31,22-009,MEM,IND,-4,1,39:55,6,19,.316,0,4,.000,0,0,,1,4,5,2,4,0,0,2,12,7.6,-10
50,51,51,2018-02-01,22-010,MEM,DET,-2,1,31:38,5,11,.455,2,5,.400,1,1,1.000,0,4,4,3,0,0,0,3,13,9.4,-3
51,52,52,2018-02-04,22-013,MEM,TOR,-15,1,26:45,4,10,.400,2,5,.400,2,2,1.000,0,5,5,0,0,0,2,5,12,4.1,-9
52,53,53,2018-02-06,22-015,MEM,ATL,-26,1,32:36,5,14,.357,0,4,.000,2,5,.400,0,1,1,4,0,1,3,2,12,3.0,-23
53,54,54,2018-02-07,22-016,MEM,UTA,-4,1,31:19,4,13,.308,1,3,.333,2,2,1.000,2,4,6,1,3,0,0,3,11,8.6,+6
54,55,55,2018-02-11,22-020,MEM,OKC,-18,1,23:36,3,6,.500,0,0,,0,0,,1,3,4,4,0,0,5,6,6,0.0,-10
55,56,56,2018-02-14,22-023,MEM,OKC,-7,1,38:43,6,15,.400,2,6,.333,0,0,,0,5,5,3,1,0,0,1,14,10.1,+9
56,57,57,2018-02-23,22-032,MEM,CLE,-23,1,31:18,4,11,.364,0,3,.000,4,5,.800,0,3,3,1,1,0,2,2,12,5.3,-14
57,58,58,2018-02-24,22-033,MEM,MIA,-26,1,26:25,3,9,.333,0,0,,2,2,1.000,0,2,2,3,2,0,2,4,8,4.0,-12
58,59,59,2018-02-26,22-035,MEM,BOS,-11,1,29:50,2,10,.200,0,2,.000,2,2,1.000,0,2,2,2,2,0,1,4,6,1.2,+2
59,60,60,2018-02-28,22-037,MEM,PHO,-8,1,30:06,3,9,.333,1,3,.333,0,0,,0,2,2,3,1,0,2,4,7,2.0,+4
60,61,61,2018-03-02,22-039,MEM,DEN,-6,1,33:11,5,11,.455,1,2,.500,2,4,.500,2,2,4,2,1,0,2,1,13,8.5,-6
61,62,62,2018-03-03,22-040,MEM,ORL,-7,1,37:02,4,14,.286,0,3,.000,1,2,.500,0,3,3,4,0,0,2,2,9,1.3,-14
62,63,63,2018-03-05,22-042,MEM,SAS,-2,1,34:42,9,17,.529,2,5,.400,1,1,1.000,2,2,4,1,0,0,5,3,21,9.2,-3
63,64,64,2018-03-07,22-044,MEM,CHI,-9,1,28:04,10,18,.556,5,9,.556,4,4,1.000,0,1,1,2,2,0,0,2,29,23.3,+1
64,65,65,2018-03-09,22-046,MEM,UTA,-17,1,32:24,7,16,.438,2,6,.333,2,2,1.000,1,2,3,1,0,0,4,3,18,6.4,-2
65,66,66,2018-03-10,22-047,MEM,DAL,-34,1,30:12,6,15,.400,1,2,.500,4,6,.667,2,4,6,1,1,0,3,1,17,9.0,-7
66,67,67,2018-03-12,22-049,MEM,MIL,-18,1,30:02,7,13,.538,2,5,.400,0,0,,0,0,0,1,1,0,0,2,16,10.6,-9
67,68,68,2018-03-15,22-052,MEM,CHI,-1,1,29:58,4,12,.333,2,6,.333,5,5,1.000,1,1,2,3,2,0,1,1,15,11.9,+4
68,69,69,2018-03-17,22-054,MEM,DEN,7,1,39:07,8,17,.471,4,9,.444,4,4,1.000,1,4,5,1,0,1,1,4,24,16.0,+7
69,70,70,2018-03-19,22-056,MEM,BRK,-3,1,30:09,5,15,.333,1,2,.500,4,4,1.000,0,1,1,2,0,0,1,4,15,5.6,-10
70,71,71,2018-03-21,22-058,MEM,PHI,-14,1,21:31,6,9,.667,1,3,.333,1,2,.500,0,0,0,1,1,0,4,1,14,7.0,-14
71,72,72,2018-03-22,22-059,MEM,CHO,-61,1,16:16,2,5,.400,1,3,.333,0,0,,1,0,1,0,0,0,1,1,5,1.6,-27
72,73,73,2018-03-24,22-061,MEM,LAL,-7,1,35:15,4,14,.286,1,7,.143,1,2,.500,1,1,2,4,1,0,2,3,10,3.0,+3
73,74,74,2018-03-26,22-063,MEM,MIN,8,1,18:51,1,5,.200,0,1,.000,0,2,.000,1,0,1,1,1,0,2,2,2,-2.3,+2
74,75,75,2018-03-28,22-065,MEM,POR,5,1,29:55,6,12,.500,1,3,.333,5,8,.625,2,4,6,2,2,0,2,3,18,13.6,+4
75,76,76,2018-03-30,22-067,MEM,UTA,-10,1,26:03,5,12,.417,0,3,.000,0,0,,1,4,5,0,0,0,1,1,10,4.1,-4
76,77,77,2018-04-01,22-069,MEM,POR,-15,1,37:41,11,26,.423,4,9,.444,2,3,.667,1,5,6,4,2,1,4,2,28,16.7,-9
77,78,78,2018-04-04,22-072,MEM,NOP,-28,1,15:34,4,7,.571,0,3,.000,0,0,,0,0,0,2,1,1,0,0,8,7.8,-14
78,79,79,2018-04-06,22-074,MEM,SAC,-1,1,34:46,4,12,.333,3,7,.429,5,8,.625,1,2,3,6,1,0,3,1,16,11.1,+7
79,80,80,2018-04-08,22-076,MEM,DET,13,1,31:47,5,12,.417,1,4,.250,11,14,.786,0,8,8,8,2,0,3,1,22,21.0,+6
80,81,81,2018-04-09,22-077,MEM,MIN,-19,1,30:23,5,15,.333,0,2,.000,5,6,.833,1,3,4,4,2,0,3,2,15,8.7,-13
81,82,82,2018-04-11,22-079,MEM,OKC,-14,1,32:59,14,22,.636,3,7,.429,5,5,1.000,1,6,7,1,2,0,2,2,36,28.6,0
