,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,682,1,2007-10-31,29-134,DAL,CLE,18,1,37:11,6,15,.400,0,2,.000,3,5,.600,1,7,8,6,0,2,2,3,15,11.3,+20
1,683,2,2007-11-02,29-136,DAL,ATL,-7,1,38:04,10,22,.455,2,7,.286,6,7,.857,0,8,8,2,1,0,3,2,28,17.2,-4
2,684,3,2007-11-03,29-137,DAL,SAC,21,1,29:52,9,11,.818,0,0,,6,6,1.000,2,2,4,7,0,1,2,2,24,24.7,+19
3,685,4,2007-11-05,29-139,DAL,HOU,9,1,33:31,7,20,.350,1,2,.500,4,4,1.000,2,7,9,5,2,0,2,5,19,12.8,+4
4,686,5,2007-11-08,29-142,DAL,GSW,5,1,38:41,6,15,.400,2,5,.400,8,10,.800,1,10,11,3,0,1,2,3,22,16.4,+13
5,687,6,2007-11-10,29-144,DAL,POR,-9,1,37:42,4,13,.308,0,2,.000,3,3,1.000,1,8,9,5,1,0,1,5,11,8.1,-16
6,688,7,2007-11-13,29-147,DAL,PHI,15,1,36:46,7,14,.500,1,3,.333,6,9,.667,0,12,12,8,2,3,0,1,21,25.7,+32
7,689,8,2007-11-15,29-149,DAL,SAS,13,1,37:07,6,14,.429,0,2,.000,5,6,.833,2,6,8,5,1,4,2,4,17,16.1,+23
8,690,9,2007-11-17,29-151,DAL,MEM,3,1,32:59,6,13,.462,0,0,,9,14,.643,3,6,9,2,1,0,4,2,21,13.8,+11
9,691,10,2007-11-20,29-154,DAL,TOR,6,1,36:32,12,19,.632,4,6,.667,4,4,1.000,1,6,7,1,0,1,2,1,32,25.0,-2
10,692,11,2007-11-21,29-155,DAL,HOU,6,1,36:55,8,16,.500,0,1,.000,2,5,.400,2,12,14,0,0,1,1,3,18,12.3,+1
11,693,12,2007-11-23,29-157,DAL,IND,-4,1,42:10,6,14,.429,0,3,.000,8,8,1.000,1,10,11,5,0,1,2,4,20,16.9,+5
12,694,13,2007-11-24,29-158,DAL,MIL,-2,1,33:53,7,14,.500,2,4,.500,4,6,.667,0,3,3,3,0,1,1,3,20,13.7,-1
13,695,14,2007-11-26,29-160,DAL,WAS,-12,1,34:54,10,18,.556,0,1,.000,11,11,1.000,2,6,8,6,1,1,1,5,31,28.5,-9
14,696,15,2007-11-28,29-162,DAL,MIN,6,1,34:39,7,13,.538,0,1,.000,13,13,1.000,1,10,11,4,0,1,1,1,27,26.5,-2
15,697,16,2007-11-30,29-164,DAL,POR,11,1,32:36,5,15,.333,0,0,,1,1,1.000,0,2,2,2,0,2,3,4,11,1.3,+16
16,698,17,2007-12-01,29-165,DAL,NOH,-4,1,35:19,5,15,.333,0,3,.000,9,10,.900,1,5,6,3,0,0,1,2,19,12.6,-11
17,699,18,2007-12-03,29-167,DAL,CHI,5,1,34:25,9,17,.529,0,2,.000,7,7,1.000,0,6,6,2,0,0,2,2,25,17.1,+2
18,700,19,2007-12-05,29-169,DAL,SAS,-2,1,38:58,4,11,.364,1,3,.333,6,7,.857,0,9,9,2,0,0,4,3,15,7.4,+3
19,701,20,2007-12-06,29-170,DAL,DEN,-13,1,38:10,10,20,.500,2,5,.400,10,10,1.000,2,10,12,5,0,1,4,2,32,25.8,-4
20,702,21,2007-12-08,29-172,DAL,UTA,8,1,36:43,8,17,.471,0,1,.000,0,0,,1,7,8,3,1,1,1,1,16,12.5,+12
21,703,22,2007-12-10,29-174,DAL,NYK,10,1,39:14,14,23,.609,3,5,.600,5,7,.714,0,7,7,4,2,0,4,0,36,27.6,+14
