,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,83,1,1971-10-14,23-321,HOU,PHI,-11,,,4,,,,,,1,2,.500,,,,,,,,6,9,,
1,84,2,1971-10-31,23-338,HOU,BUF,15,,,1,,,,,,0,0,,,,,,,,,,2,,
2,85,3,1971-11-03,23-341,HOU,NYK,-19,,,1,,,,,,0,0,,,,,,,,,,2,,
3,86,4,1971-11-10,23-348,ATL,MIL,-6,,,5,,,,,,0,0,,,,,,,,,,10,,
4,87,5,1971-11-12,23-350,ATL,GSW,2,,,2,,,,,,0,2,.000,,,,,,,,,4,,
5,88,6,1971-11-17,23-355,ATL,SEA,-8,,,2,,,,,,1,3,.333,,,,,,,,,5,,
6,89,7,1971-11-20,23-358,ATL,PHO,6,,,6,,,,,,0,1,.000,,,,,,,,6,12,,
7,90,8,1971-11-23,23-361,ATL,BUF,-5,,,5,,,,,,4,4,1.000,,,,,,,,,14,,
8,91,9,1971-11-24,23-362,ATL,MIL,-34,,,5,,,,,,7,8,.875,,,,,,,,,17,,
9,92,10,1971-11-26,23-364,ATL,BAL,-13,,,2,,,,,,8,12,.667,,,,,,,,,12,,
10,93,11,1971-11-27,24-000,ATL,CLE,-8,,,0,,,,,,1,2,.500,,,,,,,,,1,,
11,94,12,1971-11-28,24-001,ATL,BOS,-22,,,5,,,,,,1,2,.500,,,,,,,,,11,,
12,95,13,1971-11-30,24-003,ATL,CHI,-1,,,4,,,,,,1,2,.500,,,,,,,,,9,,
13,96,14,1971-12-01,24-004,ATL,DET,14,,,3,,,,,,1,3,.333,,,,,,,,,7,,
14,97,15,1971-12-04,24-007,ATL,PHI,17,,,4,,,,,,6,8,.750,,,,,,,,,14,,
15,98,16,1971-12-07,24-010,ATL,GSW,3,,,1,,,,,,0,0,,,,,,,,,,2,,
16,99,17,1971-12-09,24-012,ATL,PHO,-20,,,1,,,,,,4,4,1.000,,,,,,,,6,6,,
17,100,18,1971-12-10,24-013,ATL,HOU,-7,,,10,,,,,,5,6,.833,,,,,,,,,25,,
18,101,19,1971-12-12,24-015,ATL,LAL,-9,,,2,,,,,,0,0,,,,,,,,,,4,,
19,102,20,1971-12-15,24-018,ATL,HOU,-2,,,3,,,,,,2,4,.500,,,,,,,,,8,,
20,103,21,1971-12-17,24-020,ATL,BAL,-11,,,2,,,,,,4,6,.667,,,,,,,,6,8,,
21,104,22,1971-12-18,24-021,ATL,BAL,29,,,8,,,,,,1,3,.333,,,,,,,,,17,,
22,105,23,1971-12-19,24-022,ATL,CIN,2,,,7,,,,,,1,1,1.000,,,,,,,,6,15,,
23,106,24,1971-12-22,24-025,ATL,CIN,3,,,3,,,,,,3,4,.750,,,,,,,,,9,,
24,107,25,1971-12-23,24-026,ATL,CLE,-5,,,7,,,,,,3,4,.750,,,,,,,,,17,,
25,108,26,1971-12-25,24-028,ATL,BUF,23,,,3,,,,,,0,0,,,,,,,,,,6,,
26,109,27,1971-12-26,24-029,ATL,MIL,-22,,,5,,,,,,2,3,.667,,,,,,,,,12,,
27,110,28,1971-12-27,24-030,ATL,POR,14,,,13,,,,,,0,1,.000,,,,,,,,,26,,
28,111,29,1971-12-30,24-033,ATL,HOU,-14,,,6,,,,,,7,8,.875,,,,,,,,,19,,
29,112,30,1972-01-02,24-036,ATL,PHO,5,,,6,,,,,,3,3,1.000,,,,,,,,,15,,
30,113,31,1972-01-04,24-038,ATL,POR,12,,,4,,,,,,3,5,.600,,,,,,,,,11,,
31,114,32,1972-01-05,24-039,ATL,SEA,-11,,,7,,,,,,3,3,1.000,,,,,,,,,17,,
32,115,33,1972-01-07,24-041,ATL,LAL,-44,,,2,,,,,,1,1,1.000,,,,,,,,,5,,
33,116,34,1972-01-08,24-042,ATL,BAL,-8,,,3,,,,,,3,3,1.000,,,,,,,,,9,,
34,117,35,1972-01-12,24-046,ATL,MIL,2,,,5,,,,,,2,2,1.000,,,,,,,,,12,,
35,118,36,1972-01-14,24-048,ATL,CIN,-24,,,5,,,,,,0,1,.000,,,,,,,,,10,,
36,119,37,1972-01-15,24-049,ATL,BOS,-16,,,1,,,,,,3,3,1.000,,,,,,,,,5,,
37,120,38,1972-01-16,24-050,ATL,PHI,8,,,7,,,,,,1,1,1.000,,,,,,,,,15,,
38,121,39,1972-01-21,24-055,ATL,GSW,-2,,,1,,,,,,0,1,.000,,,,,,,,,2,,
39,122,40,1972-01-23,24-057,ATL,MIL,5,,,4,,,,,,3,3,1.000,,,,,,,,,11,,
40,123,41,1972-01-25,24-059,ATL,BUF,13,,,2,,,,,,9,14,.643,,,,,,,,,13,,
41,124,42,1972-01-26,24-060,ATL,SEA,-12,,,6,,,,,,6,6,1.000,,,,,,,,,18,,
42,125,43,1972-01-28,24-062,ATL,DET,18,,,7,,,,,,6,7,.857,,,,,,,,,20,,
43,126,44,1972-01-30,24-064,ATL,PHO,-2,,,2,,,,,,0,1,.000,,,,,,,,,4,,
44,127,45,1972-02-03,24-068,ATL,GSW,-17,,,6,,,,,,8,8,1.000,,,,,,,,,20,,
45,128,46,1972-02-05,24-070,ATL,CLE,3,,,1,,,,,,0,0,,,,,,,,,,2,,
46,129,47,1972-02-06,24-071,ATL,HOU,-7,,,6,,,,,,5,6,.833,,,,,,,,,17,,
47,130,48,1972-02-09,24-074,ATL,LAL,-4,,,8,,,,,,3,3,1.000,,,,,,,,6,19,,
48,131,49,1972-02-11,24-076,ATL,CHI,-11,,,6,,,,,,3,3,1.000,,,,,,,,,15,,
49,132,50,1972-02-12,24-077,ATL,CHI,-11,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
