,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1952-10-31,23-268,INO,BOS,-15,,,2,,,,,,1,1,1.000,,,,,,,,,5,,
1,2,2,1952-11-01,23-269,INO,MLH,-2,,,,,,,,,,1,,,,,,,,,,,,
2,3,3,1952-11-07,23-275,INO,ROC,-2,,,2,,,,,,,,,,,,,,,,3,4,,
3,4,4,1952-11-08,23-276,INO,ROC,-3,,,,,,,,,,,,,,,,,,,2,,,
4,5,5,1952-11-09,23-277,INO,FTW,-3,,,2,,,,,,3,4,.750,,,,,,,,2,7,,
5,6,6,1952-11-11,23-279,INO,FTW,15,,,,,,,,,1,1,1.000,,,,,,,,,1,,
6,7,7,1952-11-15,23-283,INO,PHW,3,,,,,,,,,,,,,,,,,,,1,,,
7,8,8,1952-11-16,23-284,INO,SYR,-6,,,,,,,,,,,,,,,,,,,1,,,
8,9,9,1952-11-18,23-286,INO,NYK,10,,,1,,,,,,2,,,,,,,,,,1,4,,
9,10,10,1952-11-20,23-288,INO,NYK,-5,,,,,,,,,,,,,,,,,,,,,,
10,11,11,1952-11-23,23-291,INO,BLB,10,,,,,,,,,1,2,.500,,,,,,,,3,1,,
11,12,12,1952-11-25,23-293,INO,MLH,-12,,,,,,,,,,,,,,,,,,,1,,,
12,13,13,1952-11-27,23-295,INO,MNL,-21,,,,,,,,,,1,,,,,,,,,,,,
13,14,14,1952-11-29,23-297,INO,NYK,-22,,,3,,,,,,2,,,,,,,,,,6,8,,
14,15,15,1952-12-02,23-300,INO,ROC,9,,,,,,,,,2,,,,,,,,,,1,2,,
15,16,16,1952-12-06,23-304,INO,ROC,-3,,,1,,,,,,,,,,,,,,,,,2,,
16,17,17,1952-12-08,23-306,INO,MNL,5,,,,,,,,,,,,,,,,,,,1,,,
17,18,18,1952-12-09,23-307,INO,SYR,-17,,,,,,,,,,,,,,,,,,,1,,,
