,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,104,1,1974-03-30,33-319,BOS,BUF,10,,31:00,6,17,.353,,,,9,9,1.000,,,9,3,,,,3,21,,
1,105,2,1974-04-02,33-322,BOS,BUF,-10,,28:00,10,18,.556,,,,1,3,.333,,,4,5,,,,3,21,,
2,106,3,1974-04-03,33-323,BOS,BUF,13,,20:00,2,5,.400,,,,0,0,,,,3,5,,,,4,4,,
3,107,4,1974-04-06,33-326,BOS,BUF,-2,,25:00,10,10,1.000,,,,4,4,1.000,,,6,1,,,,2,24,,
4,108,5,1974-04-09,33-329,BOS,BUF,3,,27:00,7,10,.700,,,,1,2,.500,,,3,1,,,,6,15,,
5,109,6,1974-04-12,33-332,BOS,BUF,2,,27:00,3,9,.333,,,,2,2,1.000,,,4,3,,,,5,8,,
6,110,7,1974-04-14,33-334,BOS,NYK,25,,40:00,5,10,.500,,,,1,1,1.000,,,6,1,,,,4,11,,
7,111,8,1974-04-16,33-336,BOS,NYK,12,,40:00,8,14,.571,,,,7,9,.778,,,10,1,,,,4,23,,
8,112,9,1974-04-19,33-339,BOS,NYK,-3,,31:00,5,13,.385,,,,6,8,.750,,,8,2,,,,3,16,,
9,113,10,1974-04-21,33-341,BOS,NYK,7,,32:00,5,15,.333,,,,4,4,1.000,,,5,2,,,,0,14,,
10,114,11,1974-04-24,33-344,BOS,NYK,11,,31:00,5,8,.625,,,,1,1,1.000,,,8,2,,,,6,11,,
11,115,12,1974-04-28,33-348,BOS,MIL,15,1,22:00,4,5,.800,,,,1,2,.500,0,7,7,0,1,0,,2,9,,
12,116,13,1974-04-30,33-350,BOS,MIL,-9,1,40:00,5,11,.455,,,,1,2,.500,0,8,8,3,0,0,,3,11,,
13,117,14,1974-05-03,33-353,BOS,MIL,12,1,18:00,1,3,.333,,,,1,2,.500,2,1,3,1,0,0,,1,3,,
14,118,15,1974-05-05,33-355,BOS,MIL,-8,1,14:00,1,3,.333,,,,0,2,.000,1,1,2,0,0,0,,2,2,,
15,119,16,1974-05-07,33-357,BOS,MIL,9,1,11:00,0,3,.000,,,,0,0,,0,2,2,1,0,0,,3,0,,
16,120,17,1974-05-10,33-360,BOS,MIL,-1,1,13:00,3,6,.500,,,,0,1,.000,1,3,4,1,0,0,,2,6,,
17,121,18,1974-05-12,33-362,BOS,MIL,15,1,17:00,2,4,.500,,,,2,2,1.000,0,5,5,3,0,0,,1,6,,
