,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,497,1,1969-10-17,29-155,BOS,CIN,-2,,,2,,,,,,1,1,1.000,,,,,,,,,5,,
1,498,2,1969-10-18,29-156,BOS,BAL,-7,,,7,,,,,,8,8,1.000,,,,,,,,,22,,
2,499,3,1969-10-21,29-159,BOS,DET,-1,,,3,,,,,,2,4,.500,,,,,,,,,8,,
3,500,4,1969-10-24,29-162,BOS,ATL,-12,,,8,,,,,,6,7,.857,,,,,,,,,22,,
4,501,5,1969-10-28,29-166,BOS,MIL,13,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
5,502,6,1969-10-31,29-169,BOS,SDR,5,,,4,,,,,,4,6,.667,,,,,,,,,12,,
6,503,7,1969-11-01,29-170,BOS,PHI,8,,,6,,,,,,0,0,,,,,,,,,,12,,
7,504,8,1969-11-05,29-174,BOS,ATL,-7,,,5,,,,,,1,1,1.000,,,,,,,,,11,,
8,505,9,1969-11-07,29-176,BOS,SFW,-1,,,8,,,,,,8,9,.889,,,,,,,,,24,,
9,506,10,1969-11-08,29-177,BOS,CHI,-16,,,6,,,,,,2,3,.667,,,,,,,,,14,,
10,507,11,1969-11-11,29-180,BOS,MIL,-11,,,5,,,,,,5,7,.714,,,,,,,,,15,,
11,508,12,1969-11-12,29-181,BOS,CIN,-9,,,5,,,,,,13,14,.929,,,,,,,,,23,,
12,509,13,1969-11-14,29-183,BOS,BAL,-1,,,4,,,,,,6,8,.750,,,,,,,,,14,,
13,510,14,1969-11-15,29-184,BOS,NYK,-15,,,1,,,,,,5,6,.833,,,,,,,,,7,,
14,511,15,1969-11-18,29-187,BOS,PHO,1,,,8,,,,,,4,5,.800,,,,,,,,,20,,
15,512,16,1969-11-19,29-188,BOS,CHI,16,,,5,,,,,,7,8,.875,,,,,,,,,17,,
16,513,17,1969-11-21,29-190,BOS,SFW,-3,,,7,,,,,,3,4,.750,,,,,,,,,17,,
17,514,18,1969-11-22,29-191,BOS,SDR,-9,,,5,,,,,,9,11,.818,,,,,,,,,19,,
18,515,19,1969-11-23,29-192,BOS,SEA,9,,,4,,,,,,1,2,.500,,,,,,,,,9,,
19,516,20,1969-11-26,29-195,BOS,PHI,-21,,,7,,,,,,6,10,.600,,,,,,,,,20,,
20,517,21,1969-11-28,29-197,BOS,ATL,-25,,,5,,,,,,0,0,,,,,,,,,,10,,
21,518,22,1969-11-29,29-198,BOS,BAL,15,,,5,,,,,,2,2,1.000,,,,,,,,,12,,
22,519,23,1969-12-03,29-202,BOS,BAL,8,,,4,,,,,,0,0,,,,,,,,,,8,,
23,520,24,1969-12-05,29-204,BOS,PHI,-1,,,4,,,,,,4,6,.667,,,,,,,,,12,,
