,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,335,1,2001-10-30,27-304,ORL,TOR,29,0,10:00,0,0,,0,0,,0,0,,1,1,2,0,0,0,1,5,0,-2.0,+13
1,336,2,2001-11-02,27-307,ORL,IND,-10,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,-4
2,337,3,2001-11-03,27-308,ORL,CLE,30,0,7:00,2,3,.667,0,0,,3,4,.750,0,3,3,0,0,0,0,3,7,5.0,+4
3,338,4,2001-11-05,27-310,ORL,SEA,-4,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,+3
4,339,5,2001-11-06,27-311,ORL,SAS,-15,0,17:00,1,2,.500,0,0,,2,2,1.000,3,3,6,0,1,0,0,5,4,5.0,-15
5,340,6,2001-11-15,27-320,ORL,DEN,19,0,5:00,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,4,3.7,-1
6,341,7,2001-11-17,27-322,ORL,MIN,-8,0,2:00,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,0,2,2.7,+6
7,342,8,2001-11-21,27-326,ORL,MIN,11,0,22:00,2,6,.333,0,0,,3,4,.750,2,4,6,0,0,0,2,5,7,1.8,-6
8,343,9,2001-11-26,27-331,ORL,DET,-5,0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,+1
9,344,10,2001-11-29,27-334,ORL,BOS,-10,0,4:00,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,2,1,0,-3.1,-1
10,345,11,2001-12-03,27-338,ORL,MEM,42,0,12:00,4,4,1.000,0,0,,0,0,,0,1,1,0,1,0,1,4,8,5.5,+11
11,346,12,2001-12-05,27-340,ORL,CHI,28,0,12:00,1,3,.333,0,0,,0,0,,0,1,1,0,0,1,0,1,2,0.9,0
12,347,13,2001-12-07,27-342,ORL,ATL,35,0,12:00,2,4,.500,0,0,,1,1,1.000,2,1,3,1,0,0,1,3,5,3.2,+9
13,348,14,2001-12-08,27-343,ORL,ATL,-3,0,5:00,0,0,,0,0,,0,0,,1,2,3,0,0,0,1,1,0,-0.1,-3
14,349,15,2001-12-13,27-348,ORL,GSW,5,0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,-4
15,350,16,2001-12-15,27-350,ORL,POR,-11,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-1
