,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2000-12-08,20-104,DAL,CHI,19,0,8:00,1,1,1.000,0,0,,0,0,,0,3,3,1,0,0,0,1,2,2.9,-3
1,2,2,2000-12-10,20-106,DAL,NJN,26,0,5:00,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,0,0,2,2.3,0
2,3,3,2000-12-15,20-111,DAL,PHI,18,0,2:00,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,1,0,-1.2,0
3,4,4,2000-12-22,20-118,DAL,LAL,-5,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0
4,5,5,2000-12-26,20-122,DAL,SEA,21,0,1:00,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,1.3,+2
5,6,6,2000-12-30,20-126,DAL,HOU,-15,0,8:00,0,0,,0,0,,3,4,.750,1,2,3,0,0,0,1,3,3,1.7,+3
6,7,7,2001-01-05,20-132,DAL,TOR,10,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0
7,8,8,2001-01-08,20-135,DAL,CHI,13,0,1:00,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,0,0,-0.8,-2
8,9,9,2001-01-10,20-137,DAL,MIN,20,0,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,1,1,3,0,-1.2,-5
9,10,10,2001-01-13,20-140,DAL,PHO,-17,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
10,11,11,2001-01-20,20-147,DAL,DEN,18,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
11,12,12,2001-02-26,20-184,DAL,LAC,11,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-4
12,13,13,2001-03-05,20-191,DAL,ORL,-14,0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
13,14,14,2001-03-09,20-195,DAL,GSW,29,0,4:00,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-1.4,+4
14,15,15,2001-03-11,20-197,DAL,LAC,18,0,10:00,2,4,.500,0,0,,1,4,.250,3,0,3,0,0,0,0,0,5,3.9,-6
15,16,16,2001-03-13,20-199,DAL,NJN,24,0,5:00,1,1,1.000,0,0,,1,2,.500,2,2,4,0,1,0,0,2,3,4.5,+2
16,17,17,2001-03-15,20-201,DAL,MIN,20,0,2:00,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,0,2,1.6,+4
17,18,18,2001-04-18,20-235,DAL,MIN,20,0,7:00,2,2,1.000,0,0,,1,2,.500,0,1,1,0,0,0,3,3,5,0.1,-6
