,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,519,1,2001-10-30,31-174,SAC,SEA,6,1,32:00,2,11,.182,0,6,.000,2,3,.667,1,2,3,4,2,1,1,3,6,3.3,+4
1,520,2,2001-11-03,31-178,SAC,DEN,12,1,32:00,5,10,.500,0,2,.000,5,5,1.000,0,4,4,1,2,0,0,5,15,11.9,-4
2,521,3,2001-11-04,31-179,SAC,SAS,20,1,30:00,2,5,.400,0,0,,1,1,1.000,2,4,6,5,2,2,3,2,5,8.0,+16
3,522,4,2001-11-06,31-181,SAC,CLE,16,1,33:00,5,12,.417,3,6,.500,2,2,1.000,1,5,6,3,0,1,2,2,15,10.8,0
4,523,5,2001-11-07,31-182,SAC,IND,-12,1,36:00,3,10,.300,0,2,.000,8,12,.667,3,5,8,2,2,0,2,5,14,9.6,+2
5,524,6,2001-11-09,31-184,SAC,ORL,-10,1,38:00,5,14,.357,0,1,.000,7,7,1.000,1,5,6,2,2,0,1,6,17,11.4,-5
6,525,7,2001-11-10,31-185,SAC,MIA,15,1,39:00,6,11,.545,4,6,.667,1,1,1.000,0,6,6,2,3,0,1,2,17,16.1,+9
7,526,8,2001-11-13,31-188,SAC,TOR,9,1,32:00,8,11,.727,1,2,.500,3,3,1.000,1,2,3,4,1,0,3,3,20,16.4,+13
8,527,9,2001-11-16,31-191,SAC,CHI,34,1,24:00,2,5,.400,1,2,.500,5,7,.714,0,5,5,3,0,0,1,3,10,7.9,+14
9,528,10,2001-11-18,31-193,SAC,LAL,-8,1,40:00,3,13,.231,0,6,.000,5,5,1.000,1,1,2,2,4,0,2,6,11,5.1,-9
10,529,11,2001-11-19,31-194,SAC,HOU,36,1,32:00,9,16,.563,2,4,.500,3,3,1.000,2,4,6,7,3,0,1,3,23,23.7,+15
11,530,12,2001-11-21,31-196,SAC,POR,12,1,36:00,5,12,.417,0,2,.000,0,0,,0,5,5,5,0,0,5,1,10,3.2,+16
12,531,13,2001-11-24,31-199,SAC,NJN,1,1,41:00,4,9,.444,1,5,.200,1,1,1.000,0,4,4,5,0,0,3,1,10,6.6,+5
13,532,14,2001-11-26,31-201,SAC,MEM,-4,1,41:00,3,7,.429,0,2,.000,5,6,.833,2,5,7,3,0,0,2,3,11,8.7,-5
14,533,15,2001-11-27,31-202,SAC,HOU,5,1,33:00,5,12,.417,0,2,.000,4,4,1.000,0,4,4,3,3,0,1,3,14,11.7,-4
15,534,16,2001-11-29,31-204,SAC,DAL,12,1,38:00,5,12,.417,2,5,.400,3,4,.750,2,4,6,6,3,0,3,3,15,13.8,0
16,535,17,2001-11-30,31-205,SAC,SAS,3,1,25:00,2,7,.286,0,0,,3,4,.750,1,1,2,4,2,0,1,1,7,6.9,-10
17,536,18,2001-12-02,31-207,SAC,DAL,-6,1,27:00,3,13,.231,0,1,.000,3,3,1.000,0,0,0,4,1,0,0,1,9,4.5,-10
18,537,19,2001-12-07,31-212,SAC,LAL,6,1,38:00,2,8,.250,0,0,,11,13,.846,3,4,7,7,1,1,4,3,15,14.1,+7
19,538,20,2001-12-09,31-214,SAC,MIA,7,1,39:00,4,5,.800,0,1,.000,10,11,.909,0,9,9,2,0,0,3,1,18,16.4,+7
20,539,21,2001-12-11,31-216,SAC,ORL,12,1,28:00,4,7,.571,0,0,,2,2,1.000,3,10,13,4,2,0,1,4,10,14.0,+12
21,540,22,2001-12-12,31-217,SAC,PHO,-26,1,26:00,5,11,.455,0,1,.000,0,0,,0,2,2,1,1,1,3,5,10,2.3,-21
22,541,23,2001-12-14,31-219,SAC,MIN,-20,1,38:00,3,10,.300,0,1,.000,6,6,1.000,2,4,6,2,1,0,2,2,12,8.4,-15
23,542,24,2001-12-16,31-221,SAC,MEM,17,1,29:00,2,5,.400,0,0,,2,2,1.000,3,9,12,7,1,0,5,5,6,7.0,+22
