,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,20,1,2015-04-18,25-045,GSW,NOP,7,1,42:25,5,11,.455,1,3,.333,4,6,.667,1,11,12,7,3,2,3,4,15,17.2,+23
1,21,2,2015-04-20,25-047,GSW,NOP,10,1,41:50,4,12,.333,2,6,.333,4,6,.667,1,11,12,5,3,1,4,2,14,12.8,+24
2,22,3,2015-04-23,25-050,GSW,NOP,4,1,40:14,5,11,.455,0,2,.000,2,3,.667,7,10,17,5,3,1,1,6,12,17.6,+12
3,23,4,2015-04-25,25-052,GSW,NOP,11,1,41:49,9,14,.643,3,6,.500,1,2,.500,3,7,10,8,1,1,2,4,22,23.3,+18
4,24,5,2015-05-03,25-060,GSW,MEM,15,1,27:29,5,11,.455,4,8,.500,2,2,1.000,0,5,5,3,2,0,3,4,16,11.3,+16
5,25,6,2015-05-05,25-062,GSW,MEM,-7,1,37:44,3,11,.273,0,3,.000,8,10,.800,4,8,12,1,2,0,3,5,14,9.6,+4
6,26,7,2015-05-09,25-066,GSW,MEM,-10,1,39:28,1,8,.125,1,6,.167,3,4,.750,0,6,6,7,3,1,5,4,6,4.2,-2
7,27,8,2015-05-11,25-068,GSW,MEM,17,1,34:55,6,12,.500,3,8,.375,1,2,.500,3,7,10,4,2,2,7,3,16,11.8,+19
8,28,9,2015-05-13,25-070,GSW,MEM,20,1,31:28,3,9,.333,0,5,.000,1,1,1.000,2,3,5,9,1,0,1,4,7,8.9,+5
9,29,10,2015-05-15,25-072,GSW,MEM,13,1,33:14,6,11,.545,1,5,.200,3,4,.750,2,10,12,2,1,1,1,5,16,14.8,+8
10,30,11,2015-05-19,25-076,GSW,HOU,4,1,42:47,6,13,.462,0,3,.000,1,2,.500,4,8,12,8,2,1,3,2,13,15.6,+10
11,31,12,2015-05-21,25-078,GSW,HOU,1,1,38:46,3,9,.333,1,3,.333,5,7,.714,0,8,8,7,1,1,4,4,12,9.5,-10
12,32,13,2015-05-23,25-080,GSW,HOU,35,1,35:50,8,16,.500,1,4,.250,0,0,,4,9,13,5,1,1,2,4,17,16.1,+36
13,33,14,2015-05-25,25-082,GSW,HOU,-13,1,39:52,9,14,.643,2,5,.400,1,1,1.000,3,12,15,4,0,5,3,6,21,21.4,-10
14,34,15,2015-05-27,25-084,GSW,HOU,14,1,34:04,3,15,.200,0,5,.000,3,3,1.000,4,9,13,4,0,1,3,4,9,4.1,+4
15,35,16,2015-06-04,25-092,GSW,CLE,8,1,38:55,4,13,.308,0,3,.000,4,4,1.000,2,4,6,3,2,0,1,5,12,8.2,+3
16,36,17,2015-06-07,25-095,GSW,CLE,-2,1,43:24,2,7,.286,0,1,.000,6,6,1.000,2,8,10,2,5,4,4,5,10,12.9,-4
17,37,18,2015-06-09,25-097,GSW,CLE,-5,1,30:03,2,10,.200,1,4,.250,2,3,.667,3,4,7,3,1,0,1,4,7,4.2,-14
18,38,19,2015-06-11,25-099,GSW,CLE,21,1,32:21,6,11,.545,1,3,.333,4,7,.571,0,7,7,6,2,1,0,5,17,17.5,+16
19,39,20,2015-06-14,25-102,GSW,CLE,13,1,35:31,4,9,.444,1,3,.333,7,10,.700,0,9,9,6,0,1,4,4,16,12.1,+23
20,40,21,2015-06-16,25-104,GSW,CLE,8,1,41:28,6,13,.462,2,5,.400,2,4,.500,1,10,11,10,3,1,3,5,16,17.9,+11
