,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,150,1,2004-11-03,23-040,CLE,IND,-5,1,25:00,2,6,.333,0,0,,0,0,,1,5,6,0,0,0,0,2,4,2.0,-2
1,151,2,2004-11-04,23-041,CLE,MIA,-6,1,39:00,7,16,.438,0,3,.000,10,12,.833,0,11,11,2,0,1,1,2,24,18.4,-1
2,152,3,2004-11-06,23-043,CLE,MIL,-14,1,17:00,5,9,.556,0,0,,2,2,1.000,0,2,2,1,1,0,0,2,12,9.2,-10
3,153,4,2004-11-09,23-046,CLE,ATL,14,1,18:00,0,3,.000,0,0,,2,2,1.000,1,3,4,2,0,1,1,3,2,1.4,+6
4,154,5,2004-11-10,23-047,CLE,PHO,5,1,38:00,6,13,.462,0,0,,4,5,.800,2,19,21,2,0,4,1,6,16,16.8,+9
5,155,6,2004-11-13,23-050,CLE,WAS,31,1,34:00,6,12,.500,0,1,.000,2,2,1.000,5,10,15,0,4,2,2,2,14,17.1,+27
6,156,7,2004-11-15,23-052,CLE,GSW,11,1,34:00,3,8,.375,0,0,,0,0,,4,9,13,1,0,0,3,5,6,2.8,+11
7,157,8,2004-11-18,23-055,CLE,CHA,17,1,28:00,3,6,.500,0,0,,2,4,.500,1,8,9,4,1,0,1,5,8,8.1,+28
8,158,9,2004-11-20,23-057,CLE,CHA,16,1,31:00,3,8,.375,0,0,,7,7,1.000,2,8,10,2,1,4,2,2,13,14.8,+34
9,159,10,2004-11-21,23-058,CLE,NYK,-10,1,41:00,11,16,.688,2,2,1.000,1,1,1.000,4,11,15,2,3,2,2,3,25,26.9,-4
10,160,11,2004-11-24,23-061,CLE,DET,16,1,26:00,1,5,.200,0,0,,2,2,1.000,2,4,6,1,2,0,2,2,4,3.4,+8
11,161,12,2004-11-26,23-063,CLE,BOS,2,1,44:00,11,13,.846,0,0,,5,6,.833,0,6,6,1,0,2,3,4,27,21.2,+1
12,162,13,2004-11-27,23-064,CLE,CHI,22,1,24:00,3,6,.500,0,0,,0,0,,2,4,6,1,2,1,2,4,6,5.4,+18
13,163,14,2004-11-29,23-066,CLE,LAC,-12,1,13:00,1,4,.250,0,0,,0,0,,1,2,3,1,1,0,3,2,2,-1.2,-10
14,164,15,2004-12-01,23-068,CLE,PHO,-19,1,35:00,3,10,.300,0,1,.000,5,6,.833,6,13,19,1,0,0,0,2,11,12.8,-9
15,165,16,2004-12-02,23-069,CLE,DEN,19,1,30:00,3,10,.300,0,0,,4,4,1.000,4,9,13,0,1,4,3,2,10,9.7,+24
16,166,17,2004-12-04,23-071,CLE,TOR,8,1,42:00,10,14,.714,0,0,,7,10,.700,3,12,15,3,2,0,1,3,27,27.6,+17
17,167,18,2004-12-07,23-074,CLE,NJN,6,1,38:00,5,10,.500,0,0,,6,9,.667,1,9,10,3,1,0,3,5,16,11.3,+6
18,168,19,2004-12-08,23-075,CLE,CHI,-28,1,28:00,4,10,.400,0,0,,4,4,1.000,2,5,7,1,0,1,2,1,12,8.5,-22
19,169,20,2004-12-11,23-078,CLE,SAS,-19,1,35:00,13,24,.542,0,1,.000,2,3,.667,1,8,9,1,2,1,1,2,28,20.7,-10
