,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,38,1,2010-04-18,24-131,ORL,CHA,9,1,27:49,2,4,.500,0,0,,1,6,.167,4,3,7,1,1,9,2,5,5,8.7,+9
1,39,2,2010-04-21,24-134,ORL,CHA,15,1,28:32,5,10,.500,0,0,,5,12,.417,7,2,9,2,2,2,6,5,15,9.5,+2
2,40,3,2010-04-24,24-137,ORL,CHA,4,1,26:09,4,7,.571,0,0,,5,10,.500,1,7,8,3,0,7,4,6,13,11.1,+6
3,41,4,2010-04-26,24-139,ORL,CHA,9,1,23:25,2,6,.333,0,0,,2,7,.286,1,12,13,3,0,2,1,6,6,5.0,+15
4,42,5,2010-05-04,24-147,ORL,ATL,43,1,28:48,8,10,.800,0,0,,5,10,.500,3,9,12,2,0,5,2,3,21,21.7,+26
5,43,6,2010-05-06,24-149,ORL,ATL,14,1,38:59,8,9,.889,0,0,,13,18,.722,3,14,17,0,0,1,4,5,29,24.9,+21
6,44,7,2010-05-08,24-151,ORL,ATL,30,1,38:22,6,8,.750,0,0,,9,18,.500,2,14,16,3,1,1,4,4,21,18.0,+13
7,45,8,2010-05-10,24-153,ORL,ATL,14,1,42:45,5,5,1.000,0,0,,3,6,.500,1,7,8,1,1,4,7,4,13,9.0,+21
8,46,9,2010-05-16,24-159,ORL,BOS,-4,1,39:23,3,10,.300,0,0,,7,12,.583,3,9,12,2,0,5,7,4,13,6.3,-10
9,47,10,2010-05-18,24-161,ORL,BOS,-3,1,39:42,9,13,.692,0,0,,12,17,.706,2,6,8,1,1,0,3,4,30,22.8,+4
10,48,11,2010-05-22,24-165,ORL,BOS,-23,1,39:24,3,10,.300,0,0,,1,4,.250,1,6,7,1,1,3,1,3,7,4.1,-29
11,49,12,2010-05-24,24-167,ORL,BOS,4,1,43:10,13,19,.684,0,0,,6,14,.429,5,11,16,0,0,4,4,4,32,24.7,+7
12,50,13,2010-05-26,24-169,ORL,BOS,21,1,39:40,7,12,.583,0,0,,7,12,.583,2,8,10,0,2,5,4,2,21,17.9,+13
13,51,14,2010-05-28,24-171,ORL,BOS,-12,1,40:52,11,17,.647,0,0,,6,12,.500,3,9,12,0,2,1,2,4,28,22.0,-18
