,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,65,1,1996-11-01,24-079,NJN,CLE,-13,1,22:00,3,6,.500,2,4,.500,0,0,,1,2,3,0,1,0,0,0,8,7.3,
1,66,2,1996-11-07,24-085,NJN,ORL,-13,1,19:00,1,9,.111,0,4,.000,2,2,1.000,1,3,4,0,1,0,1,3,4,-1.5,
2,67,3,1996-11-08,24-086,NJN,ORL,-4,1,6:00,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,1,0,0,3,2.0,
3,68,4,1996-11-13,24-091,NJN,WSB,-15,1,17:00,3,6,.500,0,1,.000,0,0,,0,1,1,1,0,1,1,3,6,2.5,
4,69,5,1996-11-15,24-093,NJN,POR,-8,1,21:00,2,5,.400,1,3,.333,0,0,,1,1,2,1,0,0,1,2,5,2.2,
5,70,6,1996-11-16,24-094,NJN,DEN,7,0,2:00,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,
6,71,7,1996-11-23,24-101,NJN,DAL,23,0,4:00,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,0,2,2,-0.5,
7,72,8,1996-11-25,24-103,NJN,UTA,-16,0,11:00,4,9,.444,4,7,.571,0,0,,3,2,5,2,0,0,0,0,12,11.4,
8,73,9,1996-11-27,24-105,NJN,PHO,-22,0,6:00,0,3,.000,0,2,.000,0,0,,0,0,0,0,1,0,0,0,0,-1.1,
9,74,10,1996-11-28,24-106,NJN,GSW,-6,0,1:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,
10,75,11,1996-11-30,24-108,NJN,LAC,11,0,7:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,
11,76,12,1996-12-06,24-114,NJN,BOS,2,0,12:00,1,5,.200,1,3,.333,0,0,,1,2,3,1,1,0,0,3,3,1.7,
12,77,13,1996-12-07,24-115,NJN,DET,-26,0,12:00,2,7,.286,1,4,.250,0,0,,0,0,0,1,0,0,0,1,5,1.2,
13,78,14,1996-12-11,24-119,NJN,SEA,9,0,9:00,1,3,.333,1,2,.500,0,0,,0,2,2,2,0,0,0,0,3,3.3,
14,79,15,1996-12-13,24-121,NJN,CHI,-21,0,12:00,3,6,.500,1,3,.333,2,2,1.000,1,2,3,1,1,0,1,3,9,6.8,
15,80,16,1996-12-14,24-122,NJN,MIL,-10,0,13:00,1,6,.167,0,0,,0,0,,2,0,2,0,3,0,0,2,2,1.8,
16,81,17,1996-12-17,24-125,NJN,TOR,-9,0,4:00,0,1,.000,0,0,,0,0,,1,0,1,0,1,1,0,1,0,1.3,
17,82,18,1996-12-18,24-126,NJN,CLE,-18,0,23:00,3,8,.375,2,2,1.000,0,1,.000,1,4,5,2,1,0,0,2,8,6.7,
18,83,19,1996-12-20,24-128,NJN,ATL,-14,0,10:00,1,2,.500,0,0,,1,2,.500,0,1,1,1,0,0,0,1,3,2.2,
19,84,20,1996-12-21,24-129,NJN,BOS,1,0,11:00,3,3,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,1,0,7,5.7,
20,85,21,1996-12-23,24-131,NJN,CHI,-32,0,8:00,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.1,
21,86,22,1996-12-26,24-134,NJN,TOR,-2,0,2:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,
22,87,23,1996-12-29,24-137,NJN,IND,8,0,5:00,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,0,2,0.0,
23,88,24,1996-12-30,24-138,NJN,NYK,-12,0,8:00,2,4,.500,0,1,.000,0,0,,1,3,4,0,0,0,1,2,4,1.8,
24,89,25,1997-01-02,24-141,NJN,MIA,-10,0,24:00,4,8,.500,1,2,.500,2,2,1.000,4,6,10,1,1,0,1,4,11,10.7,
25,90,26,1997-01-03,24-142,NJN,ATL,-10,0,28:00,2,5,.400,1,1,1.000,4,5,.800,1,2,3,1,0,1,1,3,9,6.4,
26,91,27,1997-01-07,24-146,NJN,SAS,16,0,16:00,2,7,.286,0,3,.000,2,2,1.000,0,0,0,1,1,0,0,2,6,2.8,
27,92,28,1997-01-09,24-148,NJN,MIN,-3,0,23:00,2,6,.333,0,1,.000,0,0,,2,3,5,0,1,2,0,2,4,4.5,
28,93,29,1997-01-11,24-150,NJN,TOR,-17,0,22:00,3,9,.333,0,1,.000,0,0,,2,3,5,1,2,0,1,5,6,2.9,
29,94,30,1997-01-13,24-152,NJN,ORL,-3,0,28:00,1,8,.125,0,2,.000,0,0,,1,3,4,1,0,1,1,5,2,-3.2,
30,95,31,1997-01-15,24-154,NJN,CHH,-12,0,16:00,5,6,.833,0,0,,2,2,1.000,2,1,3,0,0,1,0,5,12,10.2,
31,96,32,1997-01-17,24-156,NJN,PHI,2,0,12:00,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2,1.0,
32,97,33,1997-01-18,24-157,NJN,CHH,-10,0,19:00,0,8,.000,0,1,.000,0,0,,4,2,6,0,0,0,0,2,0,-3.0,
33,98,34,1997-01-20,24-159,NJN,DEN,-9,0,22:00,4,7,.571,0,0,,1,1,1.000,0,9,9,3,1,0,0,3,9,10.3,
34,99,35,1997-01-22,24-161,NJN,SAS,8,0,18:00,2,5,.400,0,0,,2,2,1.000,1,2,3,0,0,0,0,4,6,3.0,
35,100,36,1997-01-23,24-162,NJN,HOU,-7,0,26:00,3,9,.333,0,0,,0,0,,2,2,4,2,0,0,0,2,6,3.5,
36,101,37,1997-01-25,24-164,NJN,DAL,-11,0,31:00,1,3,.333,0,0,,0,0,,3,2,5,1,4,0,0,2,2,6.9,
37,102,38,1997-01-28,24-167,NJN,CLE,-22,0,15:00,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,2,1,0,-2.1,
38,103,39,1997-01-30,24-169,NJN,PHO,12,0,15:00,1,1,1.000,0,0,,0,0,,0,4,4,0,1,0,0,1,2,3.5,
39,104,40,1997-02-01,24-171,NJN,DET,-15,0,16:00,4,7,.571,0,1,.000,0,0,,0,0,0,0,0,0,0,2,8,3.9,
40,105,41,1997-02-02,24-172,NJN,IND,-2,0,6:00,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,0,2,0,0.5,
41,106,42,1997-02-04,24-174,NJN,VAN,6,0,20:00,4,8,.500,0,0,,0,0,,4,1,5,3,1,1,0,3,8,9.7,
42,107,43,1997-02-06,24-176,NJN,IND,-4,0,12:00,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,1,0,2,2,0.5,
43,108,44,1997-02-11,24-181,NJN,ORL,6,0,7:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,
44,109,45,1997-02-12,24-182,NJN,CHH,-13,0,13:00,2,2,1.000,0,0,,2,2,1.000,1,3,4,0,1,0,0,1,6,7.6,
45,110,46,1997-02-20,24-190,DAL,MIL,-2,0,5:00,2,4,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,4,2.3,
46,111,47,1997-02-22,24-192,DAL,TOR,-7,0,8:00,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.1,
47,112,48,1997-02-23,24-193,DAL,PHO,2,0,19:00,3,7,.429,0,1,.000,1,1,1.000,1,3,4,2,0,1,0,2,7,6.2,
48,113,49,1997-02-25,24-195,DAL,CHH,2,0,9:00,0,2,.000,0,0,,0,0,,0,0,0,1,1,0,1,0,0,-0.7,
49,114,50,1997-02-27,24-197,DAL,MIN,-2,0,10:00,2,3,.667,0,0,,2,2,1.000,0,2,2,1,0,0,0,0,6,6.0,
50,115,51,1997-03-01,24-199,DAL,HOU,-9,0,13:00,1,3,.333,0,0,,0,0,,0,0,0,2,0,0,0,1,2,1.3,
51,116,52,1997-03-02,24-200,DAL,PHO,-1,0,14:00,2,7,.286,0,2,.000,0,0,,0,4,4,1,0,0,2,1,4,-0.6,
52,117,53,1997-03-04,24-202,DAL,LAL,-10,0,5:00,0,5,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-3.9,
53,118,54,1997-03-07,24-205,DAL,POR,-11,0,17:00,2,9,.222,0,1,.000,1,2,.500,1,2,3,1,0,0,0,2,5,0.3,
54,119,55,1997-03-15,24-213,DAL,PHO,-25,0,5:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,
55,120,56,1997-03-21,24-219,DAL,ATL,-21,0,7:00,0,3,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,1,0,-1.2,
56,121,57,1997-03-26,24-224,DAL,IND,-24,0,12:00,1,5,.200,0,1,.000,0,0,,2,2,4,0,1,0,1,1,2,0.5,
57,122,58,1997-03-30,24-228,DAL,CLE,-4,0,3:00,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,1,0,1,2,1.6,
58,123,59,1997-04-01,24-230,DAL,DET,-18,0,12:00,2,6,.333,0,1,.000,3,3,1.000,2,2,4,1,2,0,0,4,7,6.7,
59,124,60,1997-04-03,24-232,DAL,GSW,-16,0,7:00,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,1,1,0,-1.2,
