,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,109,1,1982-10-29,26-134,DET,ATL,8,0,16:00,3,5,.600,0,0,,1,4,.250,,,4,1,,2,,2,7,,
1,110,2,1982-10-31,26-136,DET,IND,3,0,10:00,0,1,.000,0,,,0,0,,0,1,1,1,,0,,4,0,,
2,111,3,1982-11-02,26-138,DET,CLE,9,0,9:00,0,1,.000,0,0,,1,2,.500,0,2,2,1,0,0,1,3,1,-1.0,
3,112,4,1982-11-03,26-139,DET,CHI,8,0,20:00,3,6,.500,0,0,,2,2,1.000,0,2,2,1,0,2,1,2,8,5.9,
4,113,5,1982-11-05,26-141,DET,PHI,-11,0,19:00,1,2,.500,1,2,.500,2,4,.500,,,4,0,,3,,4,5,,
5,114,6,1982-11-06,26-142,DET,ATL,-2,0,12:00,1,5,.200,0,0,,2,2,1.000,,,2,1,,0,,0,4,,
6,115,7,1982-11-09,26-145,DET,WSB,3,0,8:00,0,1,.000,0,0,,0,0,,1,1,2,1,3,1,1,3,0,2.5,
7,116,8,1982-11-10,26-146,DET,IND,24,1,32:00,7,9,.778,0,0,,0,1,.000,2,4,6,0,0,4,3,3,14,11.3,
8,117,9,1982-11-12,26-148,DET,MIL,11,1,26:00,5,9,.556,0,0,,3,4,.750,,,4,2,2,1,2,3,13,,
9,118,10,1982-11-13,26-149,DET,NYK,-12,1,22:00,4,8,.500,0,,,1,1,1.000,,,7,0,,,,6,9,,
10,119,11,1982-11-17,26-153,DET,PHI,-17,1,28:00,5,9,.556,0,0,,2,2,1.000,3,5,8,4,0,0,2,3,12,10.9,
11,120,12,1982-11-19,26-155,DET,GSW,4,1,27:00,2,7,.286,0,,,4,4,1.000,,,6,2,,,,5,8,,
12,121,13,1982-11-20,26-156,DET,CHI,-3,,29:00,4,8,.500,0,0,,4,6,.667,,,8,4,,,,2,12,,
13,122,14,1982-11-23,26-159,DET,HOU,22,1,27:00,9,12,.750,0,0,,6,7,.857,3,3,6,1,0,0,3,4,24,17.9,
14,123,15,1982-11-24,26-160,DET,KCK,-10,,,3,6,.500,0,,,2,5,.400,,,,,,,,,8,,
15,124,16,1982-11-26,26-162,DET,POR,14,1,32:00,5,11,.455,0,0,,2,4,.500,4,4,8,0,2,5,4,5,12,9.0,
16,125,17,1982-11-30,26-166,DET,BOS,7,1,21:00,5,10,.500,0,0,,1,1,1.000,4,1,5,2,1,1,1,6,11,8.8,
17,126,18,1982-12-01,26-167,DET,SAS,8,1,38:00,4,6,.667,0,0,,4,6,.667,1,11,12,2,2,3,2,3,12,14.9,
18,127,19,1982-12-08,26-174,DET,NYK,-11,1,35:00,4,11,.364,0,,,12,14,.857,1,3,4,4,,,,6,20,,
19,128,20,1982-12-10,26-176,DET,DAL,-1,,,3,8,.375,0,,,1,2,.500,,,,,,,,6,7,,
20,129,21,1982-12-11,26-177,DET,PHI,-17,1,36:00,6,11,.545,0,0,,5,6,.833,,,9,2,,3,,1,17,,
21,130,22,1982-12-14,26-180,DET,NYK,5,1,25:00,1,5,.200,0,0,,2,2,1.000,1,2,3,0,0,1,2,4,4,-0.7,
22,131,23,1982-12-15,26-181,DET,BOS,-4,1,21:00,5,8,.625,0,0,,1,4,.250,3,3,6,1,1,0,3,5,11,5.9,
23,132,24,1982-12-17,26-183,DET,WSB,-9,,,2,5,.400,0,,,4,6,.667,,,,,,,,,8,,
24,133,25,1982-12-18,26-184,DET,CLE,7,,,3,5,.600,0,,,1,2,.500,,,,,,,,,7,,
25,134,26,1982-12-19,26-185,DET,BOS,17,0,18:00,1,4,.250,0,0,,5,5,1.000,0,1,1,2,0,0,3,0,7,3.3,
26,135,27,1982-12-21,26-187,DET,NJN,5,0,18:00,2,6,.333,0,0,,2,3,.667,1,4,5,5,0,3,1,2,6,7.9,
27,136,28,1982-12-23,26-189,DET,DEN,-8,,,1,4,.250,0,,,1,2,.500,,,,,,,,,3,,
28,137,29,1982-12-26,26-192,DET,MIL,-10,0,26:00,3,6,.500,0,0,,4,6,.667,5,3,8,0,1,2,1,1,10,11.6,
29,138,30,1982-12-28,26-194,DET,UTA,-7,1,26:00,1,6,.167,0,0,,0,0,,0,3,3,1,0,0,0,2,2,-1.0,
30,139,31,1982-12-30,26-196,DET,PHO,-17,,18:00,3,6,.500,0,0,,0,0,,,,3,0,0,0,2,3,6,,
31,140,32,1983-01-01,26-198,DET,SDC,12,,,4,9,.444,0,,,7,11,.636,,,10,,,,,,15,,
32,141,33,1983-01-02,26-199,DET,LAL,-15,0,17:00,4,8,.500,0,0,,6,10,.600,5,5,10,2,0,0,4,5,14,8.8,
33,142,34,1983-01-04,26-201,DET,CHI,-9,0,28:00,4,6,.667,0,0,,2,4,.500,0,2,2,0,0,1,4,6,10,1.5,
34,143,35,1983-01-05,26-202,DET,CLE,14,1,32:00,6,8,.750,0,0,,4,5,.800,1,9,10,2,0,3,4,5,16,13.3,
35,144,36,1983-01-07,26-204,DET,MIL,-17,,31:00,8,14,.571,1,2,.500,0,1,.000,,,12,0,1,2,1,4,17,,
36,145,37,1983-01-09,26-206,DET,NJN,-8,1,26:00,2,8,.250,0,0,,2,4,.500,3,4,7,2,1,1,1,5,6,3.8,
37,146,38,1983-01-12,26-209,DET,WSB,16,1,22:00,2,7,.286,0,0,,3,4,.750,3,9,12,1,0,3,2,2,7,7.3,
38,147,39,1983-01-14,26-211,DET,PHI,-10,,13:00,1,4,.250,0,0,,0,0,,,,4,1,,1,,4,2,,
39,148,40,1983-01-19,26-216,DET,MIL,1,0,9:00,0,2,.000,0,0,,0,0,,0,1,1,0,1,1,1,1,0,-0.8,
40,149,41,1983-01-22,26-219,DET,ATL,2,0,26:00,2,2,1.000,0,0,,3,4,.750,,,6,3,,4,,3,7,,
41,150,42,1983-01-24,26-221,DET,ATL,4,0,15:00,4,5,.800,0,0,,0,0,,0,3,3,1,0,0,3,1,8,4.3,
42,151,43,1983-01-26,26-223,DET,SEA,-9,0,14:00,1,4,.250,0,0,,3,4,.750,3,5,8,0,0,0,1,3,5,3.6,
43,152,44,1983-01-28,26-225,DET,CLE,-1,,,3,3,1.000,0,,,4,6,.667,,,,,,,,,10,,
44,153,45,1983-01-29,26-226,DET,CHI,2,0,8:00,0,0,,0,0,,0,0,,,,3,0,,,,3,0,,
45,154,46,1983-02-02,26-230,DET,IND,-6,0,11:00,1,2,.500,0,0,,1,2,.500,1,4,5,2,1,2,1,2,3,5.5,
46,155,47,1983-02-03,26-231,DET,SDC,-7,0,2:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,2,0,0,-2.0,
47,156,48,1983-02-08,26-236,DET,SAS,-4,,,5,6,.833,0,,,3,4,.750,,,,,,,,,13,,
48,157,49,1983-02-09,26-237,DET,DAL,-9,,,2,4,.500,0,,,4,6,.667,,,,,,,,,8,,
49,158,50,1983-02-10,26-238,SAS,GSW,19,0,17:00,2,8,.250,0,,,2,4,.500,,,7,0,,2,,3,6,,
50,159,51,1983-02-15,26-243,SAS,LAL,21,,19:00,1,3,.333,0,,,4,4,1.000,,,8,2,,,,5,6,,
51,160,52,1983-02-16,26-244,SAS,UTA,-11,,28:00,6,13,.462,0,,,4,8,.500,,,7,0,,0,,2,16,,
52,161,53,1983-02-20,26-248,SAS,ATL,3,0,16:00,3,7,.429,0,0,,2,2,1.000,,,6,1,,0,,3,8,,
53,162,54,1983-02-23,26-251,SAS,POR,10,0,23:00,2,7,.286,0,0,,3,4,.750,2,8,10,1,0,2,4,4,7,2.8,
54,163,55,1983-02-25,26-253,SAS,KCK,6,,,6,14,.429,0,,,13,16,.813,,,13,,,,,6,25,,
55,164,56,1983-02-26,26-254,SAS,MIL,-3,,28:00,3,8,.375,0,0,,5,5,1.000,,,4,0,0,2,2,3,11,,
56,165,57,1983-03-01,26-257,SAS,SEA,15,,,2,10,.200,0,,,4,8,.500,,,,,,,,,8,,
57,166,58,1983-03-02,26-258,SAS,PHO,-4,,40:00,3,6,.500,0,0,,3,3,1.000,,,8,2,3,1,1,6,9,,
58,167,59,1983-03-04,26-260,SAS,SDC,8,,29:00,4,9,.444,0,,,8,10,.800,,,8,1,,1,,,16,,
