,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,209,1,2004-11-03,28-115,GSW,POR,-3,0,12:00,2,7,.286,0,0,,1,2,.500,2,3,5,1,0,0,0,0,5,3.5,-7
1,210,2,2004-11-05,28-117,GSW,UTA,-22,0,13:00,2,5,.400,1,1,1.000,1,2,.500,3,2,5,0,0,0,1,3,6,3.4,-12
2,211,3,2004-11-06,28-118,GSW,LAC,-8,0,19:00,0,6,.000,0,0,,5,8,.625,7,2,9,1,1,3,0,2,5,8.1,-8
3,212,4,2004-11-08,28-120,GSW,DAL,-3,0,10:00,0,1,.000,0,0,,0,0,,3,2,5,0,1,0,1,1,0,1.6,-4
4,213,5,2004-11-10,28-122,GSW,SAS,-20,0,6:00,1,4,.250,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,0.2,-6
5,214,6,2004-11-12,28-124,GSW,MEM,-29,0,21:00,7,9,.778,0,1,.000,2,3,.667,0,1,1,1,0,1,1,1,16,12.4,-7
6,215,7,2004-11-13,28-125,GSW,CHA,16,0,14:00,3,5,.600,0,0,,1,1,1.000,2,2,4,1,1,0,1,3,7,6.2,0
7,216,8,2004-11-15,28-127,GSW,CLE,-11,0,14:00,3,7,.429,0,0,,1,1,1.000,0,0,0,1,0,0,1,0,7,3.0,-1
8,217,9,2004-11-17,28-129,GSW,CHI,13,0,2:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,+2
9,218,10,2004-11-20,28-132,GSW,MEM,-13,0,10:00,2,5,.400,0,0,,0,0,,1,1,2,1,0,0,0,4,4,1.4,-2
10,219,11,2004-11-23,28-135,GSW,NOH,6,0,39:00,3,7,.429,0,0,,1,2,.500,2,4,6,1,3,2,2,3,7,7.4,+8
11,220,12,2004-11-26,28-138,GSW,LAC,-11,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
12,221,13,2004-11-28,28-140,GSW,LAC,-12,0,5:00,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.1,-8
13,222,14,2004-12-03,28-145,GSW,LAL,-9,0,4:00,1,1,1.000,0,0,,0,0,,1,2,3,1,1,0,0,1,2,4.3,+4
14,223,15,2004-12-04,28-146,GSW,IND,8,0,11:00,0,1,.000,0,0,,0,0,,0,0,0,1,1,2,1,1,0,1.0,+10
15,224,16,2004-12-06,28-148,GSW,BOS,4,0,5:00,1,2,.500,0,0,,0,0,,1,2,3,0,0,0,0,1,2,1.9,+8
16,225,17,2004-12-10,28-152,GSW,ORL,-4,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-8
17,226,18,2004-12-12,28-154,GSW,CHA,12,0,15:00,1,3,.333,0,0,,0,0,,1,2,3,1,1,0,1,0,2,2.3,+1
18,227,19,2004-12-14,28-156,GSW,DAL,4,0,8:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,0,2,0.3,-4
19,228,20,2004-12-15,28-157,GSW,NOH,-9,0,12:00,2,4,.500,0,0,,0,1,.000,0,1,1,0,0,0,0,1,4,1.5,0
20,229,21,2004-12-17,28-159,GSW,HOU,-17,0,20:00,4,10,.400,0,1,.000,0,0,,0,1,1,1,0,0,0,2,8,2.8,+4
21,230,22,2004-12-18,28-160,GSW,SAS,-19,0,8:00,0,3,.000,0,0,,0,0,,0,2,2,1,0,0,2,1,0,-3.2,-8
22,231,23,2004-12-20,28-162,GSW,WAS,-2,0,16:00,2,2,1.000,0,0,,4,6,.667,1,3,4,3,0,0,4,2,8,5.5,+2
23,232,24,2004-12-22,28-164,GSW,MEM,10,0,18:00,3,5,.600,1,1,1.000,0,0,,1,3,4,2,1,1,3,5,7,4.4,+10
24,233,25,2004-12-26,28-168,GSW,SAC,4,0,21:00,3,6,.500,0,0,,0,0,,1,0,1,0,0,0,0,3,6,2.5,-13
25,234,26,2004-12-27,28-169,GSW,DEN,3,0,13:00,3,3,1.000,1,1,1.000,2,2,1.000,1,2,3,1,0,0,1,1,9,8.7,+9
26,235,27,2004-12-29,28-171,GSW,TOR,6,0,14:00,0,4,.000,0,0,,0,0,,1,0,1,1,0,0,1,1,0,-2.8,+5
27,236,28,2005-01-21,28-194,GSW,LAL,-4,0,23:00,4,5,.800,1,2,.500,0,2,.000,2,3,5,2,0,0,0,3,9,8.8,+4
28,237,29,2005-01-22,28-195,GSW,CLE,-18,0,20:00,1,3,.333,1,2,.500,2,2,1.000,1,4,5,2,2,0,0,2,5,7.8,-2
29,238,30,2005-01-26,28-199,GSW,NJN,-14,0,20:00,3,6,.500,0,0,,2,2,1.000,3,2,5,2,1,0,2,1,8,7.7,-3
30,239,31,2005-01-28,28-201,GSW,SEA,-3,0,26:00,2,5,.400,0,1,.000,1,2,.500,2,0,2,2,1,0,0,3,5,4.5,+7
31,240,32,2005-01-29,28-202,GSW,LAC,-11,1,40:00,2,4,.500,0,1,.000,1,3,.333,1,3,4,2,0,0,3,3,5,1.0,-3
32,241,33,2005-02-02,28-206,GSW,SAC,-4,1,43:00,4,11,.364,0,1,.000,3,4,.750,3,8,11,2,1,0,2,4,11,7.8,0
33,242,34,2005-02-04,28-208,GSW,NOH,8,1,20:00,2,6,.333,0,1,.000,0,0,,2,2,4,2,1,0,0,5,4,3.0,+8
34,243,35,2005-02-05,28-209,GSW,DEN,-16,1,27:00,1,8,.125,0,0,,2,2,1.000,4,2,6,0,1,0,2,3,4,0.0,-16
35,244,36,2005-02-07,28-211,GSW,MIA,-9,0,6:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,+2
36,245,37,2005-02-08,28-212,GSW,ORL,4,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-4
37,246,38,2005-02-11,28-215,GSW,NOH,-3,0,4:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+4
38,247,39,2005-02-13,28-217,GSW,PHO,-4,0,10:00,1,6,.167,0,0,,0,0,,5,3,8,0,0,0,0,1,2,2.2,+7
39,248,40,2005-02-15,28-219,GSW,DAL,-7,0,18:00,5,7,.714,0,0,,0,0,,1,0,1,2,0,1,1,3,10,7.7,-9
40,249,41,2005-02-16,28-220,GSW,SEA,7,0,12:00,1,2,.500,0,0,,0,0,,1,2,3,0,0,0,0,2,2,1.5,-8
41,250,42,2005-02-23,28-227,GSW,ATL,5,0,4:00,0,2,.000,0,0,,0,0,,0,0,0,2,0,0,0,0,0,0.0,-1
