,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,18,1,2012-04-28,33-048,PHI,CHI,-12,1,35:19,8,15,.533,0,0,,3,3,1.000,1,6,7,0,1,4,0,3,19,16.8,-13
1,19,2,2012-05-01,33-051,PHI,CHI,17,1,28:58,5,6,.833,0,0,,2,2,1.000,1,4,5,0,0,3,0,1,12,13.4,+10
2,20,3,2012-05-04,33-054,PHI,CHI,5,1,26:21,0,5,.000,0,0,,0,0,,0,2,2,1,2,1,1,4,0,-2.1,+9
3,21,4,2012-05-06,33-056,PHI,CHI,7,1,36:58,3,7,.429,0,0,,1,4,.250,5,4,9,2,0,2,1,4,7,7.0,-2
4,22,5,2012-05-08,33-058,PHI,CHI,-8,1,32:12,2,6,.333,0,0,,1,2,.500,2,5,7,1,0,3,1,2,5,5.1,+1
5,23,6,2012-05-10,33-060,PHI,CHI,1,1,35:16,2,9,.222,0,0,,1,2,.500,0,3,3,0,1,2,0,4,5,0.8,+4
6,24,7,2012-05-12,33-062,PHI,BOS,-1,1,15:13,2,5,.400,0,0,,0,2,.000,0,1,1,1,0,2,0,0,4,2.9,+3
7,25,8,2012-05-14,33-064,PHI,BOS,1,1,17:49,3,5,.600,0,0,,1,2,.500,1,3,4,0,2,1,1,2,7,6.8,-7
8,26,9,2012-05-16,33-066,PHI,BOS,-16,1,14:32,1,6,.167,0,0,,1,1,1.000,3,1,4,1,0,0,0,2,3,1.5,-23
9,27,10,2012-05-18,33-068,PHI,BOS,9,1,15:43,1,2,.500,0,0,,1,2,.500,0,2,2,0,1,0,1,1,3,1.8,-3
10,28,11,2012-05-21,33-071,PHI,BOS,-16,1,29:53,8,13,.615,0,0,,3,4,.750,2,1,3,1,2,1,1,4,19,15.2,-10
11,29,12,2012-05-23,33-073,PHI,BOS,7,1,34:20,5,9,.556,0,0,,3,4,.750,4,6,10,0,1,1,0,3,13,13.4,+11
12,30,13,2012-05-26,33-076,PHI,BOS,-10,1,33:40,6,11,.545,0,0,,3,4,.750,3,3,6,0,1,0,1,6,15,9.9,-8
