,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,367,1,2004-11-03,25-237,LAC,SEA,30,1,39:00,10,15,.667,0,0,,1,3,.333,1,6,7,5,2,1,0,3,21,21.2,+33
1,368,2,2004-11-05,25-239,LAC,POR,-13,1,41:00,8,13,.615,0,0,,1,4,.250,3,3,6,3,0,5,2,2,17,15.7,-20
2,369,3,2004-11-06,25-240,LAC,GSW,8,1,37:00,6,18,.333,0,0,,1,5,.200,0,7,7,4,1,1,3,3,13,3.6,+9
3,370,4,2004-11-08,25-242,LAC,DET,-3,1,52:00,8,17,.471,0,0,,5,7,.714,0,4,4,0,2,4,4,3,21,12.3,+12
4,371,5,2004-11-10,25-244,LAC,IND,34,1,30:00,7,15,.467,0,0,,5,5,1.000,5,11,16,1,0,1,5,3,19,13.3,+20
5,372,6,2004-11-12,25-246,LAC,NYK,-14,1,34:00,7,10,.700,0,0,,6,7,.857,6,3,9,4,1,0,2,4,20,20.7,-13
6,373,7,2004-11-13,25-247,LAC,CHI,1,1,38:00,4,12,.333,0,0,,3,5,.600,3,6,9,6,0,3,2,3,11,10.4,+2
7,374,8,2004-11-16,25-250,LAC,TOR,12,1,35:00,6,11,.545,0,0,,7,7,1.000,2,3,5,4,1,0,3,2,19,16.0,+23
8,375,9,2004-11-17,25-251,LAC,LAL,-14,1,38:00,7,16,.438,0,0,,0,0,,5,6,11,3,1,1,2,3,14,11.5,-8
9,376,10,2004-11-20,25-254,LAC,HOU,-5,1,45:00,8,18,.444,0,0,,3,3,1.000,3,7,10,4,0,3,1,5,19,15.7,-1
10,377,11,2004-11-21,25-255,LAC,PHO,-11,1,25:00,7,11,.636,0,0,,3,4,.750,4,5,9,3,0,0,2,4,17,14.5,-3
11,378,12,2004-11-25,25-259,LAC,NJN,13,1,35:00,5,9,.556,0,0,,7,9,.778,1,6,7,2,1,1,2,3,17,14.3,+12
12,379,13,2004-11-26,25-260,LAC,GSW,11,1,41:00,6,15,.400,0,0,,5,5,1.000,3,6,9,4,0,3,2,0,17,15.7,+14
13,380,14,2004-11-28,25-262,LAC,GSW,12,1,38:00,9,17,.529,0,0,,7,9,.778,3,10,13,3,0,0,5,2,25,17.3,+8
14,381,15,2004-11-29,25-263,LAC,CLE,12,1,39:00,12,22,.545,0,0,,6,7,.857,4,1,5,6,3,2,6,2,30,23.9,+17
15,382,16,2004-12-01,25-265,LAC,IND,12,1,35:00,12,16,.750,0,0,,3,4,.750,1,4,5,1,1,2,0,2,27,24.4,+9
16,383,17,2004-12-04,25-268,LAC,MIN,-7,1,39:00,4,10,.400,0,0,,2,5,.400,2,5,7,1,1,1,5,2,10,2.9,-6
17,384,18,2004-12-06,25-270,LAC,CHA,6,1,34:00,8,13,.615,0,0,,3,3,1.000,3,4,7,5,1,5,6,4,19,16.8,-2
18,385,19,2004-12-13,25-277,LAC,BOS,-7,1,45:00,8,17,.471,0,0,,8,10,.800,8,10,18,2,0,2,3,3,24,21.7,+3
19,386,20,2004-12-14,25-278,LAC,UTA,-2,1,40:00,4,12,.333,0,1,.000,11,12,.917,2,4,6,5,2,2,2,4,19,17.7,+10
20,387,21,2004-12-17,25-281,LAC,MIN,-27,1,28:00,3,9,.333,0,0,,11,12,.917,2,5,7,0,0,3,3,4,17,11.9,-15
21,388,22,2004-12-19,25-283,LAC,MEM,-10,1,39:00,9,18,.500,0,0,,1,1,1.000,2,10,12,3,1,2,5,2,19,13.1,-12
22,389,23,2004-12-21,25-285,LAC,NOH,9,1,49:00,10,15,.667,0,0,,3,6,.500,2,11,13,3,1,2,2,2,23,21.7,+7
23,390,24,2004-12-26,25-290,LAC,HOU,-17,1,30:00,5,11,.455,0,0,,1,4,.250,2,1,3,2,1,1,0,1,11,8.5,-14
24,391,25,2004-12-27,25-291,LAC,MEM,-20,1,23:00,1,7,.143,0,0,,6,7,.857,4,4,8,0,1,1,4,3,8,3.6,-15
25,392,26,2004-12-29,25-293,LAC,UTA,11,1,36:00,9,15,.600,0,0,,5,8,.625,3,7,10,3,1,1,2,1,23,20.5,+13
26,393,27,2004-12-31,25-295,LAC,SAS,-19,1,35:00,6,13,.462,0,0,,2,4,.500,3,5,8,4,0,0,1,3,14,10.7,-4
27,394,28,2005-01-02,25-297,LAC,PHI,6,1,42:00,9,16,.563,0,0,,8,8,1.000,0,12,12,2,1,5,3,3,26,23.7,+13
28,395,29,2005-01-03,25-298,LAC,DEN,4,1,40:00,8,15,.533,0,0,,5,6,.833,6,7,13,2,2,3,4,3,21,19.9,-3
29,396,30,2005-01-05,25-300,LAC,POR,4,1,38:00,9,17,.529,0,0,,0,1,.000,4,4,8,2,0,1,0,1,18,15.0,+7
30,397,31,2005-01-08,25-303,LAC,PHO,-17,1,28:00,6,16,.375,0,0,,1,1,1.000,5,4,9,3,0,5,2,1,13,12.1,-19
31,398,32,2005-01-11,25-306,LAC,SEA,-5,1,38:00,6,14,.429,0,1,.000,5,7,.714,6,5,11,2,0,3,1,3,17,15.8,-2
32,399,33,2005-01-12,25-307,LAC,SEA,11,1,36:00,7,14,.500,0,0,,5,7,.714,1,2,3,2,0,4,1,3,19,14.5,+4
33,400,34,2005-01-14,25-309,LAC,MIA,2,1,53:00,10,18,.556,0,0,,9,11,.818,4,9,13,4,0,2,3,5,29,24.3,-1
34,401,35,2005-01-15,25-310,LAC,SAC,-4,1,39:00,10,24,.417,0,0,,5,6,.833,10,4,14,3,0,0,4,2,25,17.3,-3
35,402,36,2005-01-17,25-312,LAC,SAC,-6,1,39:00,10,22,.455,0,0,,4,4,1.000,6,4,10,4,1,4,3,2,24,20.8,-2
36,403,37,2005-01-19,25-314,LAC,SAS,-1,1,39:00,4,18,.222,0,0,,6,9,.667,8,10,18,4,1,3,1,4,14,13.7,0
37,404,38,2005-01-20,25-315,LAC,DAL,-22,1,39:00,9,20,.450,0,0,,6,7,.857,5,9,14,4,0,2,3,3,24,19.4,-5
38,405,39,2005-01-22,25-317,LAC,NOH,-3,1,43:00,12,17,.706,0,0,,4,7,.571,3,8,11,3,1,1,3,3,28,23.8,0
39,406,40,2005-01-24,25-319,LAC,DAL,10,1,40:00,9,16,.563,0,0,,5,6,.833,4,8,12,3,3,1,2,5,23,22.0,+13
40,407,41,2005-01-26,25-321,LAC,LAL,16,1,37:00,10,22,.455,0,0,,8,13,.615,6,8,14,1,0,1,2,2,28,19.8,+22
