,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,591,2,2018-02-05,35-130,NOP,UTA,-24,0,8:38,1,2,.500,0,0,,1,2,.500,2,0,2,0,0,0,0,0,3,3.0,-12
1,592,3,2018-02-09,35-134,NOP,PHI,-18,0,20:24,1,3,.333,0,0,,2,2,1.000,3,5,8,2,0,4,0,1,4,9.7,+11
2,593,5,2018-02-12,35-137,NOP,DET,15,1,13:51,4,10,.400,0,0,,0,0,,6,1,7,0,0,1,0,3,8,6.6,-5
3,594,6,2018-02-14,35-139,NOP,LAL,22,1,20:19,1,4,.250,0,0,,1,2,.500,3,5,8,0,0,2,1,0,3,4.2,+17
4,595,7,2018-02-23,35-148,NOP,MIA,1,1,17:46,1,4,.250,0,0,,0,0,,2,5,7,1,0,5,1,1,2,5.3,+1
5,596,8,2018-02-25,35-150,NOP,MIL,2,1,15:42,1,3,.333,0,0,,0,0,,1,5,6,0,0,0,0,3,2,1.3,+4
6,597,9,2018-02-26,35-151,NOP,PHO,9,1,18:32,5,5,1.000,0,0,,4,5,.800,0,4,4,0,1,1,0,2,14,14.2,+8
7,598,10,2018-02-28,35-153,NOP,SAS,5,1,4:13,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,-3
8,599,12,2018-03-06,35-159,NOP,LAC,5,1,21:14,4,6,.667,0,0,,1,2,.500,1,6,7,0,1,3,0,1,9,11.2,+22
9,600,13,2018-03-07,35-160,NOP,SAC,13,1,16:32,2,2,1.000,0,0,,1,1,1.000,3,3,6,1,0,0,1,3,5,5.9,+6
10,601,14,2018-03-09,35-162,NOP,WAS,-19,1,20:50,2,2,1.000,0,0,,2,2,1.000,0,2,2,0,0,2,1,1,6,6.0,-7
11,602,15,2018-03-11,35-164,NOP,UTA,-17,1,18:27,5,6,.833,0,0,,1,1,1.000,2,4,6,0,0,1,1,0,11,11.1,-14
12,603,16,2018-03-13,35-166,NOP,CHO,4,1,26:18,7,14,.500,0,0,,0,0,,4,4,8,0,3,0,1,5,14,11.0,-6
13,604,17,2018-03-15,35-168,NOP,SAS,-5,0,11:34,2,4,.500,0,0,,2,2,1.000,2,3,5,0,0,0,0,1,6,5.9,-2
14,605,18,2018-03-17,35-170,NOP,HOU,-6,1,10:44,0,4,.000,0,0,,0,0,,1,1,2,0,0,1,0,0,0,-1.1,-2
15,606,19,2018-03-18,35-171,NOP,BOS,19,1,17:20,4,4,1.000,0,0,,0,0,,1,6,7,0,0,1,0,1,8,9.6,+1
16,607,20,2018-03-20,35-173,NOP,DAL,10,1,5:11,0,0,,0,0,,0,0,,1,0,1,0,1,0,1,1,0,0.3,0
17,608,21,2018-03-21,35-174,NOP,IND,4,1,9:10,0,4,.000,0,0,,0,0,,1,1,2,0,0,2,0,0,0,-0.4,-4
18,609,22,2018-03-22,35-175,NOP,LAL,3,1,20:22,1,3,.333,0,0,,0,0,,3,3,6,2,1,2,1,3,2,4.9,-12
19,610,23,2018-03-24,35-177,NOP,HOU,-23,0,8:03,1,3,.333,0,0,,0,0,,2,0,2,0,0,0,0,0,2,1.7,+1
20,611,24,2018-03-27,35-180,NOP,POR,-4,1,15:26,2,4,.500,0,0,,2,2,1.000,5,4,9,0,0,0,1,2,6,6.9,+11
21,612,25,2018-03-30,35-183,NOP,CLE,-5,1,3:22,1,2,.500,0,0,,0,0,,2,0,2,0,0,0,0,1,2,2.0,-3
22,613,26,2018-04-01,35-185,NOP,OKC,-5,1,13:25,0,1,.000,0,0,,0,0,,0,4,4,1,0,0,2,0,0,-0.8,0
23,614,27,2018-04-04,35-188,NOP,MEM,28,0,4:02,1,1,1.000,0,0,,0,0,,0,5,5,0,1,0,2,0,2,2.2,-1
24,615,28,2018-04-06,35-190,NOP,PHO,19,0,6:04,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,1,2,2.3,0
25,616,30,2018-04-09,35-193,NOP,LAC,13,0,5:45,1,2,.500,0,0,,1,1,1.000,1,1,2,0,0,0,0,0,3,3.0,-11
