,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,274,1,1993-11-05,31-086,ATL,IND,6,0,10:00,0,0,,0,0,,1,1,1.000,0,0,0,2,1,0,0,1,1,3.0,
1,275,2,1993-11-08,31-089,ATL,CHI,-26,0,11:00,0,2,.000,0,0,,0,2,.000,0,0,0,3,0,0,0,0,0,-0.1,
2,276,3,1993-11-10,31-091,ATL,UTA,-3,0,10:00,1,3,.333,0,0,,1,1,1.000,0,0,0,0,0,0,1,0,3,0.3,
3,277,4,1993-11-12,31-093,ATL,POR,-10,0,10:00,2,4,.500,0,0,,0,1,.000,0,0,0,1,0,0,1,0,4,1.3,
4,278,5,1993-11-13,31-094,ATL,SEA,-8,0,9:00,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,1,1,4,2.7,
5,279,6,1993-11-16,31-097,ATL,SAC,23,0,15:00,4,5,.800,0,0,,1,1,1.000,1,4,5,5,0,0,0,1,9,12.1,
6,280,7,1993-11-17,31-098,ATL,PHI,2,0,6:00,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,2,0,0,-0.7,
7,281,8,1993-11-19,31-100,ATL,MIA,3,0,9:00,1,2,.500,0,0,,0,0,,0,2,2,3,1,0,1,4,2,2.1,
8,282,9,1993-11-20,31-101,ATL,CHH,5,0,6:00,0,2,.000,0,0,,0,0,,2,0,2,1,0,0,1,0,0,-0.3,
9,283,10,1993-11-23,31-104,ATL,LAL,9,0,12:00,2,2,1.000,0,0,,0,0,,0,3,3,2,0,0,2,3,4,2.5,
10,284,11,1993-11-24,31-105,ATL,MIL,4,0,6:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-1.0,
11,285,12,1993-11-26,31-107,ATL,WSB,16,0,9:00,2,3,.667,0,0,,0,0,,0,3,3,3,1,0,0,2,4,5.9,
12,286,13,1993-11-27,31-108,ATL,PHI,32,0,11:00,1,3,.333,0,0,,2,2,1.000,0,1,1,4,2,0,0,0,4,7.4,
13,287,14,1993-11-30,31-111,ATL,BOS,8,0,10:00,2,3,.667,0,0,,0,0,,0,1,1,2,0,0,0,1,4,4.0,
14,288,15,1993-12-03,31-114,ATL,HOU,22,0,12:00,1,2,.500,0,0,,1,2,.500,0,0,0,0,2,0,0,0,3,3.6,
15,289,16,1993-12-08,31-119,ATL,DET,8,0,15:00,3,3,1.000,0,0,,4,4,1.000,0,3,3,3,2,0,1,3,10,11.9,
16,290,17,1993-12-09,31-120,ATL,SAS,10,0,11:00,1,2,.500,0,0,,0,0,,1,0,1,3,0,0,0,1,2,3.4,
17,291,18,1993-12-11,31-122,ATL,WSB,8,0,15:00,4,7,.571,0,0,,0,0,,0,1,1,2,1,0,1,3,8,5.2,
18,292,19,1993-12-14,31-125,ATL,CLE,11,0,10:00,2,2,1.000,0,0,,2,2,1.000,0,0,0,0,1,0,1,3,6,4.2,
19,293,20,1993-12-16,31-127,ATL,IND,-18,0,11:00,3,4,.750,0,0,,0,0,,0,1,1,2,0,0,0,1,6,5.7,
20,294,21,1993-12-18,31-129,ATL,DEN,6,0,12:00,2,5,.400,0,0,,1,3,.333,0,1,1,3,0,0,1,0,5,2.9,
21,295,22,1993-12-22,31-133,ATL,BOS,5,0,10:00,0,0,,0,0,,0,0,,0,0,0,4,0,0,0,0,0,2.8,
22,296,23,1993-12-23,31-134,ATL,NYK,-9,0,9:00,0,1,.000,0,0,,0,0,,0,1,1,2,2,0,3,0,0,0.0,
23,297,24,1993-12-26,31-137,ATL,NJN,-4,0,10:00,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,2,0,0.6,
24,298,25,1993-12-28,31-139,ATL,DET,18,0,18:00,1,1,1.000,0,0,,0,0,,1,3,4,7,1,0,3,0,2,6.2,
25,299,26,1993-12-29,31-140,ATL,ORL,2,0,11:00,1,3,.333,0,0,,0,0,,0,0,0,2,0,0,1,1,2,0.3,
26,300,27,1994-01-04,31-146,ATL,CHH,39,0,18:00,3,5,.600,0,0,,2,2,1.000,1,3,4,3,1,0,2,3,8,7.2,
27,301,28,1994-01-07,31-149,ATL,POR,15,0,10:00,2,3,.667,0,0,,0,0,,1,1,2,0,0,0,0,2,4,2.9,
28,302,29,1994-01-08,31-150,ATL,CLE,13,0,13:00,2,8,.250,0,0,,0,0,,1,1,2,1,0,0,0,1,4,0.5,
29,303,30,1994-01-12,31-154,ATL,CHI,11,0,12:00,1,4,.250,0,0,,0,0,,0,0,0,0,1,0,2,1,2,-1.8,
30,304,31,1994-01-14,31-156,ATL,DAL,17,0,16:00,1,5,.200,0,1,.000,0,0,,0,0,0,2,1,0,0,0,2,1.3,
31,305,32,1994-01-15,31-157,ATL,IND,-3,0,14:00,1,5,.200,0,1,.000,0,0,,0,1,1,4,0,0,1,3,2,-0.2,
32,306,33,1994-01-17,31-159,ATL,MIL,4,0,10:00,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,2,3,0,-2.5,
33,307,34,1994-01-19,31-161,ATL,GSW,-1,0,14:00,2,5,.400,0,0,,3,4,.750,1,1,2,3,3,0,0,2,7,9.2,
34,308,35,1994-01-21,31-163,ATL,NJN,-2,0,7:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,2,1,2,-0.4,
35,309,36,1994-01-22,31-164,ATL,MIN,17,0,16:00,0,0,,0,0,,0,0,,0,0,0,3,2,0,0,1,0,3.7,
36,310,37,1994-01-25,31-167,ATL,MIL,5,0,7:00,0,0,,0,0,,1,2,.500,0,0,0,1,0,0,1,1,1,-0.1,
