,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,218,1,1997-11-01,26-039,PHI,CHI,-20,1,17:00,1,5,.200,0,0,,0,0,,5,5,10,0,1,1,2,3,2,2.4,
1,219,2,1997-11-05,26-043,PHI,ATL,-5,1,16:00,0,2,.000,0,0,,0,0,,1,2,3,1,1,1,1,2,0,0.5,
2,220,3,1997-11-06,26-044,PHI,MIL,-7,1,14:00,1,2,.500,0,0,,0,0,,1,0,1,1,1,0,0,2,2,2.6,
3,221,4,1997-11-09,26-047,PHI,SEA,-7,1,10:00,0,1,.000,0,0,,0,0,,0,4,4,0,0,1,0,5,0,-0.8,
4,222,5,1997-11-12,26-050,PHI,HOU,14,1,16:00,2,3,.667,0,0,,0,2,.000,0,1,1,0,0,0,0,4,4,0.6,
5,223,6,1997-11-13,26-051,PHI,DAL,1,1,14:00,0,2,.000,0,0,,1,2,.500,0,1,1,1,0,0,1,4,1,-2.4,
6,224,7,1997-11-19,26-057,PHI,WAS,11,1,8:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-1.2,
7,225,8,1997-11-22,26-060,PHI,ORL,-14,1,11:00,0,4,.000,0,0,,0,2,.000,3,0,3,0,1,0,0,1,0,-0.9,
8,226,9,1997-11-26,26-064,PHI,CLE,-6,1,20:00,2,4,.500,0,0,,1,2,.500,1,3,4,0,0,1,2,3,5,1.7,
9,227,10,1997-11-28,26-066,PHI,LAL,10,1,31:00,4,8,.500,0,0,,0,1,.000,2,10,12,1,1,2,1,4,8,8.5,
10,228,11,1997-11-30,26-068,PHI,IND,-12,1,25:00,2,5,.400,0,0,,0,2,.000,3,5,8,0,0,0,2,3,4,0.9,
11,229,12,1997-12-03,26-071,PHI,MIA,-4,1,16:00,1,4,.250,0,0,,0,0,,0,5,5,1,0,0,1,1,2,0.4,
12,230,13,1997-12-05,26-073,PHI,NJN,-19,1,12:00,2,6,.333,0,0,,0,0,,1,1,2,0,0,0,1,4,4,-1.0,
13,231,14,1997-12-07,26-075,PHI,NYK,15,1,15:00,2,4,.500,0,0,,2,4,.500,1,3,4,0,0,1,1,5,6,2.5,
14,232,15,1997-12-08,26-076,PHI,ORL,-9,1,15:00,1,2,.500,0,0,,0,0,,2,3,5,0,0,1,0,3,2,2.8,
15,233,16,1997-12-10,26-078,PHI,TOR,-7,1,19:00,4,6,.667,0,0,,0,0,,3,4,7,0,0,2,1,3,8,7.9,
16,234,17,1997-12-12,26-080,PHI,DEN,15,1,14:00,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,4,0,-1.3,
17,235,18,1997-12-13,26-081,PHI,NYK,-12,1,23:00,3,5,.600,0,0,,3,4,.750,3,5,8,1,0,0,0,3,9,9.4,
18,236,19,1997-12-15,26-083,PHI,BOS,-17,1,20:00,1,3,.333,0,0,,0,0,,2,4,6,1,0,1,1,3,2,2.1,
19,237,20,1997-12-17,26-085,PHI,MIN,-4,1,21:00,4,9,.444,0,0,,0,0,,0,6,6,0,1,1,0,2,8,6.0,
20,238,21,1997-12-19,26-087,DET,IND,-8,1,35:00,0,1,.000,0,0,,0,0,,0,5,5,1,1,1,1,5,0,0.2,
21,239,22,1997-12-20,26-088,DET,PHI,37,1,22:00,3,7,.429,0,0,,0,0,,4,10,14,0,0,1,1,5,6,5.8,
22,240,23,1997-12-22,26-090,DET,PHI,4,1,17:00,0,3,.000,0,0,,0,2,.000,2,5,7,0,1,0,1,2,0,-0.8,
23,241,24,1997-12-26,26-094,DET,MIA,-14,1,27:00,2,5,.400,0,0,,1,2,.500,2,2,4,0,1,1,3,3,5,1.4,
24,242,25,1997-12-28,26-096,DET,MIN,-4,0,7:00,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,0,1,1,3,0.9,
25,243,26,1997-12-30,26-098,DET,TOR,5,1,11:00,1,4,.250,0,0,,0,0,,1,2,3,0,0,0,0,3,2,-0.3,
26,244,27,1998-01-02,26-101,DET,TOR,3,0,8:00,0,1,.000,0,0,,0,2,.000,1,3,4,0,1,0,0,1,0,0.7,
27,245,28,1998-01-03,26-102,DET,CHI,-9,1,6:00,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,0,0,1.3,
28,246,29,1998-01-09,26-108,DET,GSW,29,0,12:00,2,5,.400,0,0,,1,1,1.000,1,3,4,0,0,1,0,1,5,4.2,
29,247,30,1998-01-11,26-110,DET,LAC,28,0,11:00,3,6,.500,0,0,,0,0,,3,2,5,0,0,2,1,2,6,5.3,
30,248,31,1998-01-14,26-113,DET,IND,-7,1,16:00,1,3,.333,0,0,,0,0,,3,1,4,1,0,1,1,4,2,1.5,
31,249,32,1998-01-15,26-114,DET,CHH,1,0,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,
32,250,33,1998-01-19,26-118,DET,UTA,-9,0,17:00,3,4,.750,0,0,,0,0,,5,1,6,1,0,0,1,6,6,5.5,
33,251,34,1998-01-21,26-120,DET,DEN,20,0,14:00,1,2,.500,0,0,,3,4,.750,3,3,6,0,0,1,2,4,5,3.7,
34,252,35,1998-01-22,26-121,DET,LAC,18,1,13:00,3,4,.750,0,0,,0,0,,4,1,5,0,0,2,0,4,6,7.3,
35,253,36,1998-01-24,26-123,DET,NYK,-7,0,2:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,
36,254,37,1998-01-27,26-126,DET,MIL,-2,0,24:00,0,1,.000,0,0,,1,4,.250,2,6,8,0,1,2,0,3,1,3.5,
37,255,38,1998-01-28,26-127,DET,ORL,5,1,9:00,1,3,.333,0,0,,0,0,,2,2,4,0,0,0,0,1,2,1.9,
38,256,39,1998-01-30,26-129,DET,WAS,-7,0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,
39,257,40,1998-01-31,26-130,DET,CLE,-2,1,17:00,3,4,.750,0,0,,0,0,,0,3,3,0,0,0,0,2,6,4.5,
40,258,41,1998-02-05,26-135,DET,HOU,12,0,7:00,0,1,.000,0,0,,0,2,.000,0,3,3,0,0,0,0,1,0,-1.0,
41,259,42,1998-02-11,26-141,DET,MIL,12,0,4:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,
42,260,43,1998-02-13,26-143,DET,MIA,-14,0,6:00,0,2,.000,0,0,,0,0,,2,2,4,0,0,0,0,4,0,-1.0,
43,261,44,1998-02-15,26-145,DET,CHI,-9,0,6:00,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,
44,262,45,1998-02-17,26-147,DET,SAS,-1,0,14:00,0,0,,0,0,,2,2,1.000,0,0,0,0,1,0,1,2,2,1.2,
45,263,46,1998-02-19,26-149,DET,HOU,-10,0,23:00,3,3,1.000,0,0,,0,0,,4,4,8,1,0,1,0,4,6,8.9,
46,264,47,1998-02-21,26-151,DET,DAL,12,0,5:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,3,2,0.8,
47,265,48,1998-02-23,26-153,DET,SAC,26,0,13:00,2,4,.500,0,0,,0,0,,2,2,4,0,0,1,1,1,4,3.3,
