,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,314,1,1981-10-30,26-189,KCK,SAS,-11,,,7,,,0,,,0,1,.000,,,,,,,,,14,,
1,315,2,1981-10-31,26-190,KCK,DAL,-6,,,6,,,0,,,3,3,1.000,,,,,,,,,15,,
2,316,3,1981-11-04,26-194,KCK,SDC,1,,37:00,11,17,.647,0,,,3,3,1.000,,,2,6,,4,,4,25,,
3,317,4,1981-11-06,26-196,KCK,HOU,4,,,6,,,0,,,2,4,.500,,,,,,,,,14,,
4,318,5,1981-11-10,26-200,KCK,CHI,-12,,33:00,7,14,.500,0,0,,0,1,.000,,,3,,,,,3,14,,
5,319,6,1981-11-11,26-201,KCK,BOS,-15,,34:00,5,14,.357,0,,,0,0,,,,7,6,,,,,10,,
6,320,7,1981-11-13,26-203,KCK,PHI,-20,,29:00,7,12,.583,0,0,,0,0,,,,1,3,,1,,2,14,,
7,321,8,1981-11-14,26-204,KCK,NJN,-11,,38:00,4,12,.333,0,,,4,4,1.000,,,3,4,,,,1,12,,
8,322,9,1981-11-17,26-207,KCK,NYK,14,,22:00,10,16,.625,0,,,6,9,.667,,,1,2,,,,4,26,,
9,323,10,1981-11-19,26-209,KCK,IND,-3,,,1,,,0,,,0,0,,,,,,,,,,2,,
10,324,11,1981-11-21,26-211,KCK,DEN,-7,,17:00,4,,,0,,,1,1,1.000,,,1,1,,,,,9,,
11,325,12,1981-11-25,26-215,KCK,DET,-7,,,5,,,0,,,2,2,1.000,,,,,,,,,12,,
12,326,13,1981-11-27,26-217,KCK,DEN,-8,,26:00,5,,,0,,,0,0,,,,1,4,,,,,10,,
13,327,14,1981-11-29,26-219,KCK,GSW,4,,,10,,,0,,,4,5,.800,,,,,,,,,24,,
14,328,15,1981-12-01,26-221,KCK,HOU,2,,,2,,,0,,,0,1,.000,,,,,,,,,4,,
15,329,16,1981-12-02,26-222,KCK,POR,-5,0,21:00,2,5,.400,0,0,,2,2,1.000,0,5,5,3,2,0,2,4,6,5.3,
16,330,17,1981-12-04,26-224,KCK,SEA,3,,18:00,2,,,0,,,6,6,1.000,,,,,,,,,10,,
17,331,18,1981-12-06,26-226,KCK,LAL,-13,,27:00,6,10,.600,0,,,2,2,1.000,,,1,2,,,,1,14,,
18,332,19,1981-12-09,26-229,KCK,DAL,4,,,5,,,0,,,2,3,.667,,,,,,,,,12,,
19,333,20,1981-12-11,26-231,KCK,UTA,-20,,22:00,4,11,.364,0,,,1,1,1.000,,,1,1,,,,2,9,,
20,334,21,1981-12-12,26-232,KCK,GSW,-2,,24:00,2,,,0,,,0,0,,0,0,0,2,,0,,,4,,
21,335,22,1981-12-18,26-238,KCK,UTA,5,,6:00,0,2,.000,0,,,0,0,,0,0,0,1,,,,1,0,,
22,336,23,1981-12-19,26-239,KCK,PHO,-8,,,0,,,0,,,0,0,,,,,,,,,,0,,
23,337,24,1981-12-22,26-242,KCK,MIL,5,,21:00,8,8,1.000,0,0,,2,3,.667,0,0,0,4,1,0,1,2,18,17.2,
24,338,25,1981-12-23,26-243,KCK,CLE,-19,,,5,9,.556,0,,,2,2,1.000,,,,,,,,3,12,,
25,339,26,1981-12-26,26-246,KCK,BOS,-5,,30:00,5,11,.455,0,,,3,4,.750,,,6,4,,,,,13,,
26,340,27,1981-12-29,26-249,KCK,DAL,-12,,,5,,,0,,,6,8,.750,,,,,,,,,16,,
27,341,28,1981-12-30,26-250,KCK,DEN,4,,23:00,6,,,0,,,0,1,.000,,,4,5,,,,,12,,
28,342,29,1982-01-01,26-252,KCK,GSW,-32,,22:00,6,,,0,,,0,0,,,,2,5,,0,,,12,,
29,343,30,1982-01-03,26-254,KCK,POR,-11,0,32:00,5,13,.385,0,0,,2,2,1.000,1,5,6,5,1,1,2,2,12,9.5,
30,344,31,1982-01-05,26-256,KCK,SDC,-8,,,6,,,0,,,6,7,.857,,,,,,,,,18,,
31,345,32,1982-01-07,26-258,KCK,NYK,4,,,6,,,0,,,1,1,1.000,,,,,,,,,13,,
32,346,33,1982-01-09,26-260,KCK,SAS,-13,,26:00,3,,,0,,,0,0,,,,4,3,1,2,,,6,,
33,347,34,1982-01-12,26-263,KCK,DEN,-13,,,9,,,1,,,5,7,.714,,,,,,,,,24,,
34,348,35,1982-01-13,26-264,KCK,CLE,13,,,6,,,0,,,6,6,1.000,,,,,,,,,18,,
35,349,36,1982-01-15,26-266,KCK,NJN,10,,,3,,,0,,,4,4,1.000,,,,,,,,,10,,
36,350,37,1982-01-17,26-268,KCK,LAL,-12,,15:00,2,6,.333,0,0,,2,2,1.000,,,2,3,,,,1,6,,
37,351,38,1982-01-19,26-270,KCK,HOU,-8,,,5,,,0,,,4,5,.800,,,,,,,,,14,,
38,352,39,1982-01-21,26-272,KCK,DAL,-16,,,1,,,0,,,0,0,,,,,,,,,,2,,
39,353,40,1982-01-23,26-274,KCK,WSB,-3,,14:00,2,5,.400,0,,,1,1,1.000,0,0,0,1,,,,1,5,,
40,354,41,1982-01-27,26-278,KCK,SEA,-7,0,22:00,5,8,.625,0,1,.000,4,4,1.000,3,2,5,2,,,1,4,14,,
41,355,42,1982-01-28,26-279,KCK,SAS,-11,,26:00,7,,,0,,,3,3,1.000,,,3,7,1,1,,,17,,
42,356,43,1982-02-02,26-284,KCK,POR,-5,0,20:00,4,9,.444,0,1,.000,5,5,1.000,2,2,4,4,1,1,2,2,13,12.0,
43,357,44,1982-02-03,26-285,KCK,SEA,-10,,27:00,9,,,0,,,3,4,.750,,,3,1,,,,,21,,
44,358,45,1982-02-05,26-287,KCK,SAS,7,,14:00,3,,,0,,,0,0,,,,3,2,0,1,,,6,,
45,359,46,1982-02-07,26-289,KCK,HOU,-16,,,3,,,0,,,1,1,1.000,,,,,,,,,7,,
46,360,47,1982-02-10,26-292,KCK,LAL,23,,21:00,9,13,.692,0,,,4,6,.667,,,3,3,,,,3,22,,
47,361,48,1982-02-12,26-294,KCK,UTA,-15,,15:00,3,6,.500,0,0,,0,0,,0,0,0,1,,0,,3,6,,
48,362,49,1982-02-14,26-296,KCK,GSW,-10,,,5,,,0,,,1,2,.500,,,,,,,,,11,,
49,363,50,1982-02-16,26-298,KCK,DEN,-13,,28:00,5,,,0,,,2,2,1.000,,,2,8,,,,3,12,,
50,364,51,1982-02-17,26-299,KCK,PHO,3,,,6,,,0,,,6,7,.857,,,,,,,,,18,,
51,365,52,1982-02-19,26-301,KCK,SDC,16,,,3,,,0,,,7,8,.875,,,,,,,,,13,,
52,366,53,1982-02-21,26-303,KCK,MIL,-6,,18:00,5,10,.500,0,0,,0,0,,,,2,3,0,0,,3,10,,
53,367,54,1982-02-23,26-305,KCK,ATL,-9,,,3,,,0,,,2,2,1.000,,,,,,,,,8,,
54,368,55,1982-02-24,26-306,KCK,POR,-12,0,26:00,8,10,.800,0,0,,1,2,.500,0,1,1,6,1,0,5,2,17,12.5,
55,369,56,1982-02-26,26-308,KCK,WSB,-2,,22:00,6,9,.667,0,,,3,4,.750,,,1,0,,,,2,15,,
56,370,57,1982-02-27,26-309,KCK,DET,-8,,,6,,,0,,,1,1,1.000,,,,,,,,,13,,
57,371,58,1982-03-02,26-312,KCK,UTA,8,,23:00,7,14,.500,0,,,5,6,.833,,,1,5,2,0,,2,19,,
58,372,59,1982-03-03,26-313,KCK,IND,38,,18:00,7,12,.583,0,,,0,0,,,,3,4,0,0,,1,14,,
59,373,60,1982-03-05,26-315,KCK,PHO,-12,,,7,,,0,,,4,4,1.000,,,,,,,,,18,,
