,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,341,1,2013-10-30,26-168,MIL,NYK,-7,0,19:43,5,6,.833,0,0,,0,0,,0,2,2,1,3,0,2,1,10,9.7,+2
1,342,2,2013-11-01,26-170,MIL,BOS,7,1,22:55,2,7,.286,1,3,.333,0,0,,0,4,4,1,2,1,1,3,5,3.3,-21
2,343,3,2013-11-02,26-171,MIL,TOR,-7,1,23:30,6,12,.500,2,2,1.000,0,0,,2,2,4,2,0,1,2,1,14,9.7,0
3,344,10,2013-11-20,26-189,MIL,POR,-9,0,21:42,2,8,.250,1,3,.333,0,0,,2,3,5,4,2,1,1,3,5,5.8,+1
4,345,11,2013-11-22,26-191,MIL,PHI,-8,1,40:35,9,17,.529,1,4,.250,0,0,,1,5,6,6,3,0,1,4,19,17.5,-6
5,346,12,2013-11-23,26-192,MIL,CHA,-24,1,20:49,3,6,.500,0,2,.000,1,2,.500,1,1,2,0,0,0,2,1,7,2.2,-25
6,347,13,2013-11-25,26-194,MIL,DET,-19,1,16:28,1,3,.333,0,1,.000,0,0,,2,2,4,1,1,0,2,5,2,0.0,-16
7,348,14,2013-11-27,26-196,MIL,WAS,-8,1,39:10,6,7,.857,0,1,.000,0,0,,1,5,6,4,1,0,5,4,12,8.9,-4
8,349,15,2013-11-29,26-198,MIL,CHA,-16,1,12:28,0,6,.000,0,0,,0,0,,0,4,4,0,0,0,0,0,0,-3.0,-6
9,350,17,2013-12-03,26-202,MIL,BOS,-8,0,21:09,3,5,.600,0,0,,1,1,1.000,1,6,7,0,0,0,1,1,7,5.8,+1
10,351,18,2013-12-04,26-203,MIL,DET,-7,0,36:33,8,19,.421,2,6,.333,4,5,.800,7,3,10,1,1,0,4,5,22,13.0,+9
11,352,19,2013-12-06,26-205,MIL,WAS,4,1,27:49,2,8,.250,0,3,.000,3,4,.750,0,5,5,2,0,0,1,5,7,1.7,+8
12,353,20,2013-12-07,26-206,MIL,BRK,-8,0,29:22,2,6,.333,0,1,.000,0,0,,1,4,5,2,0,0,1,2,4,2.1,-7
