,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,470,1,2016-10-25,27-364,POR,UTA,9,0,26:01,1,7,.143,0,0,,1,1,1.000,0,5,5,5,1,1,0,1,3,4.8,+9
1,471,2,2016-10-27,28-000,POR,LAC,-8,0,23:13,2,8,.250,0,1,.000,0,0,,1,5,6,1,0,0,2,1,4,-0.3,-11
2,472,3,2016-10-29,28-002,POR,DEN,2,0,25:12,5,9,.556,1,2,.500,0,0,,0,3,3,2,0,0,2,1,11,6.6,-10
3,473,4,2016-11-01,28-005,POR,GSW,-23,0,20:57,5,6,.833,1,1,1.000,3,4,.750,0,1,1,2,1,0,3,1,14,10.7,-36
4,474,5,2016-11-02,28-006,POR,PHO,-3,0,26:34,5,9,.556,0,1,.000,1,1,1.000,2,8,10,3,0,1,4,1,11,8.9,+3
5,475,6,2016-11-04,28-008,POR,DAL,10,0,25:11,1,8,.125,1,2,.500,2,2,1.000,0,7,7,0,0,0,4,2,5,-2.9,-6
6,476,7,2016-11-06,28-010,POR,MEM,6,0,22:51,0,0,,0,0,,0,0,,0,0,0,4,1,1,2,2,0,1.7,-1
7,477,8,2016-11-08,28-012,POR,PHO,3,0,23:11,1,3,.333,1,2,.500,0,0,,0,2,2,3,0,0,2,1,3,1.6,-13
8,478,9,2016-11-09,28-013,POR,LAC,-31,0,20:09,3,8,.375,0,2,.000,1,1,1.000,3,3,6,2,0,0,0,4,7,5.4,-35
9,479,10,2016-11-11,28-015,POR,SAC,2,0,22:33,1,4,.250,0,0,,0,0,,0,4,4,2,0,1,1,3,2,0.7,-6
10,480,11,2016-11-13,28-017,POR,DEN,7,0,29:29,5,17,.294,0,3,.000,4,4,1.000,2,3,5,5,2,0,0,4,14,10.3,+8
11,481,12,2016-11-15,28-019,POR,CHI,-25,0,20:06,3,9,.333,0,2,.000,2,2,1.000,0,4,4,1,0,0,0,1,8,4.4,-9
12,482,13,2016-11-17,28-021,POR,HOU,-17,0,27:39,5,13,.385,0,1,.000,2,2,1.000,1,3,4,3,2,0,1,4,12,8.0,-18
