,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1993-11-24,22-092,SAC,SEA,-27,0,11:00,2,6,.333,0,0,,0,1,.000,2,0,2,0,1,0,0,3,4,1.4,
1,2,2,1993-11-28,22-096,SAC,POR,-11,0,1:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,
2,3,3,1993-11-29,22-097,SAC,IND,-2,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,
3,4,4,1993-12-04,22-102,SAC,NYK,-22,0,9:00,2,4,.500,0,0,,0,0,,1,3,4,0,0,0,1,3,4,1.4,
4,5,5,1993-12-07,22-105,SAC,IND,-18,0,9:00,0,2,.000,0,0,,6,6,1.000,2,2,4,1,0,1,0,4,6,6.4,
5,6,6,1993-12-08,22-106,SAC,BOS,-14,0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,
6,7,7,1993-12-17,22-115,SAC,GSW,-15,0,1:00,0,0,,0,0,,0,2,.000,0,1,1,0,0,0,0,0,0,-0.5,
7,8,8,1993-12-23,22-121,SAC,WSB,26,0,10:00,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,0,2,0.6,
8,9,9,1993-12-26,22-124,SAC,MIA,-14,0,4:00,1,1,1.000,0,0,,1,2,.500,0,1,1,0,1,0,0,1,3,3.2,
9,10,10,1993-12-29,22-127,SAC,WSB,6,0,4:00,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,2,2,1.9,
10,11,11,1993-12-30,22-128,SAC,DET,6,0,3:00,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,2,1,-0.2,
11,12,12,1994-01-02,22-131,SAC,DAL,3,0,2:00,0,2,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,1,1,-1.2,
12,13,13,1994-01-13,22-142,SAC,CHH,11,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
13,14,14,1994-01-19,22-148,SAC,SEA,-19,0,3:00,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,
14,15,15,1994-01-21,22-150,SAC,UTA,-29,0,9:00,1,3,.333,0,0,,0,2,.000,0,1,1,0,0,0,2,0,2,-2.2,
15,16,16,1994-01-25,22-154,SAC,SAS,-16,0,22:00,5,8,.625,0,0,,2,4,.500,3,2,5,2,1,0,1,4,12,10.1,
16,17,17,1994-01-27,22-156,SAC,HOU,-16,0,11:00,0,2,.000,0,0,,0,0,,1,1,2,2,0,0,0,2,0,0.2,
17,18,18,1994-02-01,22-161,SAC,POR,5,0,8:00,0,3,.000,0,0,,0,0,,1,0,1,1,0,1,1,3,0,-2.2,
18,19,19,1994-02-04,22-164,SAC,DEN,-25,0,13:00,3,5,.600,0,0,,0,0,,1,1,2,1,1,0,1,2,6,4.6,
19,20,20,1994-02-05,22-165,SAC,LAC,-12,0,7:00,2,4,.500,0,0,,0,0,,0,1,1,0,1,1,1,2,4,2.2,
20,21,21,1994-02-08,22-168,SAC,POR,-24,0,5:00,1,4,.250,0,0,,0,0,,2,1,3,0,0,0,0,0,2,1.3,
21,22,22,1994-02-10,22-170,SAC,LAL,19,0,2:00,0,2,.000,0,0,,0,0,,0,2,2,1,0,0,0,0,0,-0.1,
22,23,23,1994-02-15,22-175,SAC,GSW,-10,0,4:00,2,2,1.000,0,0,,0,0,,0,0,0,1,0,0,0,1,4,3.7,
