,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1976-04-13,24-328,CLE,WSB,-5,,12:00,1,3,.333,,,,0,0,,,,2,1,,,,1,2,,
1,2,2,1976-04-15,24-330,CLE,WSB,1,,3:00,0,1,.000,,,,0,0,,0,0,0,0,,,,1,0,,
2,3,3,1976-04-17,24-332,CLE,WSB,12,,13:00,2,4,.500,,,,0,0,,,,3,0,,,,2,4,,
3,4,4,1976-04-21,24-336,CLE,WSB,-11,,21:00,1,6,.167,,,,4,4,1.000,,,3,6,,,,3,6,,
4,5,5,1976-04-22,24-337,CLE,WSB,1,,8:00,0,0,,,,,0,0,,0,0,0,0,,,,2,0,,
5,6,6,1976-04-26,24-341,CLE,WSB,-4,,11:00,2,2,1.000,,,,0,0,,0,0,0,4,,,,3,4,,
6,7,7,1976-04-29,24-344,CLE,WSB,2,,7:00,0,0,,,,,2,2,1.000,,,2,0,,,,1,2,,
7,8,8,1976-05-06,24-351,CLE,BOS,-12,,12:00,4,5,.800,,,,0,0,,,,3,1,,,,1,8,,
8,9,9,1976-05-09,24-354,CLE,BOS,-5,,16:00,1,1,1.000,,,,0,0,,,,2,6,,,,2,2,,
9,10,10,1976-05-11,24-356,CLE,BOS,5,,2:00,0,1,.000,,,,1,2,.500,0,0,0,0,,,,0,1,,
10,11,11,1976-05-14,24-359,CLE,BOS,19,,7:00,0,2,.000,,,,1,2,.500,,,1,1,,,,0,1,,
11,12,12,1976-05-16,24-361,CLE,BOS,-5,,10:00,0,2,.000,,,,0,0,,0,0,0,2,,,,1,0,,
12,13,13,1976-05-18,24-363,CLE,BOS,-7,,3:00,0,0,,,,,0,0,,0,0,0,2,,,,0,0,,
