,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1974-10-18,23-150,CLE,POR,-2,0,2:00,0,0,,,,,0,0,,0,0,0,0,0,0,,0,0,,
1,2,2,1974-10-20,23-152,CLE,SEA,-7,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
2,3,3,1974-10-24,23-156,CLE,ATL,19,,,0,,,,,,1,2,.500,,,,,,,,,1,,
3,4,4,1974-10-29,23-161,CLE,BOS,-15,,5:00,1,3,.333,,,,1,1,1.000,,,1,1,,,,,3,,
4,5,5,1974-10-31,23-163,CLE,DET,17,,,0,0,,,,,0,0,,,,,,,,,1,0,,
5,6,6,1974-11-06,23-169,CLE,WSB,8,,7:00,0,0,,,,,0,0,,0,0,0,0,,,,1,0,,
6,7,7,1974-11-12,23-175,CLE,BUF,-18,,,0,,,,,,0,0,,,,,,,,,,0,,
7,8,8,1974-11-14,23-177,CLE,NYK,-5,,3:00,0,0,,,,,3,4,.750,0,0,0,2,,,,1,3,,
8,9,9,1974-11-19,23-182,CLE,HOU,-9,,,2,,,,,,0,0,,,,,,,,,,4,,
9,10,10,1974-11-21,23-184,CLE,GSW,32,,5:00,1,3,.333,,,,0,0,,0,0,0,1,,,,0,2,,
10,11,11,1974-11-23,23-186,CLE,NOJ,21,,,1,,,,,,2,3,.667,0,0,0,0,,,,,4,,
11,12,12,1974-11-24,23-187,CLE,KCO,-15,,,0,,,,,,0,0,,,,,,,,,,0,,
12,13,13,1974-12-05,23-198,CLE,KCO,33,,,3,,,,,,3,4,.750,,,,,,,,,9,,
13,14,14,1974-12-06,23-199,CLE,DET,-26,,,2,,,,,,3,4,.750,,,,,,,,,7,,
14,15,15,1974-12-08,23-201,CLE,WSB,-13,,18:00,3,6,.500,,,,2,2,1.000,,,2,4,,,,3,8,,
15,16,16,1974-12-11,23-204,CLE,SEA,2,,,2,,,,,,2,4,.500,,,,,,,,,6,,
16,17,17,1974-12-13,23-206,CLE,PHO,-1,,,4,,,,,,0,0,,,,,,,,,,8,,
17,18,18,1974-12-17,23-210,CLE,LAL,13,,19:00,5,10,.500,,,,3,4,.750,,,3,2,,,,5,13,,
18,19,19,1974-12-19,23-212,CLE,BUF,2,,,2,,,,,,1,2,.500,,,,,,,,,5,,
19,20,20,1974-12-21,23-214,CLE,CHI,-13,,23:00,2,7,.286,,,,1,3,.333,,,4,1,,,,2,5,,
20,21,21,1974-12-23,23-216,CLE,NOJ,16,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
21,22,22,1974-12-26,23-219,CLE,LAL,-10,,,0,4,.000,,,,0,0,,,,,,,,,0,0,,
22,23,23,1974-12-29,23-222,CLE,ATL,7,,,5,,,,,,2,2,1.000,,,,,,,,,12,,
23,24,24,1974-12-30,23-223,CLE,WSB,-13,,27:00,4,11,.364,,,,2,2,1.000,,,2,5,,,,2,10,,
24,25,25,1975-01-03,23-227,CLE,HOU,12,,,1,7,.143,,,,4,5,.800,,,,,,,,4,6,,
25,26,26,1975-01-04,23-228,CLE,NYK,-1,,18:00,2,3,.667,,,,0,0,,,,4,3,,,,4,4,,
26,27,27,1975-01-05,23-229,CLE,PHO,11,,,0,1,.000,,,,0,0,,,,,,,,,1,0,,
27,28,28,1975-01-07,23-231,CLE,ATL,-1,,,4,,,,,,1,4,.250,,,,,,,,,9,,
28,29,29,1975-01-10,23-234,CLE,BUF,-4,,,0,,,,,,0,0,,,,,,,,,,0,,
29,30,30,1975-01-11,23-235,CLE,MIL,-10,,,1,,,,,,0,0,,,,,,,,,,2,,
30,31,31,1975-01-16,23-240,CLE,POR,8,0,9:00,0,1,.000,,,,0,0,,1,0,1,1,0,0,,1,0,,
31,32,32,1975-01-18,23-242,CLE,PHI,2,,,1,,,,,,1,2,.500,,,,,,,,,3,,
32,33,33,1975-01-19,23-243,CLE,DET,-2,,,0,,,,,,0,0,,,,,,,,,,0,,
33,34,34,1975-01-21,23-245,CLE,WSB,-9,,7:00,1,3,.333,,,,0,0,,0,0,0,1,,,,1,2,,
34,35,35,1975-01-23,23-247,CLE,NYK,-11,,8:00,3,3,1.000,,,,0,0,,0,0,0,0,,,,0,6,,
35,36,36,1975-01-25,23-249,CLE,WSB,-2,,23:00,4,7,.571,,,,0,0,,,,3,4,,,,0,8,,
36,37,37,1975-01-26,23-250,CLE,SEA,-3,,,0,,,,,,0,0,,,,,,,,,,0,,
37,38,38,1975-01-28,23-252,CLE,CHI,-28,,6:00,1,1,1.000,,,,0,0,,0,0,0,1,,,,0,2,,
38,39,39,1975-01-30,23-254,CLE,BUF,-6,,,0,1,.000,,,,0,0,,,,,,,,,2,0,,
39,40,40,1975-01-31,23-255,CLE,BOS,-22,,29:00,2,8,.250,,,,1,2,.500,,,4,5,,,,,5,,
40,41,41,1975-02-01,23-256,CLE,ATL,3,,,3,,,,,,2,2,1.000,,,,,,,,,8,,
41,42,42,1975-02-02,23-257,CLE,DET,20,,1:00,1,,,,,,0,0,,,,,,,,,0,2,,
42,43,43,1975-02-04,23-259,CLE,ATL,-14,,,2,,,,,,0,0,,,,,,,,,,4,,
43,44,44,1975-02-06,23-261,CLE,POR,8,0,12:00,1,4,.250,,,,3,6,.500,0,1,1,0,2,0,,0,5,,
44,45,45,1975-02-08,23-263,CLE,KCO,1,,,2,,,,,,0,0,,,,7,8,1,,,,4,,
45,46,46,1975-02-11,23-266,CLE,NOJ,14,,,0,3,.000,,,,1,2,.500,,,,,,,,2,1,,
46,47,47,1975-02-12,23-267,CLE,PHI,3,,,1,,,,,,0,0,,,,,,,,,,2,,
47,48,48,1975-02-13,23-268,CLE,GSW,3,,5:00,0,1,.000,,,,0,0,,,,1,1,,,,2,0,,
48,49,49,1975-02-14,23-269,CLE,MIL,-7,,12:00,3,3,1.000,,,,0,0,,,,1,3,2,0,,2,6,,
49,50,50,1975-02-16,23-271,CLE,HOU,5,,,1,5,.200,,,,2,4,.500,,,,,,,,2,4,,
50,51,51,1975-02-18,23-273,CLE,MIL,-11,,25:00,5,9,.556,,,,3,4,.750,,,6,6,4,0,,3,13,,
51,52,52,1975-02-20,23-275,CLE,WSB,11,,16:00,2,4,.500,,,,2,2,1.000,,,4,3,,,,2,6,,
52,53,53,1975-02-23,23-278,CLE,ATL,6,,,8,14,.571,,,,2,2,1.000,,,12,11,,,,3,18,,
53,54,54,1975-02-25,23-280,CLE,HOU,-27,,,1,,,,,,0,0,,,,,,,,,,2,,
54,55,55,1975-02-26,23-281,CLE,PHO,-12,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
55,56,56,1975-02-28,23-283,CLE,LAL,-4,,41:00,4,10,.400,,,,1,2,.500,,,2,11,,,,5,9,,
56,57,57,1975-03-01,23-284,CLE,GSW,-15,,,0,,,,,,3,4,.750,,,,,,,,,3,,
57,58,58,1975-03-04,23-287,CLE,POR,-19,0,34:00,6,8,.750,,,,2,4,.500,2,4,6,7,5,0,,2,14,,
58,59,59,1975-03-07,23-290,CLE,HOU,-7,,,2,,,,,,5,6,.833,,,,,,,,,9,,
59,60,60,1975-03-11,23-294,CLE,NOJ,9,,,0,0,,,,,0,0,,,,,,,,,0,0,,
60,61,61,1975-03-13,23-296,CLE,LAL,19,,11:00,0,1,.000,,,,0,0,,,,3,0,,,,1,0,,
61,62,62,1975-03-15,23-298,CLE,PHI,-8,,,0,,,,,,0,0,,,,,,,,,,0,,
62,63,63,1975-03-16,23-299,CLE,NOJ,2,,,0,,,,,,2,2,1.000,,,,,,,,,2,,
63,64,64,1975-03-18,23-301,CLE,WSB,14,,9:00,1,2,.500,,,,2,2,1.000,,,1,2,,,,2,4,,
64,65,65,1975-03-20,23-303,CLE,CHI,4,,,1,,,,,,0,0,,,,,,,,,,2,,
65,66,66,1975-03-22,23-305,CLE,WSB,-3,,15:00,2,4,.500,,,,1,4,.250,,,2,4,,,,1,5,,
66,67,67,1975-03-23,23-306,CLE,HOU,6,,,1,1,1.000,,,,3,6,.500,,,,,,,,1,5,,
67,68,68,1975-03-25,23-308,CLE,BOS,-5,,13:00,0,3,.000,,,,4,4,1.000,,,1,4,,,,,4,,
68,69,69,1975-03-28,23-311,CLE,HOU,-7,,,1,,,,,,3,5,.600,,,,,,,,,5,,
69,70,70,1975-03-29,23-312,CLE,ATL,-6,,,2,,,,,,0,0,,,,,,,,,,4,,
