,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,14,1,1968-03-22,25-245,SFW,STL,5,,24:00,6,12,.500,,,,2,3,.667,,,7,0,,,,5,14,,
1,15,2,1968-03-23,25-246,SFW,STL,-8,,41:00,6,18,.333,,,,2,4,.500,,,9,4,,,,6,14,,
2,16,3,1968-03-26,25-249,SFW,STL,15,,28:00,9,13,.692,,,,1,3,.333,,,9,3,,,,2,19,,
3,17,4,1968-03-29,25-252,SFW,STL,1,,26:00,6,13,.462,,,,1,1,1.000,,,7,1,,,,5,13,,
4,18,5,1968-03-31,25-254,SFW,STL,-26,,33:00,4,11,.364,,,,7,9,.778,,,9,0,,,,5,15,,
5,19,6,1968-04-02,25-256,SFW,STL,5,,21:00,2,7,.286,,,,2,3,.667,,,2,0,,,,4,6,,
6,20,7,1968-04-05,25-259,SFW,LAL,-28,,,5,12,.417,,,,7,9,.778,,,5,3,,,,3,17,,
7,21,8,1968-04-10,25-264,SFW,LAL,-3,,45:00,13,18,.722,,,,10,10,1.000,,,7,3,,,,3,36,,
8,22,9,1968-04-11,25-265,SFW,LAL,-4,,39:00,8,23,.348,,,,11,13,.846,,,4,1,,,,5,27,,
9,23,10,1968-04-13,25-267,SFW,LAL,-6,,,10,,,,,,7,7,1.000,,,,,,,,6,27,,
