,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,198,1,1952-11-01,27-124,FTW,ROC,-12,,,,,,,,,,,,,,,,,,,6,,,
1,199,2,1952-11-02,27-125,FTW,MNL,-12,,,2,,,,,,1,1,1.000,,,,,,,,,5,,
2,200,3,1952-11-06,27-129,FTW,ROC,-20,,,3,,,,,,2,3,.667,,,,,,,,4,8,,
3,201,4,1952-11-09,27-132,FTW,INO,3,,,5,,,,,,4,5,.800,,,,,,,,3,14,,
4,202,5,1952-11-11,27-134,FTW,INO,-15,,,3,,,,,,1,1,1.000,,,,,,,,,7,,
5,203,6,1952-11-15,27-138,FTW,MLH,-3,,,1,,,,,,4,,,,,,,,,,6,6,,
6,204,7,1952-11-16,27-139,FTW,NYK,29,,,3,,,,,,1,2,.500,,,,,,,,6,7,,
7,205,8,1952-11-20,27-143,FTW,MNL,-8,,,10,,,,,,4,4,1.000,,,,,,,,3,24,,
8,206,9,1952-11-22,27-145,FTW,MNL,-7,,,3,,,,,,8,9,.889,,,,,,,,2,14,,
9,207,10,1952-11-23,27-146,FTW,PHW,12,,,8,,,,,,6,8,.750,,,,,,,,2,22,,
10,208,11,1952-11-26,27-149,FTW,MLH,8,,,5,,,,,,2,,,,,,,,,,6,12,,
11,209,12,1952-11-27,27-150,FTW,MLH,8,,,2,,,,,,4,5,.800,,,,,,,,6,8,,
12,210,13,1952-11-29,27-152,FTW,BOS,-7,,,3,,,,,,1,2,.500,,,,,,,,3,7,,
13,211,14,1952-11-30,27-153,FTW,BLB,5,,,2,,,,,,8,9,.889,,,,,,,,3,12,,
14,212,15,1952-12-04,27-157,FTW,SYR,-8,,,,,,,,,1,,,,,,,,,,6,1,,
15,213,16,1952-12-05,27-158,FTW,INO,-10,,,5,,,,,,2,,,,,,,,,,3,12,,
16,214,17,1952-12-06,27-159,FTW,BLB,12,,,9,,,,,,3,6,.500,,,,,,,,5,21,,
17,215,18,1952-12-07,27-160,FTW,NYK,11,,,3,,,,,,5,,,,,,,,,,6,11,,
18,216,19,1952-12-11,27-164,FTW,MLH,1,,,3,,,,,,4,,,,,,,,,,3,10,,
19,217,20,1952-12-14,27-167,FTW,INO,15,,,6,,,,,,5,6,.833,,,,,,,,1,17,,
20,218,21,1952-12-16,27-169,FTW,PHW,31,,,2,,,,,,1,3,.333,,,,,,,,2,5,,
21,219,22,1952-12-18,27-171,FTW,PHW,7,,,4,,,,,,1,,,,,,,,,,5,9,,
