,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,433,1,1997-11-04,30-161,PHO,UTA,22,0,10:00,1,3,.333,1,2,.500,0,0,,0,1,1,1,0,0,0,0,3,2.3,
1,434,2,1997-11-06,30-163,PHO,NYK,-30,0,15:00,1,6,.167,1,3,.333,0,0,,0,1,1,0,1,0,0,2,3,-0.3,
2,435,3,1997-11-08,30-165,PHO,LAC,18,0,3:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,0,0,0.3,
3,436,4,1997-11-18,30-175,PHO,MIN,-18,0,15:00,1,4,.250,1,4,.250,0,0,,1,1,2,0,0,0,2,3,3,-1.6,
4,437,5,1997-11-28,30-185,PHO,BOS,4,0,26:00,5,12,.417,3,6,.500,0,0,,1,2,3,4,0,0,2,5,13,6.7,
5,438,6,1997-11-29,30-186,PHO,NYK,-22,0,25:00,2,12,.167,1,8,.125,0,0,,3,6,9,2,1,0,0,2,5,2.9,
6,439,7,1997-12-02,30-189,PHO,MIL,4,1,26:00,6,12,.500,1,7,.143,3,4,.750,2,2,4,2,1,0,2,2,16,11.2,
7,440,8,1997-12-03,30-190,PHO,DET,-5,1,50:00,6,17,.353,3,9,.333,0,0,,3,7,10,8,6,0,0,5,15,19.3,
8,441,9,1997-12-05,30-192,PHO,TOR,19,1,20:00,6,9,.667,2,3,.667,0,0,,0,4,4,1,0,1,3,0,14,9.7,
9,442,10,1997-12-07,30-194,PHO,IND,-2,1,36:00,7,17,.412,4,9,.444,0,0,,3,8,11,1,3,0,1,3,18,14.9,
10,443,11,1997-12-11,30-198,PHO,ATL,16,1,30:00,3,10,.300,0,3,.000,2,3,.667,0,8,8,7,2,1,3,3,8,7.6,
11,444,12,1997-12-13,30-200,PHO,MIN,-11,1,41:00,6,18,.333,2,11,.182,2,2,1.000,3,4,7,1,0,1,2,3,16,7.3,
12,445,13,1997-12-15,30-202,PHO,CHI,-7,1,29:00,3,10,.300,0,3,.000,1,2,.500,1,4,5,3,2,0,3,6,7,1.4,
13,446,14,1997-12-16,30-203,PHO,CLE,-13,0,11:00,1,5,.200,1,3,.333,0,0,,0,1,1,0,0,0,0,3,3,-1.0,
14,447,15,1997-12-18,30-205,PHO,DAL,14,0,22:00,4,11,.364,2,6,.333,0,0,,0,3,3,0,1,0,1,1,10,4.4,
15,448,16,1997-12-20,30-207,PHO,DEN,21,0,18:00,1,4,.250,0,1,.000,0,0,,0,4,4,0,0,1,0,1,2,1.1,
16,449,17,1997-12-22,30-209,PHO,GSW,15,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
17,450,18,1997-12-28,30-215,PHO,SEA,-9,0,2:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,
18,451,19,1997-12-30,30-217,PHO,BOS,10,0,28:00,2,6,.333,0,1,.000,3,4,.750,0,6,6,5,1,0,2,2,7,6.7,
19,452,20,1998-01-02,30-220,PHO,DAL,7,0,19:00,1,6,.167,0,2,.000,0,0,,1,3,4,0,0,0,0,2,2,-1.0,
20,453,21,1998-01-04,30-222,PHO,WAS,-10,0,16:00,3,6,.500,1,3,.333,0,1,.000,1,2,3,1,1,1,1,5,7,4.3,
21,454,22,1998-01-06,30-224,PHO,IND,1,0,17:00,3,5,.600,1,1,1.000,2,2,1.000,0,1,1,1,1,1,0,1,9,9.0,
22,455,23,1998-01-07,30-225,PHO,MIN,15,0,21:00,4,8,.500,3,5,.600,2,2,1.000,0,5,5,2,0,1,1,4,13,10.0,
23,456,24,1998-01-09,30-227,PHO,SAS,21,0,29:00,5,8,.625,3,5,.600,0,0,,0,3,3,1,2,0,2,3,13,9.8,
24,457,25,1998-01-12,30-230,PHO,SAC,-6,0,1:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,
25,458,26,1998-01-13,30-231,PHO,CLE,-18,0,26:00,4,12,.333,1,5,.200,1,1,1.000,3,1,4,3,2,0,0,4,10,8.1,
26,459,27,1998-01-16,30-234,PHO,ORL,25,0,27:00,4,7,.571,2,4,.500,0,0,,0,2,2,1,1,0,2,2,10,6.2,
27,460,28,1998-01-18,30-236,PHO,MIA,9,0,16:00,3,7,.429,0,2,.000,0,1,.000,0,2,2,0,0,0,2,1,6,0.1,
28,461,29,1998-01-21,30-239,PHO,LAL,-10,0,19:00,2,10,.200,1,6,.167,0,0,,1,2,3,1,0,0,0,4,5,-0.8,
29,462,30,1998-01-23,30-241,PHO,DEN,16,0,8:00,0,2,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,1,0,2,-0.1,
30,463,31,1998-01-26,30-244,PHO,ATL,5,0,17:00,2,7,.286,0,2,.000,0,0,,0,2,2,1,0,0,0,2,4,0.4,
31,464,32,1998-01-27,30-245,PHO,CHH,-7,0,22:00,2,10,.200,0,4,.000,0,0,,2,4,6,1,2,1,2,3,4,0.6,
32,465,33,1998-01-30,30-248,PHO,MIA,3,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
33,466,34,1998-01-31,30-249,PHO,ORL,2,0,16:00,0,4,.000,0,3,.000,2,4,.500,0,2,2,0,1,0,0,1,2,-0.4,
34,467,35,1998-02-05,30-254,PHO,NJN,-12,0,16:00,3,6,.500,0,1,.000,2,2,1.000,0,4,4,0,0,0,1,3,8,4.0,
35,468,36,1998-02-12,30-261,PHO,POR,-5,0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
36,469,37,1998-02-14,30-263,PHO,SAS,13,0,23:00,4,8,.500,3,6,.500,0,0,,0,1,1,0,1,0,1,2,11,6.5,
37,470,38,1998-02-17,30-266,PHO,DAL,18,0,17:00,3,6,.500,1,2,.500,0,0,,0,5,5,1,0,0,3,1,7,2.8,
38,471,39,1998-02-18,30-267,PHO,LAL,7,0,18:00,6,10,.600,2,4,.500,0,0,,0,1,1,1,0,0,1,3,14,8.2,
39,472,40,1998-02-20,30-269,PHO,CHH,16,0,14:00,1,3,.333,0,2,.000,0,0,,0,1,1,1,0,0,1,2,2,-0.5,
40,473,41,1998-02-22,30-271,PHO,SAS,18,0,8:00,0,1,.000,0,0,,0,0,,0,2,2,0,1,0,1,1,0,-0.5,
41,474,42,1998-02-24,30-273,PHO,PHI,-1,0,11:00,1,1,1.000,1,1,1.000,0,0,,1,3,4,2,1,0,1,2,3,4.9,
42,475,43,1998-03-01,30-278,PHO,SEA,-2,0,23:00,4,11,.364,3,8,.375,0,0,,4,7,11,1,1,0,1,3,11,9.3,
43,476,44,1998-03-05,30-282,PHO,DET,9,0,7:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,
44,477,45,1998-03-07,30-284,PHO,HOU,-19,0,4:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.0,
45,478,46,1998-03-09,30-286,PHO,LAC,29,0,28:00,7,9,.778,5,7,.714,2,2,1.000,0,3,3,3,4,0,0,3,21,23.3,
46,479,47,1998-03-10,30-287,PHO,DEN,24,0,18:00,2,5,.400,1,3,.333,3,4,.750,0,3,3,0,2,0,0,4,8,6.2,
47,480,48,1998-03-13,30-290,PHO,GSW,24,0,25:00,2,9,.222,1,4,.250,1,2,.500,1,2,3,4,1,0,2,1,6,2.8,
