,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,124,1,1955-11-05,27-002,FTW,SYR,-1,,,7,,,,,,10,13,.769,,,,,,,,6,24,,
1,125,2,1955-11-06,27-003,FTW,MNL,-1,,,5,,,,,,6,10,.600,,,,,,,,5,16,,
2,126,3,1955-11-12,27-009,FTW,ROC,-5,,,3,,,,,,5,8,.625,,,,,,,,5,11,,
3,127,4,1955-11-13,27-010,FTW,SYR,14,,,7,,,,,,1,2,.500,,,,,,,,3,15,,
4,128,5,1955-11-17,27-014,FTW,NYK,-22,,,8,,,,,,6,9,.667,,,,,,,,,22,,
5,129,6,1955-11-19,27-016,FTW,BOS,-2,,,7,,,,,,4,7,.571,,,,,,,,5,18,,
6,130,7,1955-11-20,27-017,FTW,NYK,-4,,,7,,,,,,4,7,.571,,,,,,,,5,18,,
7,131,8,1955-11-24,27-021,FTW,ROC,11,,,10,,,,,,8,13,.615,,,,,,,,5,28,,
8,132,9,1955-11-26,27-023,FTW,PHW,-5,,,9,,,,,,4,6,.667,,,,,,,,3,22,,
9,133,10,1955-11-27,27-024,FTW,STL,8,,,13,,,,,,3,4,.750,,,,,,,,5,29,,
10,134,11,1955-11-29,27-026,FTW,NYK,5,,,6,,,,,,7,9,.778,,,,,,,,3,19,,
11,135,12,1955-11-30,27-027,FTW,ROC,-11,,,2,,,,,,3,3,1.000,,,,,,,,5,7,,
12,136,13,1955-12-04,27-031,FTW,BOS,21,,,7,,,,,,2,2,1.000,,,,,,,,2,16,,
13,137,14,1955-12-06,27-033,FTW,SYR,2,,,4,,,,,,3,4,.750,,,,,,,,2,11,,
14,138,15,1955-12-08,27-035,FTW,SYR,11,,,7,,,,,,3,4,.750,,,,,,,,1,17,,
15,139,16,1955-12-10,27-037,FTW,ROC,-1,,,8,,,,,,6,7,.857,,,,,,,,5,22,,
16,140,17,1955-12-11,27-038,FTW,PHW,5,,,7,,,,,,9,11,.818,,,,,,,,2,23,,
17,141,18,1955-12-14,27-041,FTW,MNL,-13,,,2,,,,,,3,3,1.000,,,,,,,,1,7,,
18,142,19,1955-12-15,27-042,FTW,PHW,-7,,,6,,,,,,2,2,1.000,,,,,,,,3,14,,
19,143,20,1955-12-17,27-044,FTW,NYK,-5,,,8,,,,,,1,2,.500,,,,,,,,4,17,,
20,144,21,1955-12-18,27-045,FTW,MNL,10,,,5,,,,,,5,7,.714,,,,,,,,3,15,,
21,145,22,1955-12-26,27-053,FTW,STL,16,,,5,,,,,,5,7,.714,,,,,,,,2,15,,
22,146,23,1955-12-29,27-056,FTW,ROC,8,,,2,,,,,,5,6,.833,,,,,,,,5,9,,
23,147,24,1955-12-30,27-057,FTW,STL,1,,,3,,,,,,2,2,1.000,,,,,,,,2,8,,
24,148,25,1956-01-01,27-059,FTW,STL,17,,,2,,,,,,1,2,.500,,,,,,,,4,5,,
25,149,26,1956-01-02,27-060,FTW,MNL,-6,,,2,,,,,,5,8,.625,,,,,,,,3,9,,
26,150,27,1956-01-03,27-061,FTW,PHW,-20,,,9,,,,,,4,7,.571,,,,,,,,4,22,,
27,151,28,1956-01-04,27-062,FTW,ROC,2,,,9,,,,,,7,7,1.000,,,,,,,,2,25,,
28,152,29,1956-01-05,27-063,FTW,PHW,11,,,7,,,,,,7,8,.875,,,,,,,,4,21,,
29,153,30,1956-01-07,27-065,FTW,STL,11,,,3,,,,,,7,14,.500,,,,,,,,3,13,,
30,154,31,1956-01-08,27-066,FTW,STL,-5,,,8,,,,,,4,4,1.000,,,,,,,,4,20,,
31,155,32,1956-01-10,27-068,FTW,BOS,16,,,8,,,,,,3,3,1.000,,,,,,,,2,19,,
32,156,33,1956-01-14,27-072,FTW,MNL,-23,,,5,,,,,,,,,,,,,,,,3,10,,
33,157,34,1956-01-15,27-073,FTW,MNL,5,,,6,,,,,,4,4,1.000,,,,,,,,2,16,,
34,158,35,1956-01-17,27-075,FTW,BOS,-6,,,5,,,,,,6,9,.667,,,,,,,,2,16,,
35,159,36,1956-01-18,27-076,FTW,BOS,-5,,,10,,,,,,10,12,.833,,,,,,,,4,30,,
36,160,37,1956-01-19,27-077,FTW,STL,7,,,4,,,,,,10,13,.769,,,,,,,,4,18,,
37,161,38,1956-01-21,27-079,FTW,PHW,1,,,11,,,,,,5,6,.833,,,,,,,,4,27,,
38,162,39,1956-01-22,27-080,FTW,ROC,18,,,5,,,,,,6,6,1.000,,,,,,,,3,16,,
39,163,40,1956-01-25,27-083,FTW,BOS,1,,,4,,,,,,4,5,.800,,,,,,,,3,12,,
40,164,41,1956-01-27,27-085,FTW,BOS,9,,,9,,,,,,5,,,,,,,,,,4,23,,
41,165,42,1956-01-28,27-086,FTW,NYK,1,,,10,,,,,,5,9,.556,,,,,,,,,25,,
42,166,43,1956-01-29,27-087,FTW,PHW,14,,,6,,,,,,3,7,.429,,,,,,,,3,15,,
43,167,44,1956-02-02,27-091,FTW,STL,-8,,,5,,,,,,2,4,.500,,,,,,,,4,12,,
44,168,45,1956-02-04,27-093,FTW,STL,-4,,,6,,,,,,11,,,,,,,,,,2,23,,
45,169,46,1956-02-05,27-094,FTW,SYR,-5,,,3,,,,,,5,5,1.000,,,,,,,,3,11,,
46,170,47,1956-02-06,27-095,FTW,SYR,1,,,7,,,,,,12,16,.750,,,,,,,,3,26,,
47,171,48,1956-02-08,27-097,FTW,MNL,-24,,,3,,,,,,7,9,.778,,,,,,,,,13,,
48,172,49,1956-02-11,27-100,FTW,ROC,-4,,,4,,,,,,7,8,.875,,,,,,,,2,15,,
49,173,50,1956-02-12,27-101,FTW,MNL,4,,,8,,,,,,12,15,.800,,,,,,,,3,28,,
50,174,51,1956-02-13,27-102,FTW,PHW,-11,,,5,,,,,,5,6,.833,,,,,,,,6,15,,
51,175,52,1956-02-15,27-104,FTW,PHW,-23,,,6,,,,,,7,8,.875,,,,,,,,3,19,,
52,176,53,1956-02-16,27-105,FTW,ROC,12,,,1,,,,,,4,7,.571,,,,,,,,4,6,,
53,177,54,1956-02-18,27-107,FTW,SYR,-1,,,10,,,,,,10,14,.714,,,,,,,,1,30,,
