,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2013-10-30,18-328,MIL,NYK,-7,0,4:43,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,1,2,1,-1.2,-3
1,2,2,2013-11-01,18-330,MIL,BOS,7,0,12:27,2,5,.400,0,1,.000,1,2,.500,0,2,2,0,0,0,0,3,5,1.3,+11
2,3,3,2013-11-02,18-331,MIL,TOR,-7,0,16:57,1,2,.500,0,0,,0,2,.000,0,2,2,0,1,0,0,1,2,1.4,+6
3,4,6,2013-11-12,18-341,MIL,MIA,-23,0,21:35,4,8,.500,3,5,.600,0,0,,2,2,4,0,0,0,3,1,11,5.6,-1
4,5,7,2013-11-13,18-342,MIL,ORL,-3,0,19:27,1,2,.500,0,1,.000,4,4,1.000,1,1,2,1,2,0,1,0,6,7.7,-5
5,6,8,2013-11-15,18-344,MIL,IND,-27,0,11:46,2,2,1.000,1,1,1.000,0,0,,1,1,2,0,0,1,1,4,5,3.5,-18
6,7,9,2013-11-16,18-345,MIL,OKC,-13,0,15:10,1,3,.333,0,1,.000,0,0,,1,4,5,1,0,2,2,1,2,1.9,-5
7,8,12,2013-11-23,18-352,MIL,CHA,-24,0,12:00,3,7,.429,0,0,,0,0,,1,2,3,0,2,0,1,2,6,3.8,-1
8,9,13,2013-11-25,18-354,MIL,DET,-19,0,12:00,2,6,.333,0,0,,2,2,1.000,1,3,4,0,0,0,0,2,6,3.4,+7
9,10,15,2013-11-29,18-358,MIL,CHA,-16,0,13:25,2,3,.667,0,1,.000,0,1,.000,0,2,2,1,1,1,0,3,4,4.1,-1
10,11,16,2013-11-30,18-359,MIL,BOS,7,0,27:45,4,6,.667,2,3,.667,0,2,.000,1,6,7,4,0,1,2,0,10,10.6,+16
11,12,17,2013-12-03,18-362,MIL,BOS,-8,0,15:26,2,4,.500,0,0,,0,0,,1,2,3,1,0,1,2,1,4,2.3,-11
12,13,18,2013-12-04,18-363,MIL,DET,-7,0,27:39,3,5,.600,0,2,.000,0,1,.000,0,6,6,4,1,3,0,3,6,9.8,+8
13,14,19,2013-12-06,19-000,MIL,WAS,4,0,19:35,3,6,.500,0,2,.000,0,1,.000,2,2,4,1,0,1,1,2,6,4.2,-3
14,15,20,2013-12-07,19-001,MIL,BRK,-8,0,14:08,1,3,.333,0,2,.000,1,2,.500,0,2,2,1,1,1,1,1,3,2.5,-1
15,16,21,2013-12-10,19-004,MIL,CHI,4,0,9:59,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,2,0,1,-2.1,-8
16,17,22,2013-12-11,19-005,MIL,SAS,-32,0,33:12,5,8,.625,0,1,.000,5,8,.625,3,5,8,1,2,1,1,3,15,15.0,-5
17,18,23,2013-12-13,19-007,MIL,CHI,-1,0,23:51,2,4,.500,0,0,,4,4,1.000,4,5,9,1,0,0,0,2,8,10.2,+1
18,19,24,2013-12-14,19-008,MIL,DAL,-13,0,34:46,3,9,.333,0,1,.000,7,8,.875,2,7,9,4,0,1,0,2,13,13.7,0
19,20,25,2013-12-18,19-012,MIL,NYK,-6,1,41:46,2,3,.667,0,0,,6,7,.857,1,6,7,2,2,1,3,6,10,9.5,-1
20,21,26,2013-12-20,19-014,MIL,CLE,-3,1,22:59,2,4,.500,1,2,.500,1,2,.500,0,0,0,1,0,0,1,4,6,1.7,+1
21,22,27,2013-12-21,19-015,MIL,PHI,10,1,34:44,3,7,.429,0,0,,6,6,1.000,2,5,7,3,0,2,2,0,12,12.7,+9
22,23,28,2013-12-23,19-017,MIL,CHA,-1,1,35:42,4,8,.500,2,4,.500,2,2,1.000,2,4,6,2,0,0,0,1,12,11.6,+3
23,24,29,2013-12-27,19-021,MIL,BRK,-11,1,33:45,5,12,.417,1,5,.200,5,6,.833,2,8,10,1,0,3,1,3,16,13.6,+12
24,25,30,2013-12-28,19-022,MIL,MIN,-22,1,31:10,3,6,.500,0,1,.000,0,0,,4,1,5,4,4,2,4,1,6,9.9,-26
25,26,31,2013-12-31,19-025,MIL,LAL,15,1,37:30,3,7,.429,0,0,,2,2,1.000,4,7,11,1,0,0,1,3,8,7.7,+25
26,27,32,2014-01-02,19-027,MIL,UTA,-9,1,33:39,3,6,.500,1,2,.500,3,4,.750,1,6,7,5,0,1,2,4,10,9.7,+1
27,28,33,2014-01-04,19-029,MIL,PHO,-16,1,13:34,0,2,.000,0,0,,0,0,,0,3,3,0,0,0,4,3,0,-5.7,-17
28,29,34,2014-01-07,19-032,MIL,GSW,-21,1,24:28,1,3,.333,0,0,,0,0,,0,5,5,5,2,0,1,3,2,5.1,-22
29,30,35,2014-01-10,19-035,MIL,CHI,-9,1,11:42,0,5,.000,0,1,.000,0,0,,0,1,1,1,0,0,3,3,0,-6.7,-5
30,31,36,2014-01-11,19-036,MIL,OKC,-16,1,38:09,5,12,.417,0,3,.000,3,4,.750,4,7,11,5,2,2,4,2,13,13.2,-10
31,32,37,2014-01-13,19-038,MIL,TOR,-22,1,32:59,5,10,.500,0,1,.000,1,4,.250,3,4,7,4,2,1,4,5,11,7.6,-13
32,33,38,2014-01-15,19-040,MIL,MEM,-5,1,22:18,2,4,.500,0,2,.000,2,2,1.000,0,1,1,1,0,0,2,4,6,1.4,+6
33,34,39,2014-01-18,19-043,MIL,HOU,-10,1,21:16,4,10,.400,2,4,.500,0,0,,0,4,4,3,1,1,3,4,10,5.0,-5
34,35,40,2014-01-19,19-044,MIL,SAS,-28,1,30:05,4,10,.400,3,6,.500,0,0,,1,3,4,1,0,0,2,2,11,5.1,-19
35,36,41,2014-01-22,19-047,MIL,DET,3,1,25:42,1,3,.333,0,2,.000,2,2,1.000,0,5,5,3,1,1,2,1,4,5.2,-18
36,37,42,2014-01-24,19-049,MIL,CLE,-15,1,26:23,3,5,.600,2,3,.667,2,2,1.000,1,6,7,2,1,2,3,2,10,10.2,-1
37,38,43,2014-01-25,19-050,MIL,ATL,-25,1,25:21,2,6,.333,0,2,.000,1,2,.500,0,2,2,2,1,1,4,5,5,-1.1,+3
38,39,44,2014-01-27,19-052,MIL,LAC,-28,1,37:06,3,7,.429,0,1,.000,2,4,.500,1,6,7,3,0,1,1,4,8,6.2,-27
39,40,45,2014-01-29,19-054,MIL,PHO,-9,1,25:08,2,7,.286,0,0,,2,2,1.000,0,2,2,4,1,0,0,4,6,4.7,-16
40,41,46,2014-01-31,19-056,MIL,ORL,-11,0,28:49,4,7,.571,2,4,.500,5,9,.556,1,6,7,3,1,0,2,1,15,13.3,-5
41,42,47,2014-02-01,19-057,MIL,MEM,-9,0,20:25,1,3,.333,1,2,.500,0,0,,0,0,0,1,1,0,2,1,3,0.6,+2
42,43,48,2014-02-03,19-059,MIL,NYK,3,0,28:27,5,9,.556,0,0,,5,8,.625,1,2,3,2,1,0,1,3,15,11.0,-9
43,44,49,2014-02-05,19-061,MIL,DEN,-10,0,33:08,1,4,.250,0,1,.000,3,6,.500,0,4,4,1,1,1,4,4,5,-0.6,-1
44,45,50,2014-02-08,19-064,MIL,HOU,-6,0,24:56,0,8,.000,0,1,.000,1,2,.500,1,4,5,0,1,1,1,2,1,-3.2,-10
45,46,51,2014-02-10,19-066,MIL,BOS,-16,0,26:13,1,5,.200,1,2,.500,1,2,.500,0,4,4,0,0,0,1,1,4,0.3,-20
