,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,349,1,2013-10-30,27-177,PHO,POR,13,1,41:06,12,21,.571,1,4,.250,1,1,1.000,0,6,6,9,1,0,3,4,26,20.6,+16
1,350,2,2013-11-01,27-179,PHO,UTA,3,1,24:40,2,11,.182,0,3,.000,1,2,.500,0,2,2,5,1,1,2,2,5,0.7,-1
2,351,3,2013-11-03,27-181,PHO,OKC,-7,1,19:54,5,9,.556,0,1,.000,0,0,,0,3,3,2,1,0,1,1,10,7.6,-2
3,352,7,2013-11-10,27-188,PHO,NOP,7,0,29:34,4,9,.444,1,3,.333,3,6,.500,0,1,1,3,0,0,1,0,12,7.5,+8
4,353,8,2013-11-13,27-191,PHO,POR,-1,1,24:30,5,12,.417,2,3,.667,2,2,1.000,1,0,1,1,0,0,2,2,14,6.2,+6
5,354,9,2013-11-15,27-193,PHO,BRK,-2,1,46:19,5,12,.417,0,4,.000,9,10,.900,0,1,1,10,2,0,4,1,19,17.1,0
6,355,10,2013-11-19,27-197,PHO,SAC,-3,1,35:29,3,9,.333,0,1,.000,4,4,1.000,0,2,2,8,2,0,7,4,10,4.5,+9
7,356,11,2013-11-20,27-198,PHO,SAC,-7,1,35:32,10,20,.500,3,6,.500,8,9,.889,1,1,2,5,1,0,1,4,31,23.5,-2
8,357,12,2013-11-22,27-200,PHO,CHA,7,1,32:14,4,9,.444,0,1,.000,6,11,.545,0,5,5,8,1,0,6,5,14,7.4,-4
9,358,13,2013-11-24,27-202,PHO,ORL,8,1,33:30,10,17,.588,2,5,.400,1,2,.500,0,1,1,13,0,0,0,1,23,23.7,+15
10,359,14,2013-11-25,27-203,PHO,MIA,-15,1,39:11,5,12,.417,0,3,.000,4,4,1.000,2,6,8,9,1,0,1,2,14,16.3,-3
11,360,15,2013-11-27,27-205,PHO,POR,14,1,35:21,10,18,.556,4,5,.800,7,8,.875,3,2,5,10,0,1,4,2,31,27.6,+20
12,361,16,2013-11-29,27-207,PHO,UTA,11,1,38:57,7,12,.583,0,2,.000,5,5,1.000,0,3,3,9,0,2,2,1,19,19.6,+19
13,362,17,2013-11-30,27-208,PHO,UTA,-8,1,39:53,6,13,.462,1,3,.333,11,13,.846,2,0,2,9,1,0,2,4,24,21.6,-1
14,363,18,2013-12-03,27-211,PHO,MEM,-19,1,36:10,7,13,.538,1,5,.200,1,4,.250,1,2,3,5,1,1,3,2,16,11.2,-21
15,364,19,2013-12-04,27-212,PHO,HOU,9,1,40:56,6,11,.545,2,5,.400,5,6,.833,0,2,2,1,4,1,4,4,19,13.7,-5
16,365,20,2013-12-06,27-214,PHO,TOR,9,1,38:08,5,13,.385,1,4,.250,3,4,.750,0,5,5,2,1,0,2,1,14,8.0,+9
17,366,21,2013-12-10,27-218,PHO,LAL,6,1,37:53,9,18,.500,2,6,.333,11,11,1.000,1,1,2,5,1,0,1,3,31,25.3,+14
18,367,22,2013-12-13,27-221,PHO,SAC,9,1,34:56,10,14,.714,4,5,.800,5,7,.714,2,2,4,3,1,0,4,2,29,22.7,+21
19,368,23,2013-12-15,27-223,PHO,GSW,4,1,34:46,6,11,.545,4,4,1.000,5,8,.625,0,1,1,4,4,0,2,3,21,18.4,0
20,369,24,2013-12-18,27-226,PHO,SAS,-7,1,40:44,6,18,.333,0,2,.000,6,8,.750,1,1,2,4,0,0,2,4,18,7.2,-5
21,370,25,2013-12-20,27-228,PHO,DEN,4,1,40:00,7,15,.467,0,3,.000,3,3,1.000,0,3,3,6,1,0,3,0,17,12.4,+11
22,371,26,2013-12-21,27-229,PHO,DAL,15,1,32:18,5,13,.385,0,4,.000,3,3,1.000,3,3,6,5,2,0,2,3,13,11.2,+23
23,372,27,2013-12-23,27-231,PHO,LAL,27,1,29:23,4,9,.444,0,1,.000,4,5,.800,0,3,3,7,1,0,1,0,12,12.7,+15
