,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,788,1,2009-10-28,37-023,PHO,LAC,2,1,33:00,8,15,.533,1,1,1.000,2,2,1.000,3,10,13,2,2,0,1,4,19,17.6,-12
1,789,2,2009-10-30,37-025,PHO,GSW,22,1,35:07,7,13,.538,0,0,,4,5,.800,1,5,6,2,0,0,2,1,18,12.5,+19
2,790,3,2009-11-01,37-027,PHO,MIN,8,1,32:34,8,16,.500,1,1,1.000,6,6,1.000,4,6,10,1,1,1,3,1,23,18.6,-1
3,791,4,2009-11-03,37-029,PHO,MIA,8,1,35:26,2,11,.182,0,2,.000,6,8,.750,2,10,12,2,1,0,1,1,10,7.7,+1
4,792,5,2009-11-04,37-030,PHO,ORL,-22,1,18:34,0,5,.000,0,1,.000,0,0,,1,2,3,1,0,0,1,1,0,-2.9,-18
5,793,6,2009-11-06,37-032,PHO,BOS,7,1,24:28,4,9,.444,1,1,1.000,3,3,1.000,0,4,4,2,0,0,1,4,12,7.3,-4
6,794,7,2009-11-08,37-034,PHO,WAS,12,1,33:01,5,13,.385,0,0,,3,5,.600,4,9,13,3,0,0,2,2,13,9.9,+15
7,795,8,2009-11-09,37-035,PHO,PHI,4,1,30:25,4,8,.500,0,0,,3,4,.750,1,7,8,3,0,0,0,2,11,10.7,+1
8,796,9,2009-11-11,37-037,PHO,NOH,20,1,30:51,8,14,.571,0,1,.000,2,2,1.000,2,4,6,3,0,0,1,1,18,14.7,+22
9,797,10,2009-11-12,37-038,PHO,LAL,-19,1,22:37,4,8,.500,1,1,1.000,0,0,,1,6,7,1,0,0,2,0,9,6.2,-23
10,798,11,2009-11-15,37-041,PHO,TOR,1,1,33:38,1,6,.167,0,1,.000,4,4,1.000,0,3,3,3,1,0,1,2,6,4.4,+7
11,799,12,2009-11-17,37-043,PHO,HOU,6,1,30:13,5,6,.833,0,0,,1,2,.500,1,6,7,0,1,0,1,1,11,10.5,+5
12,800,13,2009-11-19,37-045,PHO,NOH,-7,1,33:38,4,11,.364,1,3,.333,1,2,.500,3,3,6,3,1,1,0,2,10,9.5,-8
13,801,14,2009-11-22,37-048,PHO,DET,26,1,28:56,3,6,.500,0,0,,2,2,1.000,2,6,8,2,0,1,5,2,8,4.5,+9
14,802,15,2009-11-25,37-051,PHO,MEM,15,1,23:29,6,6,1.000,0,0,,0,3,.000,0,2,2,0,1,1,0,2,12,10.5,+14
