,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,480,1,1983-10-28,28-272,WSB,PHI,-3,1,30:00,6,11,.545,0,0,,2,2,1.000,3,3,6,4,1,1,1,2,14,14.4,
1,481,2,1983-10-29,28-273,WSB,NYK,-3,1,24:00,2,7,.286,0,0,,0,0,,0,3,3,2,1,0,2,2,4,0.4,
2,482,3,1983-11-01,28-276,WSB,ATL,-3,1,31:00,6,12,.500,0,0,,1,2,.500,1,2,3,1,0,0,3,3,13,4.4,
3,483,4,1983-11-03,28-278,WSB,DET,23,1,33:00,8,17,.471,0,0,,2,3,.667,2,3,5,5,1,0,1,2,18,13.9,
4,484,5,1983-11-05,28-280,WSB,BOS,-3,1,23:00,5,11,.455,0,1,.000,4,6,.667,2,1,3,1,0,0,2,1,14,7.5,
5,485,6,1983-11-08,28-283,WSB,SDC,6,1,29:00,10,15,.667,0,0,,6,6,1.000,0,4,4,6,0,0,1,3,26,22.7,
6,486,7,1983-11-09,28-284,WSB,NJN,-17,1,18:00,1,8,.125,0,0,,1,1,1.000,2,2,4,2,0,0,0,0,3,1.2,
7,487,8,1983-11-11,28-286,WSB,CHI,1,1,40:00,5,11,.455,0,0,,2,2,1.000,2,6,8,6,0,0,2,6,12,9.3,
8,488,9,1983-11-15,28-290,WSB,KCK,-1,1,33:00,11,17,.647,0,0,,0,1,.000,2,3,5,5,0,0,3,2,22,16.1,
9,489,10,1983-11-17,28-292,WSB,IND,8,1,30:00,3,10,.300,0,0,,2,2,1.000,2,5,7,1,0,0,4,3,8,0.6,
10,490,11,1983-11-19,28-294,WSB,UTA,13,1,26:00,5,14,.357,0,0,,3,4,.750,2,5,7,1,1,2,0,2,13,10.0,
11,491,12,1983-11-22,28-297,WSB,GSW,-1,1,37:00,5,18,.278,0,0,,2,2,1.000,2,5,7,1,0,0,2,2,12,2.2,
12,492,13,1983-11-23,28-298,WSB,CLE,-9,1,40:00,7,13,.538,0,0,,0,0,,0,5,5,4,0,1,0,3,14,11.5,
13,493,14,1983-11-25,28-300,WSB,DET,9,1,40:00,7,17,.412,0,0,,5,6,.833,4,13,17,4,4,2,2,4,19,20.8,
14,494,15,1983-11-26,28-301,WSB,MIL,-17,1,24:00,2,11,.182,0,0,,2,4,.500,4,2,6,0,1,0,0,2,6,1.9,
15,495,16,1983-11-29,28-304,WSB,MIL,-6,1,39:00,3,10,.300,0,1,.000,2,2,1.000,3,2,5,3,1,0,1,1,8,6.6,
16,496,17,1983-12-01,28-306,WSB,NYK,-34,1,18:00,2,4,.500,0,0,,0,0,,0,1,1,2,0,0,0,3,4,2.5,
17,497,18,1983-12-03,28-308,WSB,PHI,5,1,33:00,10,19,.526,0,0,,6,6,1.000,2,3,5,2,3,0,2,0,26,21.4,
18,498,19,1983-12-06,28-311,WSB,HOU,4,1,41:00,13,22,.591,0,0,,5,5,1.000,1,6,7,4,2,1,4,4,31,23.2,
19,499,20,1983-12-07,28-312,WSB,DAL,2,1,32:00,10,20,.500,0,0,,0,0,,1,7,8,5,0,0,2,1,20,13.9,
20,500,21,1983-12-10,28-315,WSB,SAS,-23,1,26:00,3,10,.300,0,0,,0,0,,0,4,4,4,0,0,0,3,6,3.0,
21,501,22,1983-12-13,28-318,WSB,ATL,-5,1,33:00,8,13,.615,0,0,,1,1,1.000,1,1,2,3,1,0,1,1,17,13.8,
22,502,23,1983-12-14,28-319,WSB,ATL,3,1,33:00,7,11,.636,0,0,,2,2,1.000,2,3,5,7,0,0,2,4,16,14.7,
23,503,24,1983-12-16,28-321,WSB,BOS,7,1,28:00,6,10,.600,0,0,,2,2,1.000,2,3,5,4,0,0,2,4,14,10.9,
24,504,25,1983-12-17,28-322,WSB,CLE,24,1,34:00,6,16,.375,0,0,,6,7,.857,4,1,5,7,1,0,3,1,18,14.4,
25,505,26,1983-12-20,28-325,WSB,SAS,2,1,42:00,4,12,.333,0,0,,2,2,1.000,1,3,4,6,2,0,2,3,10,7.8,
26,506,27,1983-12-23,28-328,WSB,CHI,-21,1,27:00,3,6,.500,0,0,,2,2,1.000,0,2,2,2,1,1,2,3,8,5.5,
27,507,28,1983-12-27,28-332,WSB,NJN,10,1,33:00,5,10,.500,0,0,,6,9,.667,3,3,6,5,0,2,0,4,16,16.1,
28,508,29,1983-12-30,28-335,WSB,NYK,5,1,33:00,8,12,.667,0,0,,9,10,.900,3,0,3,2,4,0,2,5,25,22.9,
29,509,30,1984-01-03,28-339,WSB,DET,1,1,30:00,2,11,.182,0,0,,0,0,,1,7,8,6,1,1,0,3,4,4.6,
30,510,31,1984-01-04,28-340,WSB,BOS,-9,1,20:00,2,7,.286,0,0,,0,0,,0,1,1,2,0,0,3,3,4,-2.6,
31,511,32,1984-01-06,28-342,WSB,CHI,8,1,39:00,7,12,.583,0,0,,0,0,,4,5,9,4,3,0,4,4,14,12.9,
32,512,33,1984-01-07,28-343,WSB,CHI,-14,1,36:00,3,6,.500,0,0,,3,4,.750,1,8,9,3,0,0,2,2,9,8.0,
33,513,34,1984-01-09,28-345,WSB,NJN,-4,1,40:00,9,18,.500,0,1,.000,4,4,1.000,2,6,8,6,0,0,4,3,22,15.2,
34,514,35,1984-01-11,28-347,WSB,PHI,-22,1,27:00,3,6,.500,0,0,,0,0,,1,4,5,5,4,0,2,1,6,10.0,
35,515,36,1984-01-12,28-348,WSB,ATL,-15,1,35:00,8,17,.471,0,0,,1,2,.500,1,4,5,4,2,0,1,4,17,12.0,
36,516,37,1984-01-14,28-350,WSB,UTA,-25,1,22:00,5,12,.417,0,0,,0,0,,1,1,2,7,0,0,0,1,10,9.1,
37,517,38,1984-01-15,28-351,WSB,PHO,-9,1,40:00,10,16,.625,0,0,,0,0,,0,5,5,3,3,0,4,3,20,14.2,
38,518,39,1984-01-17,28-353,WSB,LAL,-13,1,30:00,5,10,.500,0,1,.000,3,4,.750,1,5,6,1,2,0,2,2,13,9.7,
39,519,40,1984-01-18,28-354,WSB,SDC,-9,1,42:00,10,14,.714,0,1,.000,6,6,1.000,2,3,5,3,1,0,2,3,26,22.4,
40,520,41,1984-01-20,28-356,WSB,MIL,-30,1,29:00,10,17,.588,0,1,.000,0,0,,3,0,3,2,0,2,3,2,20,13.2,
41,521,42,1984-01-21,28-357,WSB,PHI,4,1,37:00,1,12,.083,0,0,,0,2,.000,2,4,6,2,1,1,0,1,2,-1.5,
42,522,43,1984-01-24,28-360,WSB,MIL,6,1,42:00,4,12,.333,0,0,,0,0,,0,2,2,6,1,0,2,2,8,4.2,
43,523,44,1984-01-26,28-362,WSB,NYK,-7,1,12:00,1,3,.333,0,0,,0,0,,0,1,1,3,0,0,2,5,2,-1.3,
44,524,45,1984-01-31,29-002,WSB,ATL,24,1,28:00,2,7,.286,0,0,,2,2,1.000,3,3,6,8,1,0,2,2,6,8.7,
45,525,46,1984-02-02,29-004,WSB,DET,-10,1,23:00,7,12,.583,0,0,,0,0,,1,2,3,2,0,1,1,4,14,9.2,
46,526,47,1984-02-04,29-006,WSB,IND,24,1,29:00,9,17,.529,0,0,,3,4,.750,,,9,6,4,,,0,21,,
47,527,48,1984-02-07,29-009,WSB,HOU,3,1,41:00,6,11,.545,0,0,,2,3,.667,2,5,7,3,1,0,1,2,14,12.5,
48,528,49,1984-02-10,29-012,WSB,LAL,3,1,29:00,5,10,.500,0,0,,2,2,1.000,3,3,6,3,1,0,1,4,12,10.5,
49,529,50,1984-02-11,29-013,WSB,KCK,-3,1,30:00,2,10,.200,0,0,,0,2,.000,2,5,7,1,1,2,3,1,4,-0.4,
50,530,51,1984-02-14,29-016,WSB,DEN,12,1,29:00,9,14,.643,0,0,,2,4,.500,2,5,7,5,3,0,2,5,20,18.4,
51,531,52,1984-02-15,29-017,WSB,SEA,-17,1,28:00,8,16,.500,0,1,.000,0,0,,2,4,6,3,0,0,1,3,16,10.5,
52,532,53,1984-02-17,29-019,WSB,POR,9,1,41:00,10,15,.667,0,0,,0,0,,1,6,7,1,1,0,3,3,20,13.5,
53,533,54,1984-02-18,29-020,WSB,GSW,-6,1,28:00,5,12,.417,0,0,,4,4,1.000,0,3,3,2,0,1,1,1,14,9.2,
54,534,55,1984-02-22,29-024,WSB,POR,-3,1,30:00,9,12,.750,0,1,.000,0,0,,1,1,2,4,0,0,3,3,18,12.8,
55,535,56,1984-02-24,29-026,WSB,CHI,6,1,39:00,8,15,.533,0,0,,5,5,1.000,1,2,3,4,1,1,1,1,21,18.1,
56,536,57,1984-02-25,29-027,WSB,CLE,-11,1,41:00,10,19,.526,1,1,1.000,1,1,1.000,2,7,9,1,3,1,4,2,22,15.8,
57,537,58,1984-02-28,29-030,WSB,IND,8,1,41:00,10,21,.476,0,0,,3,3,1.000,1,7,8,2,2,0,2,2,23,15.7,
58,538,59,1984-02-29,29-031,WSB,DET,-31,1,32:00,5,11,.455,0,0,,4,4,1.000,1,3,4,4,0,0,1,3,14,10.5,
59,539,60,1984-03-02,29-033,WSB,MIL,-20,1,39:00,5,11,.455,0,0,,3,4,.750,2,9,11,1,0,1,2,4,13,8.8,
60,540,61,1984-03-03,29-034,WSB,NJN,-10,1,38:00,4,12,.333,0,1,.000,0,0,,1,5,6,3,2,0,4,4,8,1.9,
61,541,62,1984-03-06,29-037,WSB,BOS,-23,1,25:00,2,8,.250,0,0,,0,0,,0,3,3,3,1,0,4,2,4,-1.6,
62,542,63,1984-03-08,29-039,WSB,SEA,10,1,44:00,10,16,.625,0,0,,3,4,.750,2,9,11,4,1,1,0,3,23,22.8,
63,543,64,1984-03-10,29-041,WSB,DET,-15,1,35:00,4,13,.308,0,0,,2,2,1.000,2,13,15,6,0,2,3,3,10,9.2,
64,544,65,1984-03-13,29-044,WSB,DEN,5,1,32:00,8,17,.471,0,0,,3,3,1.000,2,6,8,4,1,0,2,3,19,14.1,
65,545,66,1984-03-14,29-045,WSB,BOS,4,1,27:00,8,17,.471,0,0,,2,2,1.000,2,7,9,3,1,1,1,4,18,14.0,
66,546,67,1984-03-16,29-047,WSB,PHO,-1,1,50:00,6,13,.462,0,0,,1,2,.500,0,13,13,4,2,1,1,5,13,12.3,
67,547,68,1984-03-18,29-049,WSB,MIL,-8,1,40:00,11,15,.733,0,3,.000,3,6,.500,3,3,6,2,1,0,1,3,25,20.9,
68,548,69,1984-03-20,29-051,WSB,NJN,8,1,35:00,3,10,.300,0,0,,2,2,1.000,2,9,11,4,2,0,0,2,8,10.3,
69,549,70,1984-03-22,29-053,WSB,PHI,-5,1,42:00,9,19,.474,0,0,,3,3,1.000,4,4,8,7,3,0,3,3,21,19.0,
70,550,71,1984-03-24,29-055,WSB,NYK,-8,1,38:00,4,13,.308,0,0,,0,0,,3,2,5,6,1,1,3,1,8,5.7,
71,551,72,1984-03-25,29-056,WSB,CLE,-5,1,41:00,11,20,.550,0,0,,1,2,.500,3,7,10,5,2,0,0,2,23,21.9,
72,552,73,1984-03-27,29-058,WSB,BOS,-13,1,37:00,4,13,.308,0,0,,2,4,.500,3,2,5,4,2,0,1,3,10,7.0,
73,553,74,1984-03-28,29-059,WSB,PHI,-6,1,40:00,11,20,.550,0,1,.000,5,6,.833,0,4,4,1,3,1,0,3,27,21.4,
74,554,75,1984-03-30,29-061,WSB,NYK,28,1,30:00,5,12,.417,0,0,,5,7,.714,1,3,4,1,4,0,2,5,15,10.1,
75,555,76,1984-04-01,29-063,WSB,DAL,4,1,35:00,6,16,.375,0,0,,1,2,.500,3,3,6,4,0,2,3,3,13,6.8,
76,556,77,1984-04-03,29-065,WSB,IND,12,1,35:00,11,16,.688,0,0,,2,2,1.000,2,5,7,5,2,2,1,1,24,25.6,
77,557,78,1984-04-04,29-066,WSB,ATL,-7,1,31:00,3,11,.273,0,0,,1,2,.500,2,6,8,2,1,1,0,4,7,4.8,
78,558,79,1984-04-07,29-069,WSB,NJN,-23,1,23:00,0,5,.000,0,0,,1,2,.500,1,1,2,4,2,0,1,1,1,1.5,
79,559,80,1984-04-09,29-071,WSB,CHI,2,1,47:00,16,20,.800,0,0,,1,2,.500,4,7,11,7,2,2,3,3,33,34.0,
80,560,81,1984-04-13,29-075,WSB,IND,-4,1,34:00,8,13,.615,1,1,1.000,3,4,.750,2,6,8,2,0,0,2,2,20,15.5,
81,561,82,1984-04-14,29-076,WSB,CLE,-8,1,20:00,5,9,.556,0,0,,2,2,1.000,1,2,3,3,1,0,1,1,12,10.7,
