,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,196,1,1966-10-15,27-306,BAL,LAL,-11,,,16,,,,,,4,6,.667,,,15,,,,,,36,,
1,197,2,1966-10-19,27-310,BAL,NYK,-22,,,7,,,,,,4,6,.667,,,6,,,,,,18,,
2,198,3,1966-10-21,27-312,BAL,BOS,-20,,,2,,,,,,5,7,.714,,,15,,,,,,9,,
3,199,4,1966-10-22,27-313,BAL,PHI,-29,,,5,,,,,,4,4,1.000,,,5,2,,,,,14,,
4,200,5,1966-10-25,27-316,BAL,PHI,-20,,,5,,,,,,6,7,.857,,,13,4,,,,6,16,,
5,201,6,1966-10-26,27-317,BAL,CIN,6,,,8,,,,,,4,5,.800,,,13,,,,,,20,,
6,202,7,1966-10-28,27-319,BAL,SFW,-1,,,14,,,,,,5,8,.625,,,22,,,,,,33,,
7,203,8,1966-10-29,27-320,BAL,DET,-6,,,9,,,,,,3,3,1.000,,,16,,,,,,21,,
8,204,9,1966-11-02,27-324,BAL,CHI,-8,,,8,,,,,,5,6,.833,,,11,,,,,,21,,
9,205,10,1966-11-04,27-326,BAL,LAL,-33,,,2,15,.133,,,,2,2,1.000,,,7,1,,,,2,6,,
10,206,11,1966-11-06,27-328,BAL,SFW,-3,,,11,22,.500,,,,8,11,.727,,,10,2,,,,5,30,,
11,207,12,1966-11-08,27-330,BAL,LAL,2,,,5,17,.294,,,,3,5,.600,,,12,4,,,,5,13,,
12,208,13,1966-11-09,27-331,BAL,SFW,-6,,,5,12,.417,,,,1,1,1.000,,,7,1,,,,1,11,,
13,209,14,1966-11-11,27-333,BAL,CIN,-15,,,11,,,,,,4,9,.444,,,18,,,,,,26,,
14,210,15,1966-11-12,27-334,BAL,NYK,-10,,,10,,,,,,2,2,1.000,,,12,,,,,6,22,,
15,211,16,1966-11-17,27-339,BAL,CHI,18,,,8,,,,,,4,5,.800,,,,,,,,,20,,
