,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,1976-04-20,22-193,GSW,DET,24,,19:00,2,8,.250,,,,2,4,.500,,,3,4,3,,,2,6,,
1,2,2,1976-04-22,22-195,GSW,DET,-12,,20:00,6,11,.545,,,,2,2,1.000,,,1,1,,,,5,14,,
2,3,3,1976-04-24,22-197,GSW,DET,17,,,0,,,,,,1,2,.500,,,,,,,,,1,,
3,4,4,1976-04-26,22-199,GSW,DET,-4,,11:00,3,7,.429,,,,0,0,,,,1,0,,,,0,6,,
4,5,5,1976-04-28,22-201,GSW,DET,19,,6:00,1,5,.200,,,,0,0,,0,0,0,0,,,,1,2,,
5,6,6,1976-04-30,22-203,GSW,DET,2,,19:00,7,11,.636,,,,2,2,1.000,,,2,1,2,,,1,16,,
6,7,7,1976-05-02,22-205,GSW,PHO,25,,27:00,3,8,.375,,,,0,0,,,,1,6,,,,4,6,,
7,8,8,1976-05-05,22-208,GSW,PHO,-7,,12:00,0,3,.000,,,,0,0,,,,1,1,,,,1,0,,
8,9,9,1976-05-07,22-210,GSW,PHO,8,,24:00,4,12,.333,,,,6,9,.667,,,4,5,,,,3,14,,
9,10,10,1976-05-09,22-212,GSW,PHO,-4,,26:00,4,13,.308,,,,1,2,.500,,,1,4,,,,3,9,,
10,11,11,1976-05-12,22-215,GSW,PHO,16,,9:00,0,3,.000,,,,0,0,,0,0,0,2,,,,1,0,,
