,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,13,1,1962-03-16,26-196,PHW,SYR,7,,,4,12,.333,,,,1,2,.500,,,5,8,,,,5,9,,
1,14,2,1962-03-18,26-198,PHW,SYR,15,,,1,8,.125,,,,5,7,.714,,,5,3,,,,5,7,,
2,15,3,1962-03-19,26-199,PHW,SYR,-1,,,2,9,.222,,,,2,6,.333,,,8,9,,,,5,6,,
3,16,4,1962-03-20,26-200,PHW,SYR,-7,,,3,15,.200,,,,1,1,1.000,,,8,7,,,,3,7,,
4,17,5,1962-03-22,26-202,PHW,SYR,17,,,4,10,.400,,,,7,9,.778,,,4,10,,,,4,15,,
5,18,6,1962-03-24,26-204,PHW,BOS,-28,,32:00,1,7,.143,,,,0,1,.000,,,,2,,,,3,2,,
6,19,7,1962-03-27,26-207,PHW,BOS,7,,,9,13,.692,,,,4,5,.800,,,4,10,,,,6,22,,
7,20,8,1962-03-28,26-208,PHW,BOS,-15,,27:00,4,9,.444,,,,0,0,,,,3,4,,,,6,8,,
8,21,9,1962-03-31,26-211,PHW,BOS,4,,,5,16,.313,,,,2,5,.400,,,6,10,,,,5,12,,
9,22,10,1962-04-01,26-212,PHW,BOS,-15,,38:00,6,16,.375,,,,4,7,.571,,,9,9,,,,4,16,,
10,23,11,1962-04-03,26-214,PHW,BOS,10,,,7,17,.412,,,,3,4,.750,,,12,10,,,,5,17,,
11,24,12,1962-04-05,26-216,PHW,BOS,-2,,43:00,6,15,.400,,,,6,8,.750,,,5,8,,,,6,18,,
