,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,509,1,1965-10-15,30-044,SFW,LAL,-7,,,8,24,.333,,,,6,9,.667,,,5,8,,,,2,22,,
1,510,2,1965-10-19,30-048,SFW,CIN,1,,,4,18,.222,,,,2,3,.667,,,4,5,,,,1,10,,
2,511,3,1965-10-23,30-052,SFW,BAL,15,,,16,,,,,,5,10,.500,,,,12,,,,,37,,
3,512,4,1965-10-29,30-058,SFW,NYK,10,,38:00,10,24,.417,,,,4,5,.800,,,8,13,,,,3,24,,
4,513,5,1965-10-30,30-059,SFW,LAL,2,,,9,27,.333,,,,6,8,.750,,,5,13,,,,5,24,,
5,514,6,1965-10-31,30-060,SFW,NYK,-1,,35:00,5,15,.333,,,,3,4,.750,,,5,9,,,,6,13,,
6,515,7,1965-11-03,30-063,SFW,CIN,-14,,,5,19,.263,,,,2,5,.400,,,4,17,,,,2,12,,
7,516,8,1965-11-04,30-064,SFW,PHI,2,,,5,16,.313,,,,8,10,.800,,,4,13,,,,4,18,,
8,517,9,1965-11-05,30-065,SFW,PHI,-18,,,8,24,.333,,,,1,4,.250,,,10,6,,,,2,17,,
9,518,10,1965-11-06,30-066,SFW,DET,10,,,7,,,,,,7,11,.636,,,,17,,,,,21,,
10,519,11,1965-11-09,30-069,SFW,DET,5,,,7,15,.467,,,,0,0,,,,6,17,,,,6,14,,
11,520,12,1965-11-11,30-071,SFW,PHI,-8,,,8,21,.381,,,,6,8,.750,,,9,7,,,,3,22,,
12,521,13,1965-11-12,30-072,SFW,DET,1,,,6,,,,,,4,6,.667,,,,8,,,,,16,,
13,522,14,1965-11-13,30-073,SFW,STL,-25,,21:00,6,12,.500,,,,2,3,.667,,,4,3,,,,3,14,,
14,523,15,1965-11-15,30-075,SFW,BAL,11,,,14,,,,,,11,14,.786,,,,14,,,,6,39,,
15,524,16,1965-11-16,30-076,SFW,BOS,-3,,,10,23,.435,,,,1,1,1.000,,,8,7,,,,1,21,,
16,525,17,1965-11-19,30-079,SFW,LAL,-11,,,19,39,.487,,,,9,10,.900,,,8,8,,,,5,47,,
17,526,18,1965-11-20,30-080,SFW,LAL,-16,,,9,26,.346,,,,5,5,1.000,,,2,12,,,,5,23,,
