,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,228,1,1989-11-03,26-112,SAC,POR,-18,0,25:00,1,11,.091,0,4,.000,2,2,1.000,1,4,5,1,2,0,1,3,4,-0.9,
1,229,2,1989-11-04,26-113,SAC,SEA,7,0,34:00,4,5,.800,1,1,1.000,0,0,,4,2,6,4,0,0,2,4,9,9.7,
2,230,3,1989-11-07,26-116,SAC,DAL,2,0,27:00,1,6,.167,1,5,.200,0,0,,1,4,5,3,1,0,1,4,3,1.6,
3,231,4,1989-11-08,26-117,SAC,DEN,-18,0,26:00,3,4,.750,0,0,,0,1,.000,2,0,2,0,0,3,1,2,6,5.7,
4,232,5,1989-11-10,26-119,SAC,PHO,-21,0,20:00,3,10,.300,1,2,.500,2,2,1.000,3,4,7,3,1,0,3,4,9,5.0,
5,233,6,1989-11-14,26-123,SAC,CHI,-2,0,19:00,4,6,.667,0,0,,0,0,,0,3,3,2,3,0,1,1,8,9.3,
6,234,7,1989-11-16,26-125,SAC,NYK,-19,0,23:00,6,12,.500,1,4,.250,2,2,1.000,1,5,6,2,2,1,2,0,15,13.3,
7,235,8,1989-11-18,26-127,SAC,IND,5,0,31:00,6,14,.429,2,6,.333,2,2,1.000,2,4,6,5,2,1,2,2,16,14.6,
8,236,9,1989-11-21,26-130,SAC,ORL,-2,0,27:00,4,10,.400,2,5,.400,0,0,,1,3,4,1,1,2,3,2,10,5.5,
9,237,10,1989-11-22,26-131,SAC,GSW,-24,0,13:00,0,4,.000,0,1,.000,2,2,1.000,1,3,4,0,1,0,1,3,2,-0.4,
10,238,11,1989-11-25,26-134,SAC,NJN,14,0,21:00,2,5,.400,0,1,.000,3,4,.750,1,2,3,3,2,1,1,1,7,8.6,
11,239,12,1989-11-28,26-137,SAC,DET,-12,0,23:00,2,9,.222,2,5,.400,1,2,.500,2,4,6,3,3,4,0,1,7,11.2,
12,240,13,1989-11-30,26-139,SAC,LAL,-16,0,30:00,3,4,.750,0,0,,5,6,.833,2,6,8,2,0,2,4,4,11,9.4,
13,241,14,1989-12-02,26-141,SAC,LAC,-30,0,26:00,3,9,.333,0,0,,2,2,1.000,5,2,7,1,2,1,3,0,8,7.4,
14,242,15,1989-12-05,26-144,SAC,MIL,15,0,29:00,8,13,.615,1,4,.250,6,8,.750,2,2,4,6,1,0,2,5,23,19.5,
15,243,16,1989-12-08,26-147,SAC,GSW,5,0,37:00,3,11,.273,1,2,.500,5,6,.833,2,9,11,3,0,1,0,2,12,11.2,
16,244,17,1989-12-09,26-148,SAC,CLE,-7,0,31:00,6,14,.429,1,6,.167,0,0,,2,5,7,2,0,0,1,2,13,8.1,
17,245,18,1989-12-12,26-151,SAC,GSW,-15,0,29:00,7,11,.636,1,2,.500,0,1,.000,0,4,4,3,1,1,2,3,15,11.5,
18,246,19,1989-12-15,26-154,SAC,DEN,-9,0,35:00,4,10,.400,0,1,.000,0,0,,1,7,8,5,2,2,3,5,8,7.3,
19,247,20,1989-12-17,26-156,SAC,PHO,-12,0,32:00,7,16,.438,1,6,.167,3,3,1.000,1,4,5,3,2,0,0,5,18,13.6,
20,248,21,1989-12-19,26-158,SAC,ATL,-3,0,34:00,4,12,.333,0,3,.000,2,4,.500,1,6,7,1,0,0,1,3,10,3.4,
21,249,22,1989-12-20,26-159,SAC,SAS,-3,0,31:00,3,10,.300,0,0,,3,4,.750,1,7,8,4,0,0,1,3,9,6.2,
22,250,23,1989-12-22,26-161,SAC,HOU,-11,0,19:00,1,4,.250,0,0,,1,3,.333,0,4,4,5,2,0,0,2,3,5.7,
23,251,24,1989-12-23,26-162,SAC,DAL,-7,0,21:00,4,7,.571,1,2,.500,1,2,.500,1,1,2,1,0,1,0,3,10,7.5,
24,252,25,1989-12-26,26-165,SAC,LAL,-2,0,33:00,4,10,.400,1,4,.250,0,0,,1,5,6,4,1,1,2,4,9,6.7,
25,253,26,1989-12-27,26-166,SAC,BOS,-3,0,13:00,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-0.7,
26,254,27,1989-12-29,26-168,SAC,PHI,10,0,27:00,6,10,.600,1,1,1.000,2,2,1.000,0,1,1,0,1,0,2,4,15,8.1,
27,255,28,1990-01-04,26-174,SAC,DEN,-14,0,34:00,4,9,.444,2,4,.500,1,2,.500,1,8,9,3,2,3,1,3,11,13.0,
28,256,29,1990-01-06,26-176,SAC,POR,-3,0,17:00,3,11,.273,0,2,.000,3,4,.750,0,1,1,3,1,1,0,1,9,5.8,
29,257,30,1990-01-08,26-178,SAC,POR,-12,0,11:00,0,1,.000,0,0,,0,0,,2,1,3,1,0,0,2,2,0,-1.1,
30,258,31,1990-01-09,26-179,SAC,MIN,14,0,38:00,6,12,.500,0,1,.000,0,0,,3,6,9,2,1,1,3,3,12,8.8,
31,259,32,1990-01-11,26-181,SAC,HOU,-3,0,10:00,0,2,.000,0,0,,2,2,1.000,0,2,2,0,0,0,0,2,2,0.4,
32,260,33,1990-01-12,26-182,SAC,PHO,-15,0,17:00,4,8,.500,1,2,.500,0,1,.000,1,0,1,3,0,0,1,0,9,6.4,
33,261,34,1990-01-15,26-185,SAC,LAL,-20,0,23:00,3,6,.500,0,1,.000,2,2,1.000,2,1,3,6,1,0,1,2,8,10.1,
34,262,35,1990-01-16,26-186,SAC,ATL,17,0,26:00,5,12,.417,3,6,.500,8,9,.889,2,3,5,1,0,1,2,3,21,14.7,
35,263,36,1990-01-20,26-190,SAC,UTA,-13,0,22:00,2,10,.200,0,1,.000,2,2,1.000,1,4,5,3,1,1,1,2,6,3.7,
36,264,37,1990-01-22,26-192,SAC,LAC,32,0,25:00,6,9,.667,0,1,.000,7,8,.875,3,2,5,4,1,0,4,2,19,16.4,
37,265,38,1990-01-24,26-194,SAC,GSW,30,0,19:00,3,5,.600,1,3,.333,0,0,,1,2,3,0,0,1,0,1,7,6.3,
38,266,39,1990-01-26,26-196,SAC,DAL,-13,0,18:00,7,12,.583,1,2,.500,0,0,,1,3,4,3,1,1,0,2,15,14.0,
39,267,40,1990-01-27,26-197,SAC,CHH,7,0,13:00,0,3,.000,0,1,.000,1,2,.500,2,2,4,0,0,0,1,2,1,-1.3,
40,268,41,1990-01-29,26-199,SAC,MIN,-18,1,23:00,1,8,.125,0,0,,1,2,.500,2,1,3,2,0,1,0,2,3,0.4,
41,269,42,1990-01-30,26-200,SAC,MIL,-7,1,16:00,4,7,.571,0,1,.000,1,2,.500,0,2,2,0,0,1,0,2,9,5.8,
42,270,43,1990-02-01,26-202,SAC,NYK,-7,0,4:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.0,
43,271,44,1990-02-02,26-203,SAC,WSB,-9,0,14:00,4,9,.444,1,4,.250,2,2,1.000,1,0,1,0,1,0,0,1,11,7.6,
44,272,45,1990-02-04,26-205,SAC,BOS,-32,0,17:00,7,14,.500,0,1,.000,2,2,1.000,4,4,8,0,1,0,1,0,16,13.0,
45,273,46,1990-02-06,26-207,SAC,DAL,-10,0,27:00,6,10,.600,0,2,.000,1,2,.500,2,4,6,1,1,0,0,4,13,10.7,
46,274,47,1990-02-13,26-214,SAC,WSB,8,0,26:00,5,10,.500,1,1,1.000,4,4,1.000,3,3,6,3,0,1,1,1,15,14.4,
47,275,48,1990-02-15,26-216,SAC,LAL,-9,0,19:00,4,11,.364,1,3,.333,0,0,,1,1,2,1,1,0,0,0,9,5.6,
48,276,49,1990-02-17,26-218,SAC,UTA,-4,0,28:00,3,5,.600,0,1,.000,1,2,.500,1,2,3,2,0,0,2,0,7,5.0,
49,277,50,1990-02-19,26-220,SAC,LAC,2,1,33:00,4,12,.333,2,6,.333,1,1,1.000,2,1,3,4,1,0,2,4,11,6.1,
50,278,51,1990-02-20,26-221,SAC,LAC,9,1,27:00,3,9,.333,0,0,,0,0,,1,5,6,4,1,1,2,4,6,4.0,
51,279,52,1990-02-22,26-223,SAC,PHO,-6,1,23:00,4,10,.400,0,0,,0,0,,1,5,6,1,0,0,1,1,8,4.1,
52,280,53,1990-02-23,26-224,SAC,SEA,-12,1,19:00,1,6,.167,0,1,.000,0,0,,0,2,2,3,0,0,1,0,2,-0.1,
53,281,54,1990-02-26,26-227,SAC,SAS,-9,1,31:00,3,8,.375,1,2,.500,4,4,1.000,0,4,4,3,0,1,1,3,11,8.4,
54,282,55,1990-02-28,26-229,SAC,MIA,-21,1,20:00,5,13,.385,0,1,.000,5,5,1.000,3,4,7,2,3,0,0,4,15,14.0,
55,283,56,1990-03-01,26-230,SAC,ORL,14,0,20:00,2,8,.250,2,5,.400,2,2,1.000,2,3,5,1,1,0,2,2,8,4.4,
56,284,57,1990-03-03,26-232,SAC,CHH,1,0,6:00,1,1,1.000,1,1,1.000,1,2,.500,0,1,1,1,0,0,0,1,4,3.9,
57,285,58,1990-03-08,26-237,SAC,CHH,9,1,38:00,4,12,.333,1,6,.167,1,2,.500,2,2,4,6,2,1,3,4,10,7.1,
58,286,59,1990-03-11,26-240,SAC,GSW,-7,1,30:00,4,8,.500,1,3,.333,0,0,,2,4,6,1,2,0,3,4,9,5.7,
