,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,62,1,1950-11-07,28-106,BOS,BLB,19,,,3,,,,,,1,1,1.000,,,,,,,,,7,,
1,63,2,1950-11-09,28-108,BOS,MNL,5,,,2,,,,,,1,2,.500,,,,,,,,,5,,
2,64,3,1950-11-11,28-110,BOS,WSC,1,,,2,,,,,,1,1,1.000,,,,,,,,,5,,
3,65,4,1950-11-12,28-111,BOS,INO,3,,,4,,,,,,3,3,1.000,,,,,,,,,11,,
4,66,5,1950-11-15,28-114,BOS,WSC,5,,,2,,,,,,1,1,1.000,,,,,,,,,5,,
5,67,6,1950-11-16,28-115,BOS,BLB,9,,,1,,,,,,,1,,,,,,,,,,2,,
6,68,7,1950-11-18,28-117,BOS,BLB,4,,,2,,,,,,,,,,,,,,,,,4,,
7,69,8,1950-11-19,28-118,BOS,WSC,-6,,,1,,,,,,,1,,,,,,,,,,2,,
8,70,9,1950-11-21,28-120,BOS,NYK,6,,,7,,,,,,,,,,,,,,,,,14,,
9,71,10,1950-11-23,28-122,BOS,TRI,16,,,4,,,,,,1,1,1.000,,,,,,,,,9,,
10,72,11,1950-11-25,28-124,BOS,ROC,-8,,,3,,,,,,4,7,.571,,,,,,,,,10,,
11,73,12,1950-11-26,28-125,BOS,NYK,3,,,1,,,,,,,,,,,,,,,,,2,,
12,74,13,1950-11-28,28-127,BOS,PHW,-2,,,1,,,,,,,,,,,,,,,,,2,,
13,75,14,1950-11-30,28-129,BOS,WSC,-4,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
14,76,15,1950-12-02,28-131,BOS,WSC,8,,,2,,,,,,1,1,1.000,,,,,,,,,5,,
15,77,16,1950-12-03,28-132,BOS,BLB,12,,,2,,,,,,3,3,1.000,,,,,,,,,7,,
16,78,17,1950-12-09,28-138,BOS,SYR,-1,,,2,,,,,,4,4,1.000,,,,,,,,,8,,
17,79,18,1950-12-12,28-141,BOS,FTW,6,,,3,,,,,,,,,,,,,,,,,6,,
18,80,19,1950-12-13,28-142,BOS,WSC,-31,,,2,,,,,,,1,,,,,,,,,,4,,
19,81,20,1950-12-16,28-145,BOS,BLB,-31,,,1,,,,,,3,3,1.000,,,,,,,,,5,,
20,82,21,1950-12-17,28-146,BOS,ROC,13,,,2,,,,,,5,6,.833,,,,,,,,,9,,
21,83,22,1950-12-19,28-148,BOS,NYK,-6,,,2,,,,,,3,3,1.000,,,,,,,,,7,,
22,84,23,1950-12-23,28-152,BOS,MNL,6,,,4,,,,,,,,,,,,,,,,5,8,,
23,85,24,1950-12-25,28-154,BOS,ROC,-13,,,5,,,,,,,1,,,,,,,,,,10,,
24,86,25,1950-12-26,28-155,BOS,SYR,2,,,7,,,,,,1,2,.500,,,,,,,,,15,,
25,87,26,1950-12-30,28-159,BOS,NYK,-17,,,,,,,,,,,,,,,,,,,,,,
26,88,27,1950-12-31,28-160,BOS,NYK,10,,,1,,,,,,,,,,,,,,,,2,2,,
27,89,28,1951-01-01,28-161,BOS,SYR,-17,,,4,,,,,,3,8,.375,,,,,,,,,11,,
28,90,29,1951-01-03,28-163,BOS,TRI,2,,,4,,,,,,4,4,1.000,,,,,,,,,12,,
29,91,30,1951-01-05,28-165,BOS,MNL,-15,,,1,,,,,,,2,,,,,,,,,,2,,
30,92,31,1951-01-07,28-167,BOS,WSC,5,,,1,,,,,,3,4,.750,,,,,,,,,5,,
31,93,32,1951-01-28,28-188,BOS,SYR,-21,,,2,,,,,,1,2,.500,,,,,,,,,5,,
32,94,33,1951-02-04,28-195,TRI,ROC,3,,,2,,,,,,,,,,,,,,,,,4,,
33,95,34,1951-02-06,28-197,TRI,PHW,-20,,,3,,,,,,2,2,1.000,,,,,,,,,8,,
34,96,35,1951-02-08,28-199,TRI,BOS,-15,,,5,,,,,,1,1,1.000,,,,,,,,,11,,
35,97,36,1951-02-10,28-201,TRI,ROC,-8,,,9,,,,,,4,4,1.000,,,,,,,,,22,,
36,98,37,1951-02-11,28-202,TRI,PHW,4,,,1,,,,,,3,7,.429,,,,,,,,,5,,
37,99,38,1951-02-14,28-205,TRI,INO,7,,,5,,,,,,,,,,,,,,,,,10,,
38,100,39,1951-02-25,28-216,TRI,ROC,-4,,,4,,,,,,1,2,.500,,,,,,,,,9,,
39,101,40,1951-02-27,28-218,TRI,MNL,-6,,,3,,,,,,2,3,.667,,,,,,,,,8,,
40,102,41,1951-02-28,28-219,TRI,BLB,15,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
41,103,42,1951-03-04,28-223,TRI,INO,15,,,1,,,,,,,,,,,,,,,,,2,,
42,104,43,1951-03-06,28-225,TRI,FTW,2,,,,,,,,,4,5,.800,,,,,,,,,4,,
43,105,44,1951-03-10,28-229,TRI,MNL,-11,,,3,,,,,,,,,,,,,,,,,6,,
44,106,45,1951-03-11,28-230,TRI,FTW,-15,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
45,107,46,1951-03-14,28-233,TRI,NYK,-1,,,4,,,,,,4,5,.800,,,,,,,,,12,,
46,108,47,1951-03-17,28-236,TRI,MNL,-1,,,3,,,,,,2,2,1.000,,,,,,,,,8,,
47,109,48,1951-03-18,28-237,TRI,FTW,-13,,,2,,,,,,2,2,1.000,,,,,,,,,6,,
