,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,145,1,1994-11-04,28-285,IND,ATL,2,0,11:00,0,3,.000,0,1,.000,2,2,1.000,0,3,3,3,1,0,0,1,2,3.5,
1,146,2,1994-11-05,28-286,IND,BOS,9,0,13:00,3,4,.750,1,2,.500,2,2,1.000,0,0,0,5,5,0,2,1,9,13.5,
2,147,3,1994-11-09,28-290,IND,HOU,-5,0,16:00,4,7,.571,2,4,.500,2,4,.500,1,0,1,1,1,0,0,3,12,9.1,
3,148,4,1994-11-10,28-291,IND,DET,-2,0,12:00,4,7,.571,2,4,.500,2,3,.667,0,1,1,0,0,1,1,1,12,7.9,
4,149,5,1994-11-12,28-293,IND,CLE,7,0,15:00,2,3,.667,1,2,.500,0,0,,1,1,2,5,0,0,1,3,5,6.0,
5,150,6,1994-11-15,28-296,IND,MIL,-1,0,16:00,2,4,.500,0,1,.000,0,2,.000,0,4,4,2,0,0,0,1,4,3.4,
6,151,7,1994-11-18,28-299,IND,SEA,7,0,21:00,4,7,.571,0,2,.000,0,0,,1,1,2,5,3,0,2,1,8,9.8,
7,152,8,1994-11-19,28-300,IND,CHH,13,1,17:00,0,3,.000,0,1,.000,2,2,1.000,0,3,3,6,0,0,0,1,2,4.6,
8,153,9,1994-11-24,28-305,IND,GSW,27,0,16:00,2,3,.667,2,2,1.000,0,0,,0,2,2,6,2,0,2,3,6,8.3,
9,154,10,1994-11-25,28-306,IND,MIL,5,0,15:00,1,2,.500,1,2,.500,2,2,1.000,1,1,2,8,1,0,2,0,5,9.6,
10,155,11,1994-11-27,28-308,IND,POR,-10,0,18:00,0,1,.000,0,1,.000,2,2,1.000,0,0,0,4,1,0,1,0,2,4.1,
11,156,12,1994-11-28,28-309,IND,SEA,-19,0,19:00,1,3,.333,0,1,.000,0,0,,0,1,1,4,1,0,2,1,2,2.0,
12,157,13,1994-12-01,28-312,IND,LAC,9,0,14:00,2,3,.667,0,1,.000,0,0,,1,1,2,1,2,0,2,4,4,2.8,
13,158,14,1994-12-03,28-314,IND,GSW,11,0,16:00,1,3,.333,0,2,.000,0,0,,1,1,2,3,1,0,0,1,2,4.0,
14,159,15,1994-12-06,28-317,IND,DET,7,0,17:00,0,3,.000,0,1,.000,0,0,,0,0,0,4,1,0,0,0,0,1.7,
