,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,47,1,1997-04-25,30-208,SEA,PHO,-5,1,41:00,8,11,.727,2,2,1.000,2,2,1.000,2,1,3,2,3,0,2,4,20,18.0,
1,48,2,1997-04-27,30-210,SEA,PHO,44,1,33:00,6,8,.750,3,5,.600,4,4,1.000,4,3,7,1,1,0,2,3,19,18.0,
2,49,3,1997-04-29,30-212,SEA,PHO,-7,1,44:00,5,15,.333,3,7,.429,1,1,1.000,0,2,2,3,3,0,2,3,14,8.0,
3,50,4,1997-05-01,30-214,SEA,PHO,7,1,46:00,6,15,.400,5,9,.556,0,0,,1,9,10,3,4,0,3,5,17,13.4,
4,51,5,1997-05-03,30-216,SEA,PHO,24,1,39:00,4,9,.444,0,4,.000,1,1,1.000,1,2,3,5,1,0,3,4,9,5.5,
5,52,6,1997-05-05,30-218,SEA,HOU,-10,1,33:00,4,10,.400,4,7,.571,0,0,,0,1,1,3,2,1,1,1,12,10.3,
6,53,7,1997-05-07,30-220,SEA,HOU,5,1,40:00,6,13,.462,3,6,.500,6,6,1.000,3,3,6,5,6,1,2,2,21,24.7,
7,54,8,1997-05-09,30-222,SEA,HOU,-4,1,40:00,1,4,.250,0,1,.000,1,1,1.000,1,5,6,2,1,0,2,3,3,2.0,
8,55,9,1997-05-11,30-224,SEA,HOU,-4,1,43:00,6,12,.500,2,4,.500,3,4,.750,2,1,3,2,5,2,1,1,17,18.7,
9,56,10,1997-05-13,30-226,SEA,HOU,6,1,44:00,8,15,.533,4,7,.571,3,3,1.000,1,5,6,2,2,0,0,1,23,20.9,
10,57,11,1997-05-15,30-228,SEA,HOU,3,1,39:00,4,10,.400,1,5,.200,7,8,.875,0,2,2,4,1,0,2,1,16,12.2,
11,58,12,1997-05-17,30-230,SEA,HOU,-5,1,41:00,4,10,.400,0,2,.000,4,5,.800,2,3,5,2,1,0,1,4,12,8.3,
