,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,35,1,1962-03-24,27-149,LAL,DET,24,,,1,4,.250,,,,2,2,1.000,,,3,,,,,4,4,,
1,36,2,1962-03-25,27-150,LAL,DET,15,,,1,3,.333,,,,2,4,.500,,,2,,,,,2,4,,
2,37,3,1962-03-27,27-152,LAL,DET,5,,,0,2,.000,,,,1,1,1.000,,,2,,,,,3,1,,
3,38,4,1962-03-29,27-154,LAL,DET,-1,,,0,1,.000,,,,0,0,,,,4,,,,,3,0,,
4,39,5,1962-03-31,27-156,LAL,DET,-7,,,1,3,.333,,,,3,3,1.000,,,2,,,,,1,5,,
5,40,6,1962-04-03,27-159,LAL,DET,6,,,1,,,,,,0,0,,,,,,,,,1,2,,
6,41,7,1962-04-07,27-163,LAL,BOS,-14,,13:00,1,2,.500,,,,0,1,.000,,,0,1,,,,2,2,,
7,42,8,1962-04-08,27-164,LAL,BOS,7,,,,,,,,,,,,,,,,,,,,0,,
8,43,9,1962-04-10,27-166,LAL,BOS,2,,20:00,1,2,.500,,,,0,0,,,,1,4,,,,2,2,,
9,44,10,1962-04-11,27-167,LAL,BOS,-12,,15:00,0,0,,,,,0,0,,,,2,0,,,,1,0,,
10,45,11,1962-04-14,27-170,LAL,BOS,5,,21:00,0,1,.000,,,,0,0,,,,1,3,,,,5,0,,
11,46,12,1962-04-16,27-172,LAL,BOS,-14,,11:00,1,1,1.000,,,,1,1,1.000,,,0,3,,,,3,3,,
12,47,13,1962-04-18,27-174,LAL,BOS,-3,,4:00,0,0,,,,,0,0,,,,0,1,,,,0,0,,
