,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,1,1,2004-11-03,19-055,NOH,DAL,-15,0,15:00,3,7,.429,0,2,.000,0,0,,1,2,3,1,0,0,1,1,6,2.9,-4
1,2,2,2004-11-05,19-057,NOH,ORL,-1,0,11:00,2,5,.400,0,1,.000,0,2,.000,0,0,0,1,2,0,1,1,4,1.8,-4
2,3,3,2004-11-06,19-058,NOH,MIN,-7,0,6:00,3,4,.750,1,2,.500,0,0,,0,0,0,0,0,0,0,0,7,5.4,-12
3,4,4,2004-11-09,19-061,NOH,LAL,-8,0,17:00,1,5,.200,0,1,.000,0,0,,0,0,0,0,1,1,0,3,2,-0.6,+10
4,5,5,2004-11-12,19-064,NOH,ATL,-1,0,7:00,3,8,.375,2,5,.400,0,0,,1,0,1,0,0,0,0,1,8,3.9,+3
5,6,6,2004-11-13,19-065,NOH,MIL,-3,0,6:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-8
6,7,7,2004-11-17,19-069,NOH,PHO,-11,0,9:00,1,4,.250,0,1,.000,0,0,,0,1,1,1,0,0,2,1,2,-1.8,-2
7,8,8,2004-11-20,19-072,NOH,MIN,-5,0,11:00,0,3,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,0,0,-2.1,-3
8,9,9,2004-11-22,19-074,NOH,UTA,1,0,4:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,+3
9,10,10,2004-11-23,19-075,NOH,GSW,-6,0,6:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-14
10,11,11,2004-11-29,19-081,NOH,DEN,-9,0,8:00,2,2,1.000,1,1,1.000,0,0,,0,0,0,1,1,0,1,0,5,5.1,+4
11,12,12,2004-12-01,19-083,NOH,SAC,-13,0,16:00,0,7,.000,0,3,.000,0,0,,0,0,0,1,0,0,1,1,0,-5.6,-3
12,13,13,2004-12-04,19-086,NOH,DET,-23,0,9:00,1,4,.250,0,2,.000,0,0,,0,1,1,1,1,0,1,1,2,0.2,+3
13,14,14,2004-12-14,19-096,NOH,CHA,-1,0,10:00,0,5,.000,0,1,.000,0,0,,1,0,1,0,1,0,1,2,0,-3.6,-7
14,15,15,2004-12-15,19-097,NOH,GSW,9,0,8:00,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,1,1,2,-1.1,-8
15,16,16,2004-12-17,19-099,NOH,SAS,-16,0,5:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
16,17,17,2004-12-19,19-101,NOH,SAC,-36,0,15:00,2,7,.286,1,4,.250,2,2,1.000,0,0,0,0,1,0,0,0,7,3.9,-11
17,18,18,2004-12-21,19-103,NOH,LAC,-9,0,7:00,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-5
18,19,19,2004-12-22,19-104,NOH,LAL,-12,0,14:00,2,8,.250,0,3,.000,0,0,,1,0,1,0,1,0,1,3,4,-1.3,+7
19,20,20,2004-12-26,19-108,NOH,CLE,-9,0,10:00,0,4,.000,0,0,,2,2,1.000,1,3,4,0,0,0,1,1,2,-0.6,-3
20,21,21,2004-12-27,19-109,NOH,IND,-18,1,38:00,4,15,.267,0,5,.000,2,3,.667,0,4,4,2,2,1,2,2,10,3.2,-18
21,22,22,2004-12-29,19-111,NOH,PHO,-11,1,38:00,10,15,.667,3,5,.600,0,0,,1,2,3,4,0,0,2,1,23,18.2,-12
22,23,23,2005-01-03,19-116,NOH,BOS,-18,1,28:00,4,10,.400,1,3,.333,0,0,,0,0,0,1,4,1,2,3,9,5.8,-14
23,24,24,2005-01-05,19-118,NOH,CHI,-6,1,18:00,1,3,.333,1,2,.500,1,2,.500,1,1,2,3,1,0,2,1,4,3.6,-7
24,25,25,2005-01-07,19-120,NOH,MEM,-8,1,15:00,0,2,.000,0,0,,0,0,,2,0,2,1,0,0,0,1,0,0.3,-17
25,26,26,2005-01-08,19-121,NOH,SAC,4,1,39:00,9,18,.500,4,6,.667,1,1,1.000,2,1,3,3,0,0,0,1,23,17.4,-13
26,27,27,2005-01-11,19-124,NOH,NYK,6,1,29:00,3,8,.375,1,2,.500,0,0,,0,1,1,2,1,0,0,1,7,4.9,+3
27,28,28,2005-01-12,19-125,NOH,DET,-14,1,26:00,1,5,.200,0,2,.000,3,4,.750,0,3,3,2,0,0,1,2,5,2.0,-11
28,29,29,2005-01-14,19-127,NOH,POR,6,1,22:00,2,7,.286,2,7,.286,2,2,1.000,0,2,2,3,1,1,1,1,8,6.9,+10
29,30,30,2005-01-16,19-129,NOH,TOR,-3,1,41:00,6,13,.462,3,9,.333,0,1,.000,0,4,4,6,0,3,0,3,15,14.2,+5
30,31,31,2005-01-17,19-130,NOH,PHI,-4,1,22:00,0,3,.000,0,3,.000,0,0,,0,3,3,1,0,0,3,1,0,-3.9,-22
31,32,32,2005-01-19,19-132,NOH,IND,3,1,30:00,2,8,.250,0,0,,3,4,.750,0,1,1,2,1,0,0,3,7,3.3,-15
32,33,33,2005-01-22,19-135,NOH,LAC,3,1,28:00,4,11,.364,1,3,.333,3,5,.600,1,3,4,2,0,0,1,2,12,6.3,+13
33,34,34,2005-01-23,19-136,NOH,MIA,-29,1,18:00,1,5,.200,0,2,.000,0,0,,0,0,0,1,3,1,1,1,2,1.9,-20
34,35,35,2005-01-26,19-139,NOH,HOU,-5,1,24:00,2,5,.400,2,3,.667,0,2,.000,0,0,0,0,0,0,2,1,6,0.1,-1
35,36,36,2005-01-28,19-141,NOH,PHI,4,1,32:00,5,12,.417,3,7,.429,2,2,1.000,2,4,6,5,0,1,2,2,15,12.6,-3
36,37,37,2005-01-29,19-142,NOH,SAS,-10,1,29:00,5,9,.556,3,5,.600,0,0,,1,3,4,2,0,0,0,1,13,11.3,-6
37,38,38,2005-01-31,19-144,NOH,MEM,-7,1,25:00,4,9,.444,1,5,.200,0,0,,0,0,0,1,0,0,0,3,9,3.8,+6
38,39,39,2005-02-02,19-146,NOH,DAL,-8,1,27:00,4,11,.364,0,3,.000,1,1,1.000,0,0,0,1,2,0,3,5,9,0.6,-24
39,40,40,2005-02-04,19-148,NOH,GSW,-8,1,18:00,2,6,.333,2,5,.400,0,0,,0,1,1,1,0,0,2,2,6,0.8,+2
40,41,41,2005-02-05,19-149,NOH,UTA,-16,1,20:00,3,8,.375,3,8,.375,0,0,,1,1,2,2,1,0,0,1,9,7.6,-7
41,42,42,2005-02-08,19-152,NOH,SEA,-17,1,34:00,5,12,.417,2,5,.400,4,6,.667,3,1,4,1,0,0,2,1,16,9.5,-2
42,43,43,2005-02-09,19-153,NOH,POR,11,1,35:00,8,19,.421,1,6,.167,2,2,1.000,1,0,1,3,1,2,2,2,19,11.3,+9
43,44,44,2005-02-11,19-155,NOH,GSW,3,1,40:00,6,15,.400,0,3,.000,3,3,1.000,0,3,3,6,1,0,0,1,15,12.6,+4
44,45,45,2005-02-13,19-157,NOH,ORL,-3,1,33:00,9,16,.563,0,4,.000,2,5,.400,2,1,3,3,1,0,4,3,20,10.8,+6
45,46,46,2005-02-14,19-158,NOH,WAS,2,1,37:00,6,12,.500,3,6,.500,3,8,.375,0,0,0,5,0,0,2,2,18,10.7,-2
46,47,47,2005-02-16,19-160,NOH,SAS,-23,1,41:00,10,17,.588,1,3,.333,4,6,.667,1,2,3,3,2,0,3,2,25,17.9,-24
47,48,48,2005-02-23,19-167,NOH,SEA,-18,1,26:00,7,11,.636,1,2,.500,4,4,1.000,0,3,3,2,2,0,2,4,19,14.8,-13
48,49,49,2005-02-27,19-171,NOH,DEN,-1,1,24:00,3,8,.375,3,6,.500,0,0,,0,1,1,0,0,0,1,0,9,3.9,+3
49,50,50,2005-02-28,19-172,NOH,DAL,-4,1,21:00,3,8,.375,1,4,.250,3,4,.750,0,1,1,1,1,0,1,5,10,4.2,+3
50,51,51,2005-03-02,19-174,NOH,CHA,9,1,28:00,5,10,.500,2,6,.333,5,6,.833,1,1,2,2,0,0,2,2,17,11.2,-1
51,52,52,2005-03-04,19-176,NOH,UTA,7,1,29:00,4,9,.444,0,2,.000,6,8,.750,1,1,2,3,0,0,2,4,14,8.0,+1
52,53,53,2005-03-06,19-178,NOH,TOR,-11,1,22:00,2,10,.200,1,6,.167,4,4,1.000,1,2,3,0,1,0,1,2,9,3.3,-6
53,54,54,2005-03-09,19-181,NOH,NJN,-1,1,39:00,10,24,.417,2,7,.286,1,4,.250,0,3,3,5,3,0,1,3,23,14.2,-1
54,55,55,2005-03-12,19-184,NOH,MIL,4,1,27:00,5,12,.417,2,7,.286,5,8,.625,0,1,1,5,1,0,0,4,17,12.6,+2
55,56,56,2005-03-14,19-186,NOH,SAS,-23,1,9:00,2,5,.400,0,0,,0,0,,0,0,0,0,0,0,2,1,4,-1.1,-12
56,57,57,2005-03-16,19-188,NOH,MEM,-6,1,31:00,4,10,.400,1,5,.200,2,5,.400,0,3,3,1,2,0,3,4,11,3.4,-6
57,58,58,2005-03-18,19-190,NOH,CHI,4,1,27:00,2,13,.154,0,2,.000,2,3,.667,0,1,1,4,0,0,1,2,6,-1.4,-4
58,59,59,2005-03-19,19-191,NOH,BOS,-13,1,32:00,8,17,.471,2,7,.286,3,3,1.000,0,3,3,2,2,0,0,4,21,15.0,-3
59,60,60,2005-03-21,19-193,NOH,DAL,-17,1,34:00,8,16,.500,1,4,.250,10,11,.909,0,1,1,3,1,0,3,2,27,18.2,-9
