,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,16,1,2017-04-16,29-087,GSW,POR,12,0,9:41,3,4,.750,0,0,,0,0,,3,2,5,1,0,2,0,1,6,8.8,+8
1,17,2,2017-04-19,29-090,GSW,POR,29,0,13:12,7,7,1.000,0,0,,1,1,1.000,2,3,5,0,1,4,2,1,15,16.6,+19
2,18,3,2017-04-22,29-093,GSW,POR,6,0,15:57,6,8,.750,0,0,,2,2,1.000,1,3,4,0,1,0,0,2,14,12.6,+24
3,19,4,2017-04-24,29-095,GSW,POR,25,0,9:46,2,4,.500,0,0,,0,1,.000,1,2,3,0,0,3,0,4,4,3.4,-3
4,20,5,2017-05-02,29-103,GSW,UTA,12,0,9:57,1,2,.500,0,0,,0,0,,0,0,0,0,0,1,0,0,2,1.7,-1
5,21,6,2017-05-04,29-105,GSW,UTA,11,0,9:11,2,3,.667,0,0,,0,0,,2,0,2,0,0,0,1,3,4,1.9,+5
6,22,7,2017-05-06,29-107,GSW,UTA,11,0,12:08,1,3,.333,0,0,,0,0,,2,5,7,0,0,1,0,4,2,2.3,+17
7,23,8,2017-05-08,29-109,GSW,UTA,26,0,11:11,5,6,.833,0,0,,2,2,1.000,2,1,3,0,0,0,0,3,12,10.3,+7
8,24,9,2017-05-14,29-115,GSW,SAS,2,0,5:19,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,1,2,1,-0.9,-11
9,25,10,2017-05-16,29-117,GSW,SAS,36,0,9:53,3,3,1.000,0,0,,0,0,,0,4,4,0,0,0,1,2,6,4.5,+12
10,26,11,2017-05-20,29-121,GSW,SAS,12,1,12:57,6,9,.667,0,0,,4,6,.667,1,0,1,0,0,1,1,1,16,11.3,+2
11,27,12,2017-05-22,29-123,GSW,SAS,14,0,6:56,1,1,1.000,0,0,,0,0,,1,2,3,0,0,1,1,1,2,2.3,-4
12,28,13,2017-06-01,29-133,GSW,CLE,22,0,5:32,2,3,.667,0,0,,0,0,,3,1,4,1,0,1,0,1,4,6.1,+8
13,29,14,2017-06-04,29-136,GSW,CLE,19,0,2:46,1,2,.500,0,0,,0,0,,1,2,3,0,0,0,0,1,2,1.9,-1
14,30,15,2017-06-07,29-139,GSW,CLE,5,0,7:57,0,0,,0,0,,1,2,.500,1,0,1,2,0,1,1,3,1,1.2,+1
15,31,16,2017-06-09,29-141,GSW,CLE,-21,0,6:08,1,1,1.000,0,0,,2,2,1.000,2,0,2,0,0,0,0,2,4,4.3,-4
