,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,252,1,1954-10-30,28-204,BOS,ROC,-3,,,5,,,,,,4,,,,,,,,,,4,14,,
1,253,2,1954-10-31,28-205,BOS,FTW,-4,,,5,,,,,,3,,,,,,,,,,5,13,,
2,254,3,1954-11-06,28-211,BOS,SYR,23,,,7,,,,,,,1,,,,,,,,,1,14,,
3,255,4,1954-11-11,28-216,BOS,MLH,-10,,,2,,,,,,1,1,1.000,,,,,,,,5,5,,
4,256,5,1954-11-16,28-221,BOS,ROC,1,,,3,,,,,,4,5,.800,,,,,,,,4,10,,
5,257,6,1954-11-20,28-225,BOS,NYK,19,,,6,,,,,,2,2,1.000,,,,,,,,5,14,,
6,258,7,1954-11-21,28-226,BOS,SYR,-6,,,4,,,,,,2,,,,,,,,,,2,10,,
7,259,8,1954-11-24,28-229,BOS,NYK,5,,,4,,,,,,2,2,1.000,,,,,,,,2,10,,
8,260,9,1954-11-25,28-230,BOS,PHW,-5,,,6,,,,,,1,,,,,,,,,,3,13,,
9,261,10,1954-11-27,28-232,BOS,ROC,-6,,,4,,,,,,2,,,,,,,,,,6,10,,
10,262,11,1954-11-28,28-233,BOS,MNL,-7,,,3,,,,,,3,,,,,,,,,,6,9,,
11,263,12,1954-12-01,28-236,BOS,MLH,11,,,5,,,,,,1,,,,,,,,,,3,11,,
12,264,13,1954-12-02,28-237,BOS,FTW,-18,,,4,,,,,,1,,,,,,,,,,2,9,,
13,265,14,1954-12-04,28-239,BOS,ROC,8,,,4,,,,,,3,5,.600,,,,,,,,5,11,,
14,266,15,1954-12-07,28-242,BOS,ROC,2,,,7,,,,,,3,3,1.000,,,,,,,,4,17,,
15,267,16,1954-12-08,28-243,BOS,MNL,-2,,,4,,,,,,2,3,.667,,,,,,,,5,10,,
16,268,17,1954-12-09,28-244,BOS,SYR,-13,,,1,,,,,,1,,,,,,,,,,1,3,,
17,269,18,1954-12-11,28-246,BOS,SYR,4,,,3,,,,,,,,,,,,,,,,6,6,,
18,270,19,1954-12-14,28-249,BOS,MNL,7,,,4,,,,,,,,,,,,,,,,3,8,,
19,271,20,1954-12-15,28-250,BOS,MLH,11,,,5,,,,,,7,,,,,,,,,,5,17,,
20,272,21,1954-12-18,28-253,BOS,PHW,4,,,5,,,,,,1,,,,,,,,,,6,11,,
21,273,22,1954-12-19,28-254,BOS,NYK,-12,,,6,,,,,,,2,,,,,,,,,4,12,,
22,274,23,1954-12-25,28-260,BOS,MLH,9,,,1,,,,,,1,1,1.000,,,,,,,,2,3,,
23,275,24,1954-12-26,28-261,BOS,MNL,-5,,,3,,,,,,1,,,,,,,,,,3,7,,
24,276,25,1954-12-29,28-264,BOS,MNL,-11,,,4,,,,,,3,4,.750,,,,,,,,6,11,,
25,277,26,1954-12-31,28-266,BOS,PHW,6,,,5,,,,,,3,3,1.000,,,,,,,,6,13,,
26,278,27,1955-01-01,28-267,BOS,SYR,-6,,,3,,,,,,2,3,.667,,,,,,,,3,8,,
27,279,28,1955-01-02,28-268,BOS,NYK,17,,,7,,,,,,1,1,1.000,,,,,,,,4,15,,
28,280,29,1955-01-06,28-272,BOS,NYK,-5,,,5,,,,,,2,2,1.000,,,,,,,,5,12,,
29,281,30,1955-01-08,28-274,BOS,PHW,12,,,1,,,,,,2,2,1.000,,,,,,,,5,4,,
30,282,31,1955-01-09,28-275,BOS,ROC,6,,,1,,,,,,3,3,1.000,,,,,,,,1,5,,
31,283,32,1955-01-13,28-279,BOS,NYK,16,,,6,,,,,,,,,,,,,,,,1,12,,
32,284,33,1955-01-14,28-280,BOS,MNL,5,,,5,,,,,,,1,,,,,,,,,2,10,,
33,285,34,1955-01-19,28-285,BOS,FTW,-21,,,6,,,,,,,,,,,,,,,,1,12,,
34,286,35,1955-01-21,28-287,BOS,PHW,1,,,4,,,,,,3,,,,,,,,,,6,11,,
35,287,36,1955-01-22,28-288,BOS,ROC,-11,,,4,,,,,,,,,,,,,,,,1,8,,
36,288,37,1955-01-23,28-289,BOS,PHW,3,,,4,,,,,,,,,,,,,,,,5,8,,
37,289,38,1955-01-26,28-292,BOS,FTW,9,,,6,,,,,,1,,,,,,,,,,2,13,,
38,290,39,1955-01-27,28-293,BOS,ROC,-6,,,3,,,,,,5,7,.714,,,,,,,,5,11,,
39,291,40,1955-01-28,28-294,BOS,SYR,11,,,4,,,,,,2,,,,,,,,,,4,10,,
40,292,41,1955-01-30,28-296,BOS,MLH,-9,,,4,,,,,,3,,,,,,,,,,3,11,,
41,293,42,1955-02-02,28-299,BOS,PHW,-15,,,10,,,,,,6,,,,,,,,,,6,26,,
42,294,43,1955-02-04,28-301,BOS,SYR,26,,,6,,,,,,1,,,,,,,,,,4,13,,
43,295,44,1955-02-05,28-302,BOS,NYK,-8,,,4,,,,,,7,8,.875,,,,,,,,4,15,,
44,296,45,1955-02-06,28-303,BOS,PHW,-4,,,4,,,,,,5,5,1.000,,,,,,,,3,13,,
45,297,46,1955-02-08,28-305,BOS,SYR,-27,,,7,,,,,,8,11,.727,,,,,,,,3,22,,
46,298,47,1955-02-09,28-306,BOS,SYR,10,,,4,,,,,,3,3,1.000,,,,,,,,2,11,,
47,299,48,1955-02-11,28-308,BOS,PHW,-4,,,2,,,,,,3,,,,,,,,,,5,7,,
48,300,49,1955-02-13,28-310,BOS,NYK,-2,,,3,,,,,,,,,,,,,,,,5,6,,
49,301,50,1955-02-15,28-312,BOS,MLH,3,,,2,,,,,,,,,,,,,,,,,4,,
50,302,51,1955-02-17,28-314,BOS,SYR,-14,,,,,,,,,1,,,,,,,,,,3,1,,
51,303,52,1955-02-20,28-317,BOS,PHW,15,,,1,,,,,,,,,,,,,,,,5,2,,
52,304,53,1955-02-22,28-319,BOS,SYR,2,,,3,,,,,,4,,,,,,,,,,2,10,,
53,305,54,1955-02-27,28-324,BOS,MLH,5,,,4,,,,,,1,1,1.000,,,,,,,,3,9,,
54,306,55,1955-03-01,28-326,BOS,FTW,-20,,,,,,,,,3,5,.600,,,,,,,,5,3,,
55,307,56,1955-03-04,28-329,BOS,MNL,-15,,,,,,,,,1,1,1.000,,,,,,,,3,1,,
56,308,57,1955-03-05,28-330,BOS,PHW,-6,,,2,,,,,,,,,,,,,,,,4,4,,
57,309,58,1955-03-06,28-331,BOS,FTW,4,,,4,,,,,,7,7,1.000,,,,,,,,6,15,,
58,310,59,1955-03-07,28-332,BOS,FTW,19,,,5,,,,,,1,1,1.000,,,,,,,,5,11,,
59,311,60,1955-03-08,28-333,BOS,PHW,9,,,1,,,,,,2,2,1.000,,,,,,,,5,4,,
60,312,61,1955-03-10,28-335,BOS,NYK,-19,,,3,,,,,,4,4,1.000,,,,,,,,6,10,,
61,313,62,1955-03-11,28-336,BOS,NYK,-2,,,1,,,,,,,1,,,,,,,,,2,2,,
62,314,63,1955-03-12,28-337,BOS,ROC,-2,,,2,,,,,,2,,,,,,,,,,1,6,,
63,315,64,1955-03-13,28-338,BOS,NYK,11,,,9,,,,,,2,2,1.000,,,,,,,,4,20,,
