,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,16,1,1949-11-02,22-126,PHW,MNL,-12,,,3,,,,,,1,3,.333,,,,,,,,,7,,
1,17,2,1949-11-04,22-128,PHW,STB,21,,,1,,,,,,,,,,,,,,,,,2,,
2,18,3,1949-11-05,22-129,PHW,ROC,-30,,,,,,,,,,2,,,,,,,,,,,,
3,19,4,1949-11-06,22-130,PHW,SYR,-10,,,,,,,,,,1,,,,,,,,,,,,
4,20,5,1949-11-09,22-133,PHW,WSC,-15,,,3,,,,,,2,,,,,,,,,,,8,,
5,21,6,1949-11-11,22-135,PHW,INO,-7,,,1,,,,,,1,1,1.000,,,,,,,,,3,,
6,22,7,1949-11-12,22-136,PHW,DNN,18,,,4,,,,,,,,,,,,,,,,,8,,
7,23,8,1949-11-16,22-140,PHW,BOS,13,,,6,,,,,,2,5,.400,,,,,,,,,14,,
8,24,9,1949-11-18,22-142,PHW,CHS,15,,,5,,,,,,5,7,.714,,,,,,,,,15,,
9,25,10,1949-11-19,22-143,PHW,NYK,-16,,,2,,,,,,1,1,1.000,,,,,,,,,5,,
10,26,11,1949-11-24,22-148,PHW,NYK,-5,,,4,,,,,,6,8,.750,,,,,,,,,14,,
11,27,12,1949-11-26,22-150,PHW,CHS,-36,,,1,,,,,,5,5,1.000,,,,,,,,,7,,
12,28,13,1949-11-27,22-151,PHW,STB,-13,,,1,,,,,,2,3,.667,,,,,,,,,4,,
13,29,14,1949-11-29,22-153,PHW,DNN,1,,,2,,,,,,2,5,.400,,,,,,,,,6,,
14,30,15,1949-12-01,22-155,PHW,FTW,-4,,,3,,,,,,1,3,.333,,,,,,,,,7,,
15,31,16,1949-12-02,22-156,PHW,ROC,-3,,,3,,,,,,1,1,1.000,,,,,,,,,7,,
16,32,17,1949-12-03,22-157,PHW,WSC,-16,,,2,,,,,,,,,,,,,,,,,4,,
17,33,18,1949-12-08,22-162,PHW,BOS,-4,,,5,,,,,,2,3,.667,,,,,,,,,12,,
18,34,19,1949-12-09,22-163,PHW,CHS,3,,,,,,,,,1,2,.500,,,,,,,,,1,,
19,35,20,1949-12-11,22-165,PHW,MNL,-9,,,,,,,,,,,,,,,,,,,,,,
20,36,21,1949-12-14,22-168,PHW,WAT,3,,,,,,,,,1,1,1.000,,,,,,,,,1,,
21,37,22,1949-12-16,22-170,PHW,STB,-14,,,2,,,,,,,,,,,,,,,,,4,,
22,38,23,1949-12-17,22-171,PHW,WAT,9,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
23,39,24,1949-12-21,22-175,PHW,BLB,10,,,,,,,,,2,2,1.000,,,,,,,,,2,,
24,40,25,1949-12-25,22-179,PHW,BLB,1,,,2,,,,,,2,2,1.000,,,,,,,,4,6,,
25,41,26,1949-12-28,22-182,PHW,NYK,-7,,,5,,,,,,2,2,1.000,,,,,,,,,12,,
26,42,27,1949-12-29,22-183,PHW,SYR,-2,,,1,,,,,,,,,,,,,,,,2,2,,
27,43,28,1949-12-31,22-185,PHW,FTW,-3,,,3,,,,,,2,5,.400,,,,,,,,,8,,
28,44,29,1950-01-01,22-186,PHW,NYK,-22,,,1,,,,,,,,,,,,,,,,1,2,,
29,45,30,1950-01-06,22-191,PHW,ROC,18,,,2,,,,,,1,1,1.000,,,,,,,,,5,,
30,46,31,1950-01-07,22-192,PHW,ROC,-17,,,3,,,,,,7,8,.875,,,,,,,,,13,,
31,47,32,1950-01-13,22-198,PHW,WSC,-10,,,1,,,,,,3,5,.600,,,,,,,,,5,,
32,48,33,1950-01-14,22-199,PHW,WSC,-8,,,1,,,,,,3,4,.750,,,,,,,,,5,,
33,49,34,1950-01-15,22-200,PHW,FTW,-14,,,,,,,,,4,5,.800,,,,,,,,,4,,
34,50,35,1950-01-16,22-201,PHW,SHE,17,,,1,,,,,,,,,,,,,,,,,2,,
35,51,36,1950-01-18,22-203,PHW,BOS,8,,,1,,,,,,3,3,1.000,,,,,,,,,5,,
36,52,37,1950-01-19,22-204,PHW,BOS,-23,,,2,,,,,,,3,,,,,,,,,,4,,
37,53,38,1950-01-20,22-205,PHW,MNL,1,,,1,,,,,,3,4,.750,,,,,,,,,5,,
38,54,39,1950-01-21,22-206,PHW,BLB,-10,,,,,,,,,1,2,.500,,,,,,,,,1,,
39,55,40,1950-01-24,22-209,PHW,FTW,13,,,1,,,,,,,,,,,,,,,,,2,,
40,56,41,1950-01-27,22-212,PHW,BLB,-3,,,1,,,,,,,,,,,,,,,,,2,,
41,57,42,1950-01-28,22-213,PHW,NYK,3,,,,,,,,,1,2,.500,,,,,,,,,1,,
42,58,43,1950-02-01,22-217,PHW,ROC,-14,,,,,,,,,1,2,.500,,,,,,,,,1,,
43,59,44,1950-02-03,22-219,PHW,TRI,11,,,2,,,,,,,2,,,,,,,,,,4,,
44,60,45,1950-02-05,22-221,PHW,MNL,-33,,,2,,,,,,,,,,,,,,,,2,4,,
45,61,46,1950-02-08,22-224,PHW,TRI,-5,,,1,,,,,,1,1,1.000,,,,,,,,6,3,,
46,62,47,1950-02-09,22-225,PHW,FTW,3,,,1,,,,,,,,,,,,,,,,1,2,,
47,63,48,1950-02-10,22-226,PHW,CHS,-7,,,1,,,,,,,1,,,,,,,,,1,2,,
48,64,49,1950-02-12,22-228,PHW,STB,-16,,,,,,,,,,,,,,,,,,,1,,,
49,65,50,1950-02-14,22-230,PHW,INO,-19,,,1,,,,,,2,,,,,,,,,,1,4,,
50,66,51,1950-02-17,22-233,PHW,FTW,-1,,,,,,,,,,,,,,,,,,,,,,
51,67,52,1950-02-21,22-237,PHW,NYK,-11,,,,,,,,,,,,,,,,,,,,,,
52,68,53,1950-02-23,22-239,PHW,BOS,-5,,,1,,,,,,2,2,1.000,,,,,,,,,4,,
53,69,54,1950-02-24,22-240,PHW,BLB,-8,,,,,,,,,,,,,,,,,,,,,,
54,70,55,1950-02-25,22-241,PHW,WSC,12,,,,,,,,,,,,,,,,,,,,,,
55,71,56,1950-03-01,22-245,PHW,BOS,13,,,,,,,,,,,,,,,,,,,,,,
56,72,57,1950-03-11,22-255,PHW,ROC,-18,,,2,,,,,,1,1,1.000,,,,,,,,,5,,
57,73,58,1950-03-17,22-261,PHW,WSC,26,,,2,,,,,,,,,,,,,,,,1,4,,
