,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,594,1,2002-10-30,29-273,CHI,BOS,3,1,36:00,7,18,.389,3,6,.500,4,5,.800,0,4,4,12,0,1,3,3,21,16.9,+12
1,595,2,2002-11-01,29-275,CHI,NOH,5,1,35:00,8,15,.533,1,1,1.000,4,6,.667,2,2,4,3,0,0,5,3,21,10.8,-1
2,596,3,2002-11-02,29-276,CHI,ATL,-6,1,39:00,8,23,.348,0,4,.000,8,10,.800,1,2,3,3,1,0,0,4,24,13.1,-8
3,597,4,2002-11-04,29-278,CHI,TOR,-4,1,37:00,10,27,.370,1,2,.500,3,4,.750,4,3,7,5,0,0,3,4,24,11.3,-8
4,598,5,2002-11-06,29-280,CHI,BOS,-22,1,30:00,3,14,.214,0,5,.000,4,7,.571,0,6,6,2,0,0,3,4,10,-1.2,-17
5,599,6,2002-11-08,29-282,CHI,DAL,-27,1,36:00,9,14,.643,2,2,1.000,4,4,1.000,0,4,4,3,0,0,2,2,24,18.3,-29
6,600,7,2002-11-09,29-283,CHI,NJN,7,1,44:00,9,25,.360,3,6,.500,5,6,.833,3,1,4,6,0,0,2,5,26,14.3,+5
7,601,8,2002-11-13,29-287,CHI,MIL,-7,1,44:00,6,20,.300,1,4,.250,11,12,.917,1,3,4,3,0,0,2,4,24,12.1,+1
8,602,9,2002-11-15,29-289,CHI,NOH,-18,1,31:00,8,17,.471,1,2,.500,6,7,.857,0,6,6,2,0,0,4,3,23,11.9,-14
9,603,10,2002-11-16,29-290,CHI,MEM,18,1,35:00,12,23,.522,1,4,.250,6,7,.857,1,2,3,2,1,0,2,2,31,20.2,+14
10,604,11,2002-11-19,29-293,CHI,SAC,-13,1,24:00,5,15,.333,0,5,.000,3,4,.750,0,1,1,2,0,0,1,2,13,4.0,-25
11,605,12,2002-11-20,29-294,CHI,GSW,-6,1,48:00,12,20,.600,3,4,.750,7,10,.700,0,0,0,5,2,2,6,2,34,23.7,-6
12,606,13,2002-11-22,29-296,CHI,LAL,-13,1,34:00,2,16,.125,0,2,.000,2,2,1.000,0,2,2,5,0,0,4,3,6,-5.5,-22
13,607,14,2002-11-23,29-297,CHI,UTA,-20,1,35:00,9,18,.500,1,3,.333,6,6,1.000,1,1,2,2,1,2,5,3,25,14.6,-12
14,608,15,2002-11-27,29-301,CHI,BOS,-10,1,36:00,6,17,.353,1,6,.167,1,1,1.000,0,4,4,7,1,0,9,4,14,1.0,-14
15,609,16,2002-11-30,29-304,CHI,DAL,-13,1,39:00,9,19,.474,5,6,.833,8,9,.889,3,3,6,1,2,0,3,5,31,21.6,-4
16,610,17,2002-12-03,29-307,CHI,NOH,-25,1,32:00,8,20,.400,0,2,.000,3,4,.750,1,1,2,1,1,0,4,3,19,5.3,-26
17,611,18,2002-12-04,29-308,CHI,CLE,-10,1,39:00,13,31,.419,3,5,.600,8,12,.667,2,5,7,5,0,1,2,3,37,22.8,+1
18,612,19,2002-12-06,29-310,CHI,TOR,-14,1,39:00,4,19,.211,0,4,.000,7,7,1.000,0,3,3,3,2,0,4,3,15,3.1,-7
19,613,20,2002-12-07,29-311,CHI,CLE,8,1,40:00,9,15,.600,2,2,1.000,7,8,.875,1,3,4,5,2,0,1,4,27,24.2,+13
20,614,21,2002-12-10,29-314,CHI,ORL,20,1,47:00,9,16,.563,3,6,.500,7,7,1.000,1,3,4,8,0,0,3,4,28,23.0,+19
21,615,22,2002-12-12,29-316,CHI,DET,-10,1,47:00,7,23,.304,0,3,.000,1,1,1.000,0,4,4,5,1,1,4,3,15,2.9,-10
22,616,23,2002-12-14,29-318,CHI,MIL,2,1,48:00,11,20,.550,3,6,.500,5,6,.833,1,5,6,4,1,1,5,3,30,20.5,+2
23,617,24,2002-12-16,29-320,CHI,BOS,11,1,47:00,5,15,.333,3,7,.429,11,15,.733,0,3,3,1,1,0,4,4,24,10.9,+9
24,618,25,2002-12-18,29-322,CHI,TOR,13,1,38:00,9,20,.450,1,1,1.000,1,1,1.000,0,1,1,5,0,0,4,3,20,8.2,+17
25,619,26,2002-12-20,29-324,CHI,IND,-15,1,43:00,7,24,.292,1,6,.167,3,4,.750,0,0,0,3,2,0,5,3,18,1.5,-20
26,620,27,2002-12-21,29-325,CHI,IND,7,1,44:00,7,17,.412,3,5,.600,11,12,.917,0,7,7,5,1,0,1,4,28,22.5,+7
27,621,28,2002-12-23,29-327,CHI,NJN,-16,1,40:00,7,20,.350,1,5,.200,1,2,.500,1,0,1,6,0,0,4,2,16,4.5,-24
28,622,29,2002-12-27,29-331,CHI,MIN,-13,1,48:00,8,21,.381,2,9,.222,4,7,.571,0,9,9,5,1,0,2,3,22,13.3,-13
29,623,30,2002-12-28,29-332,CHI,SAS,-14,1,37:00,9,19,.474,0,0,,6,6,1.000,2,4,6,4,0,1,5,1,24,15.0,-18
30,624,31,2002-12-31,29-335,CHI,POR,15,1,45:00,10,23,.435,2,4,.500,10,12,.833,0,2,2,6,0,0,3,4,32,19.3,+25
31,625,32,2003-01-02,29-337,CHI,WAS,-25,1,45:00,10,25,.400,3,5,.600,3,4,.750,2,4,6,2,3,0,5,4,26,12.5,-22
32,626,33,2003-01-04,29-339,CHI,CLE,6,1,44:00,6,19,.316,0,0,,7,7,1.000,1,4,5,8,2,0,2,5,19,13.6,+3
33,627,34,2003-01-06,29-341,CHI,UTA,15,1,48:00,12,17,.706,4,5,.800,3,3,1.000,0,5,5,7,1,0,4,2,31,26.5,+15
34,628,35,2003-01-08,29-343,CHI,WAS,-3,1,41:00,4,17,.235,0,6,.000,2,3,.667,0,4,4,8,0,0,3,3,10,1.9,-5
35,629,36,2003-01-10,29-345,CHI,MIL,-8,1,50:00,8,21,.381,3,8,.375,0,1,.000,1,11,12,6,0,0,3,4,19,10.7,-8
36,630,37,2003-01-13,29-348,CHI,NYK,7,1,45:00,9,18,.500,2,4,.500,8,8,1.000,0,3,3,5,1,0,1,3,28,22.2,+5
