,pgl_basic,game,date,age,team,opp,gameResult,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
0,507,1,2007-10-31,29-163,NJN,CHI,9,0,11:16,0,2,.000,0,0,,3,4,.750,2,1,3,1,0,0,1,3,3,1.4,+4
1,508,2,2007-11-02,29-165,NJN,TOR,-37,0,10:14,1,4,.250,0,0,,1,2,.500,2,1,3,0,0,0,1,1,3,0.5,-12
2,509,3,2007-11-03,29-166,NJN,PHI,5,0,13:09,0,2,.000,0,0,,2,2,1.000,0,2,2,0,0,0,2,3,2,-2.0,-3
3,510,4,2007-11-06,29-169,NJN,ATL,5,0,13:38,0,2,.000,0,0,,2,2,1.000,1,6,7,3,0,2,1,1,2,5.2,-2
4,511,5,2007-11-08,29-171,NJN,WAS,2,0,28:08,1,5,.200,0,0,,0,2,.000,3,9,12,1,0,1,2,4,2,0.7,+28
5,512,6,2007-11-10,29-173,NJN,BOS,-11,0,9:24,0,2,.000,0,0,,0,0,,0,2,2,0,0,1,0,3,0,-1.3,-5
6,513,7,2007-11-14,29-177,NJN,BOS,-22,0,6:39,0,0,,0,0,,0,2,.000,1,2,3,0,0,0,0,1,0,0.1,-4
7,514,8,2007-11-16,29-179,NJN,ORL,-25,0,8:02,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,1,4,0,-3.0,-15
8,515,9,2007-11-17,29-180,NJN,MIA,-4,1,21:15,2,4,.500,0,0,,1,2,.500,0,7,7,0,0,1,6,3,5,-1.8,+3
9,516,10,2007-11-19,29-182,NJN,UTA,-27,1,13:53,1,4,.250,0,0,,0,2,.000,1,1,2,0,0,0,1,1,2,-1.6,-21
10,517,11,2007-12-04,29-197,NJN,CLE,21,0,20:41,3,4,.750,0,0,,1,4,.250,1,6,7,2,0,1,0,4,7,7.2,+17
11,518,12,2007-12-05,29-198,NJN,NYK,-7,0,25:56,2,4,.500,0,0,,4,8,.500,1,7,8,0,0,1,2,2,8,5.1,-2
12,519,13,2007-12-07,29-200,NJN,HOU,-7,0,19:46,0,4,.000,0,0,,0,0,,2,4,6,0,0,0,2,2,0,-3.0,+5
13,520,14,2007-12-09,29-202,NJN,WAS,-15,0,3:30,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,2,0,0.2,+1
14,521,15,2007-12-14,29-207,NJN,CLE,8,0,8:24,1,1,1.000,0,0,,0,0,,2,2,4,0,0,0,0,1,2,3.3,+8
15,522,16,2007-12-15,29-208,NJN,NYK,-8,0,5:10,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,-7
16,523,17,2007-12-20,29-213,NJN,MIA,4,0,2:04,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-1.4,-2
17,524,18,2007-12-29,29-222,NJN,MIL,2,0,10:58,2,2,1.000,0,0,,0,1,.000,0,4,4,0,0,0,1,3,4,2.0,+1
18,525,19,2008-01-02,29-226,NJN,ORL,1,0,4:48,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,1,0,-0.7,-5
19,526,20,2008-01-08,29-232,NJN,CHA,-16,0,1:16,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+2
20,527,21,2008-01-14,29-238,NJN,POR,-26,0,3:56,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,-1
21,528,22,2008-01-16,29-240,NJN,NYK,-6,0,5:26,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,0
22,529,23,2008-01-22,29-246,NJN,SAC,-34,0,6:16,0,2,.000,0,0,,0,0,,1,0,1,0,0,1,0,0,0,0.0,-6
23,530,24,2008-01-29,29-253,NJN,MIL,7,0,4:46,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,2,2,-0.5,+1
24,531,25,2008-03-03,29-287,DAL,UTA,-6,0,5:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,+6
25,532,26,2008-03-08,29-292,DAL,NJN,20,0,3:20,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,3,2,2,-3.5,-3
26,533,27,2008-03-10,29-294,DAL,NYK,29,0,5:37,2,2,1.000,0,0,,3,5,.600,1,1,2,0,0,0,0,1,7,6.2,+5
27,534,28,2008-03-12,29-296,DAL,CHA,25,0,3:22,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,1,3,1,-1.3,0
28,535,29,2008-03-14,29-298,DAL,IND,19,0,2:21,0,0,,0,0,,0,2,.000,0,4,4,0,0,0,0,0,0,0.4,-1
29,536,30,2008-03-25,29-309,DAL,LAC,13,0,4:02,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,2,2,0,-3.6,0
30,537,31,2008-04-08,29-323,DAL,SEA,16,0,3:25,0,1,.000,0,0,,2,2,1.000,0,1,1,0,1,0,0,0,2,2.6,-2
